字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
B,7,"Baby Boy","王心凌",,,分开,154 + 691、508 + 691,A - 左下单点、右下单点^^^B - 左下单点,A - 左下单点、右边单点^^^B - 右边单点,406,930,70 - 0.3,691,B - 左下单点,B - 右边单点,406,930,1885588,36 + 0.1
,,"Bad Romance","Lady Gaga",,,分开,505 + 849,B - 左边右滑条中间^^^B - 中间右滑条中间,B - 左边滑点^^^B - 左边长条结尾、右边单点,446,970,70 + 0.4,849,B - 中间右滑条中间,B - 左边长条结尾、右边单点,446,970,1536790,37 - 0.5
,,"有点甜","汪苏泷 / BY2",,红色,分开,335 + 431,B - 左下长条结尾、右边单点^^^B - 左下单点,B - 左边单点^^^B - 左下单点,257,554,64 + 0.4,335,B - 左下长条结尾、右边单点,B - 左边单点,257,554,1071598,33 + 0.3
M,7,"没有选择","胡彦斌",,,分开,478 + 571,B - 右下滑点^^^B - 左下单点、右下单点,B - 左下单点、右下单点^^^B - 左下单点,314,662,69 + 0.2,478,B - 右下滑点,B - 左下单点、右下单点,314,662,1427350,35 - 0.4
,,"Jar Of Love","曲婉婷",,,分开,82 + 163,A - 右下右滑条结尾、左下单点^^^A - 右边长条中间,A - 左下单点、右下单点^^^A - 左边单点,303,719,68 - 0.4,163,A - 右边长条中间,A - 左边单点,303,719,1362898,35 - 0.2
,,"让我心动","Apink",,红色,分开,359 + 637,B - 左下单点、右下单点^^^B - 左下滑点,B - 左下单点^^^B - 右边单点,289,724,74 + 0.4,359,B - 左下单点、右下单点,B - 左下单点,289,724,1283159,38 - 0.2
,,"动物森林","范玮琪",,红色,分开,123 + 326,A - 右边单点^^^B - 左边单点,A - 左边右滑条中间^^^B - 左下单点,180,388,50 - 0.2,326,B - 左边单点,B - 左下单点,180,388,814852,25 - 0.1
,,"Always Online","林俊杰",,红色,分开,197 + 466,A - 右边单点^^^B - 右下单点,A - 右边单点^^^B - 左下单点,348,618,61 + 0.3,466,B - 右下单点,B - 左下单点,348,618,1113414,32 - 0.1
,,"帝都","萌萌哒天团",,红色,分开,287 + 405,B - 左边单点^^^B - 中间单点,B - 左下单点、右下单点^^^B - 右边单点,189,514,63 + 0.4,287,B - 左边单点,B - 左下单点、右下单点,189,514,986829,34 + 0.1
,,"万有引力","汪苏泷",,红色,分开,163 + 228,B - 左下单点^^^B - 左边单点,B - 左边单点^^^B - 右边滑点,124,292,57 + 0.1,228,B - 左边单点,B - 右边滑点,124,292,711202,30 + 0.1
O,7,"偶像万万岁","TimeZ",,红色,分开,597 + 870,B - 左下单点^^^B - 右边单点,B - 左下单点、右边单点^^^B - 左下滑点,469,1004,90 - 0.4,870,B - 右边单点,B - 左下滑点,469,1004,1770262,50 - 0.4
,,"猫步轻俏","AOA",,红色,分开,207 + 400,A - 左边单点^^^B - 左边单点,A - 右边左滑条中间^^^B - 左边滑点、右边滑点,263,441,68 + 0.2,207,A - 左边单点,A - 右边左滑条中间,263,441,1019977,34 + 0.3
K,9,"空想神话","妖精帝国",,,分开,1004 + 1093、1006 + 1098,B - 左边单点、右下单点^^^B - 左边长条中间,B - 左边长条中间^^^B - 左边单点、右边单点,674,1217,81 + 0.2,1006,B - 左边单点、右边长条开始,B - 左边长条中间,674,1217,2399303,42 - 0.4
,,"给我一个理由忘记","A-Lin",,红色,分开,151 + 446,A - 右边滑点^^^B - 右边左滑条开始,A - 左边右滑条中间、右边左滑条中间^^^B - 左边右滑条结尾、右边长条结尾,315,850,71 - 0.4,446,B - 右边左滑条开始,B - 左边右滑条结尾、右边长条结尾,315,850,1278230,37 - 0.1
N,6,"你的微笑","飞儿乐团",,红色,分开,257 + 547、257 + 548,A - 左边滑点^^^B - 左边单点,A - 左下单点^^^B - 左下单点、右下单点,370,722,72 + 0.4,257,A - 左边滑点,A - 左下单点,370,722,1329771,38 - 0.3
Q,7,"七年的爱","金贤政",,红色,分开,349 + 447,B - 左下单点、右下单点^^^B - 左边长条中间、右边单点,B - 右边单点^^^B - 左边滑点、右边滑点,234,666,84 + 0.4,447,B - 左边长条中间、右边单点,B - 左边滑点、右边滑点,234,666,1393914,43 + 0.4
H,8,"火花","高耀太",,,分开,323 + 904,A - 左边右滑条结尾、右边单点^^^B - 左边单点,A - 中间单点、右边单点^^^B - 右边单点,470,1055,78 - 0.5,323,A - 左边右滑条结尾、右边单点,A - 中间单点、右边单点,470,1055,2033583,39 + 0.2
,,"Animals","Maroon 5",,红色,分开,323 + 419,B - 左下滑点^^^B - 左边右滑条开始,B - 左下单点、右下单点^^^B - 左下单点、右边单点,221,481,63 + 0.0,323,B - 左下滑点,B - 左下单点、右下单点,221,481,839823,32 + 0.1
,,"Trouble Is a Friend","Lenka",,红色,分开,161 + 524,A - 左边长条开始^^^B - 右下单点,A - 右边滑点^^^B - 左下单点、右下单点,329,722,58 + 0.4,524,B - 右下单点,B - 左下单点、右下单点,329,722,1108860,31 - 0.3
D,7,"Doraradora","Fujigami Mai",,,分开,298 + 876,A - 右下滑点^^^B - 左下左滑条中间,A - 左边单点^^^B - 左边单点、右边单点,495,959,77 + 0.0,876,B - 左下左滑条中间,B - 左边单点、右边单点,495,959,1733576,39 - 0.2
,,"Boom Clap","Charli XCX",,红色,分开,339 + 395、339 + 396、339 + 397,B - 左边单点^^^B - 右边单点,B - 左边单点、右边单点^^^B - 左边单点,183,443,75 + 0.4,339,B - 左边单点,B - 左边单点、右边单点,183,443,1087676,39 - 0.2
J,8,"禁绝边境线","Walküre",,,分开,295 + 634,A - 左边单点^^^B - 左边单点,A - 左下单点、右边单点^^^B - 左边单点、右边单点,428,963,72 + 0.0,634,B - 左边单点,B - 左边单点、右边单点,428,963,1776120,37 - 0.4
,,"走着走着就散了","庄心妍",,红色,分开,187 + 452、187 + 469、187 + 470、188 + 452、188 + 469、188 + 470,A - 左下单点^^^B - 右边单点,A - 左边单点^^^B - 左下单点,295,561,64 + 0.0,187、188,A - 左下单点,A - 左边单点,295,561,1211676,33 - 0.4
B,6,"BONAMANA","Super Junior",,红色,分开,417 + 518、418 + 518,B - 右下右滑条结尾^^^B - 右边单点,B - 右边单点^^^B - 左边长条结尾,243,633,90 + 0.2,417、418,B - 右下右滑条结尾,B - 右边单点,243,633,1590991,47 - 0.2
B,8,"Bright Spring","M2U",,,分开,735 + 831、737 + 831,B - 左边长条结尾、右边单点^^^B - 左边滑点,B - 左边滑点^^^B - 左边滑点、右边滑点,444,916,86 - 0.5,747,B - 右边长条开始,B - 左边单点、右边单点,444,916,1725685,44 - 0.3
,,"娃娃脸","后弦",,红色,分开,300 + 506,B - 左边右滑条中间^^^B - 左边单点、右边单点,B - 左边单点^^^B - 左边单点,298,623,62 + 0.0,506,B - 左边单点、右边单点,B - 左边单点,298,623,1156214,32 + 0.1
,,"Try Everything","Shakira",,红色,分开,196 + 399,A - 右边长条开始^^^B - 右边左滑条中间,A - 左边单点^^^B - 右下单点,306,643,57 + 0.4,399,B - 右边左滑条中间,B - 右下单点,306,643,1126223,30 + 0.2
C,10,"Crossing Field","LiSA",,,分开,130 + 456、130 + 1123、132 + 456、132 + 1123、132 + 456、132 + 1123、132 + 456、132 + 1123、132 + 456、132 + 1123,A - 左下单点、右边单点^^^A - 左边单点、右边单点,A - 左边单点、右边单点^^^A - 右边左滑条中间、左边单点,597,1351,103 + 0.0,130、132,A - 左下单点、右边单点,A - 左边单点、右边单点,597,1351,2826228,52 - 0.4
,,"触动心触动爱","BY2",,红色,分开,271 + 415、271 + 416,B - 左边滑点^^^B - 右边单点,B - 右边左滑条结尾、左边单点^^^B - 右下单点,244,473,60 + 0.1,415、416,B - 右边单点,B - 右下单点,244,473,895376,32 - 0.3
,,"背对背拥抱","林俊杰",,红色,分开,247 + 514,A - 左下单点^^^B - 左边滑点,A - 右下单点^^^B - 中间单点,395,684,66 + 0.3,247,A - 左下单点,A - 右下单点,395,684,1192502,34 - 0.4
I,9,"I Knew You Were Trouble","Taylor Swift",,,分开,639 + 783,B - 左下单点、右下单点^^^B - 左下单点、右边单点,B - 左边长条中间、右边长条中间^^^B - 左边单点、右边单点,597,1108,98 + 0.2,783,B - 左下单点、右边单点,B - 左边单点、右边单点,597,1108,2047407,50 + 0.2
L,8,"L.I.E","EXID",,,分开,246 + 467,A - 左边单点、右边单点^^^B - 左边右滑条中间,A - 左下单点^^^B - 左下单点,465,799,66 + 0.4,467,B - 左边右滑条中间,B - 左下单点,465,799,1483597,33 + 0.3
B,6,"Bad Girl","吴亦凡",,,分开,167 + 499、187 + 499,A - 右下滑点^^^B - 右下滑点,A - 左下单点、右边单点^^^B - 左边长条中间、右边长条中间,301,734,61 + 0.4,499,B - 右下滑点,B - 左边长条中间、右边长条中间,301,734,1390819,33 - 0.4
B,6,"Booty Music","Git Fresh",,,分开,305 + 566、308 + 566,A - 左边单点^^^B - 右边滑点,A - 右下单点^^^B - 右下单点,396,726,66 + 0.1,305、308,A - 左边单点,A - 右下单点,396,726,1340328,34 + 0.2
,,"New Divide","Linkin Park",,红色,分开,256 + 549,A - 左边单点、右边单点^^^B - 左边单点、右边单点,A - 右下滑点^^^B - 左边滑点,394,635,73 - 0.4,256,A - 左边单点、右边单点,A - 右下滑点,394,635,1186110,39 - 0.4
,,"黑暗骑士","林俊杰/五月天",,红色,分开,208 + 561、209 + 561,A - 左下单点^^^B - 右下滑点,A - 左下单点^^^B - 右边长条结尾、左边单点,326,629,65 - 0.3,208、209,A - 左下单点,A - 左下单点,326,629,1212697,33 - 0.4
,,"后会无期","徐良/汪苏泷",,红色,分开,118 + 296、118 + 297、118 + 303、119 + 296、119 + 297、119 + 303、125 + 296、125 + 297、125 + 303、125 + 296,A - 左下单点^^^B - 右下单点,A - 右边单点^^^B - 左边单点,198,393,62 - 0.2,118、119、125、129、131、296、297、303,A - 左下单点,A - 右边单点,198,393,759449,31 - 0.1
,,"歌谣","李荣浩",,,分开,526 + 598,B - 左边右滑条结尾、右边单点^^^B - 右下单点,B - 右边单点^^^B - 右边长条结尾,398,874,68 + 0.0,526,B - 左边右滑条结尾、右边单点,B - 右边单点,398,874,1476165,34 + 0.3
,,"淘汰","陈奕迅",,红色,分开,249 + 473,B - 右边单点^^^B - 左下单点,B - 左边左滑条中间^^^B - 右下长条结尾,229,566,55 + 0.3,249,B - 右边单点,B - 左边左滑条中间,229,566,885489,28 - 0.3
,,"今天你要嫁给我","陶喆/蔡依林",,红色,分开,173 + 259,B - 右边单点^^^B - 左边长条中间,B - 右边左滑条开始^^^B - 右边单点,148,391,65 + 0.0,173,B - 右边单点,B - 右边左滑条开始,148,391,816274,35 + 0.0
,,"太阳雨","QQ炫舞原创",,红色,分开,224 + 285,B - 右边单点^^^B - 右边左滑条开始,B - 右下单点^^^B - 左下单点,201,383,64 - 0.5,243,B - 右边左滑条中间,B - 左边单点,201,383,756027,33 + 0.0
,,"桃花旗袍","BY2",,红色,分开,201 + 541,A - 左下左滑条中间^^^B - 左下单点、右下单点,A - 左边长条结尾、右边长条结尾^^^B - 左边长条中间、右边长条中间,294,642,73 + 0.4,201,A - 左下左滑条中间,A - 左边长条结尾、右边长条结尾,294,642,1126065,39 + 0.1
Y,7,"YESTERDAY","Block B",,,分开,98 + 531,A - 左下单点^^^B - 右边右滑条开始,A - 左下单点^^^B - 左边左滑条结尾、右边左滑条结尾,352,751,60 + 0.3,98,A - 左下单点,A - 左下单点,352,751,1469808,30 + 0.3
N,6,"你的声音不会消失","fumika",,红色,分开,544 + 733,B - 左下单点、右下单点^^^B - 左下左滑条结尾,B - 右下单点^^^B - 左边长条结尾、右边长条结尾,372,838,76 - 0.2,544,B - 左下单点、右下单点,B - 右下单点,372,838,1383301,38 + 0.2
,,"一笑倾城","汪苏泷",,红色,分开,136 + 432、136 + 433、136 + 432、136 + 433、136 + 432、136 + 433、136 + 432、136 + 433、136 + 432、136 + 433,A - 右边单点^^^B - 右下单点,A - 右边单点^^^B - 左边单点,259,554,61 + 0.3,432、433,B - 右下单点,B - 左边单点,259,554,1164216,32 - 0.4
J,6,"Just Dance","Lady GaGa",,,分开,231 + 413,A - 中间单点^^^B - 左边滑点,A - 左下单点^^^B - 右边单点,321,651,68 + 0.1,413,B - 左边滑点,B - 右边单点,321,651,1434142,37 - 0.1
G,6,"Good Time","Owl City",,红色,分开,158 + 344,A - 左下单点^^^B - 右边滑点,A - 右边滑点^^^B - 左边单点,278,548,63 + 0.3,158,A - 左下单点,A - 右边滑点,278,548,1128917,32 - 0.1
L,7,"Landing","温岚",,,分开,175 + 532、176 + 532、177 + 532,A - 左边单点^^^B - 右边单点,A - 右边单点^^^B - 左边单点,337,657,74 - 0.5,175、176、177,A - 左边单点,A - 右边单点,337,657,1411770,37 + 0.0
,,"漫时光","QQ炫舞",,,分开,94 + 259、94 + 504,A - 左边长条中间、右边单点^^^A - 左下单点、右下单点,A - 右下单点^^^A - 左下滑点,414,683,62 - 0.2,94,A - 左边长条中间、右边单点,A - 右下单点,414,683,1328625,31 + 0.1
,,"FIVE","Apink",,红色,分开,247 + 450,A - 左边滑点^^^B - 左边滑点,A - 右下右滑条开始^^^B - 右下右滑条开始,323,554,61 - 0.1,450,B - 左边滑点,B - 右下右滑条开始,323,554,1100788,31 - 0.4
P,6,"Poker Face","Lady Gaga",,红色,分开,219 + 488、219 + 490、220 + 488、220 + 490,A - 左边单点^^^B - 左下单点,A - 右边单点^^^B - 右边单点,340,669,78 - 0.2,219、220,A - 左边单点,A - 右边单点,340,669,1324922,41 + 0.0
K,9,"卡农","Pachelbel",,,分开,28 + 293,A - 右下单点^^^A - 右下单点,A - 左边单点、右下滑点^^^A - 左下单点、右下单点,493,960,82 + 0.0,293,A - 右下单点,A - 左下单点、右下单点,493,960,2132327,40 + 0.1
P,10,"Play 我呸","蔡依林",,,分开,80 + 827,A - 左边单点、右边单点^^^B - 左边单点、右边单点,A - 左边单点^^^B - 左下滑点、右下单点,500,985,89 + 0.0,827,B - 左边单点、右边单点,B - 左下滑点、右下单点,500,985,2461398,45 + 0.4
J,8,"JELLY JELLY","TWICE",,,分开,323 + 572,A - 左下单点^^^B - 左边长条开始、右边滑点,A - 左下单点、右边单点^^^B - 右下单点,493,944,85 + 0.4,572,B - 左边长条开始、右边滑点,B - 右下单点,493,944,1983475,48 - 0.5
,,"Right Now","rihanna",,,分开,85 + 336、85 + 337、85 + 336、85 + 337、85 + 336、85 + 337,A - 左边单点、右下单点^^^A - 左下长条结尾,A - 右边滑点^^^A - 右下单点,481,833,60 + 0.4,336、337,A - 左下长条结尾,A - 右下单点,481,833,1456853,31 - 0.2
A,9,"曖昧スクリーム","平野绫",,,分开,911 + 1303、911 + 1308、911 + 1303、911 + 1308,B - 左边右滑条开始、右边左滑条开始^^^B - 右边滑点,B - 右边单点^^^B - 中间滑点,703,1398,79 - 0.4,911、927,B - 左边右滑条开始、右边左滑条开始,B - 右边单点,703,1398,2581168,40 - 0.4
W,6,"What Makes You Beautiful","One Direction",,红色,分开,79 + 317,A - 右下长条开始^^^B - 左下滑点,A - 右边单点^^^B - 左边单点,237,567,64 + 0.2,317,B - 左下滑点,B - 左边单点,237,567,1167824,32 + 0.3
,,"小酒窝","林俊杰",,红色,分开,123 + 348,A - 左边单点^^^B - 右边单点,A - 右下单点^^^B - 左下单点,293,538,61 + 0.0,123、348,A - 左边单点,A - 右下单点,293,538,1011518,31 - 0.5
,,"专属味道","汪苏泷/林希儿",,,分开,671 + 748,B - 右下右滑条中间^^^B - 右下单点,B - 右边单点^^^B - 右下滑点,420,816,56 + 0.0,674,B - 左下单点,B - 右下单点,420,816,1316168,29 - 0.5
S,9,"Sparkling Daydream","ZAQ",20,,分开,393 + 910,A - 左边单点、右边单点^^^B - 左边单点、右边单点,A - 右下右滑条结尾、左边单点^^^B - 左边左滑条结尾、右边右滑条结尾,573,1256,88 - 0.2,910,B - 左边单点、右边单点,B - 左边左滑条结尾、右边右滑条结尾,573,1256,2594802,44 + 0.1
S,9,"SHIORI","ClariS",,,分开,316 + 916,A - 右边长条开始^^^B - 左下单点、右下单点,A - 右边右滑条开始^^^B - 左边单点、右边单点,484,1223,86 - 0.3,916,B - 左下单点、右下单点,B - 左边单点、右边单点,484,1223,2316628,43 + 0.2
,,"怎样说清此刻的心情","BY2",,红色,分开,202 + 464,A - 左下单点、右下单点^^^B - 左边单点、右边长条开始,A - 右边长条开始^^^B - 左下左滑条中间、右下右滑条中间,329,575,64 - 0.3,202,A - 左下单点、右下单点,A - 右边长条开始,329,575,1041696,32 + 0.3
R,8,"Rolling Star","YUI",,,分开,483 + 573,B - 左下单点、右下单点^^^B - 左边单点、右边单点,B - 左边单点、右边单点^^^B - 左边滑点,369,834,86 + 0.2,483,B - 左下单点、右下单点,B - 左边单点、右边单点,369,834,1764591,46 + 0.4
T,6,"太过爱你","MC梦",,,分开,238 + 443,A - 左下单点、右下单点^^^B - 左边长条开始、右边左滑条开始,A - 左下长条开始^^^B - 右边长条开始,355,739,64 - 0.3,238,A - 左下单点、右下单点,A - 左下长条开始,355,739,1285928,32 + 0.4
A,7,"Apple Is A","T-ara",,红色,分开,221 + 348,A - 右边滑点^^^B - 左下左滑条开始、右下右滑条开始,A - 左下滑点、右下滑点^^^B - 左边单点,298,526,70 + 0.3,221,A - 右边滑点,A - 左下滑点、右下滑点,298,526,1098261,38 - 0.4
,,"恋爱幸运曲奇","AKB48",,红色,分开,306 + 377,B - 左边长条开始^^^B - 左边单点,B - 左下单点、右下单点^^^B - 左下单点、右下单点,215,558,60 - 0.2,329,B - 左下左滑条中间,B - 左边单点、右边单点,215,558,941931,31 - 0.4
,,"Checkmate","林俊杰/郑容和",,红色,分开,398 + 542、399 + 542,B - 左边单点^^^B - 右边单点,B - 左边单点^^^B - 右边长条中间,271,623,55 + 0.0,398、399,B - 左边单点,B - 左边单点,271,623,951590,29 + 0.0
,,"勋章","鹿晗",,红色,分开,143 + 352,A - 左边长条中间^^^B - 左下单点、右下单点,A - 中间单点^^^B - 左边单点,206,458,67 - 0.5,352,B - 左下单点、右下单点,B - 左边单点,206,458,840727,35 - 0.5
,,"因你而在","林俊杰",,红色,分开,200 + 377、200 + 380、200 + 381,A - 左边单点^^^B - 左边单点,A - 右边长条中间^^^B - 左边滑点,249,569,60 + 0.1,377、380、381,B - 左边单点,B - 左边滑点,249,569,1041305,30 + 0.1
,,"再见安打","唐禹哲",,红色,分开,198 + 379,B - 左边左滑条中间^^^B - 右边右滑条中间,B - 左边单点^^^B - 左下单点,163,441,59 + 0.2,198,B - 左边左滑条中间,B - 左边单点,163,441,803123,30 - 0.4
X,6,"幸福的节拍","杨丞琳",,,分开,202 + 667,A - 左下单点^^^B - 左边单点、右边单点,A - 右下滑点^^^B - 左下左滑条中间、右下右滑条中间,379,772,67 - 0.2,667,B - 左边单点、右边单点,B - 左下左滑条中间、右下右滑条中间,379,772,1315049,34 + 0.3
C,8,"chAngE","miwa",,,分开,363 + 554、363 + 555,A - 左边单点、右边单点^^^B - 左下单点,A - 左边单点^^^B - 左边右滑条结尾、右边单点,548,1238,84 + 0.2,554、555,B - 左下单点,B - 左边右滑条结尾、右边单点,548,1238,2314113,44 - 0.1
,,"稀罕没理由","潘玮柏",,红色,分开,64 + 177、64 + 179,A - 右下单点^^^B - 左下单点,A - 右下滑点^^^B - 左下单点,144,289,62 + 0.3,64,A - 右下单点,A - 右下滑点,144,289,696212,32 + 0.2
N,8,"你，有没有过","林俊杰",,,分开,182 + 935,A - 左边单点^^^B - 左边单点、右边右滑条开始,A - 左下单点^^^B - 右下滑点,549,1100,77 - 0.3,935,B - 左边单点、右边右滑条开始,B - 右下滑点,549,1100,1808295,39 - 0.4
R,6,"Rage Your Dream","M.O.V.E",,,分开,52 + 654,A - 左边单点^^^B - 左边左滑条中间,A - 左下单点^^^B - 左边单点、右边单点,503,841,74 - 0.2,654,B - 左边左滑条中间,B - 左边单点、右边单点,503,841,1526094,36 + 0.4
M,6,"Mimimi","Serebro",,红色,分开,204 + 462、204 + 464、204 + 462、204 + 464、204 + 462、204 + 464、204 + 462、204 + 464、204 + 462、204 + 464,A - 左边单点^^^B - 右边单点,A - 左边单点、右边单点^^^B - 左下单点、右边单点,374,708,75 - 0.5,462、464,B - 右边单点,B - 左下单点、右边单点,374,708,1368516,41 - 0.5
,,"棉花糖","至上励合",,红色,分开,219 + 267,B - 左边单点、右边单点^^^B - 左边滑点,B - 右边单点^^^B - 右边单点,172,386,49 - 0.2,267,B - 左边滑点,B - 右边单点,172,386,698572,26 - 0.4
T,6,"Telephone","Lady GaGa",,,分开,606 + 742、606 + 743、606 + 745、606 + 747,B - 左边单点、右下单点^^^B - 右边单点,B - 右下单点^^^B - 左下单点、右下单点,413,813,77 - 0.4,606,B - 左边单点、右下单点,B - 右下单点,413,813,1625174,40 + 0.2
,,"Love Story","Taylor Swift",,,分开,431 + 677,A - 右边单点^^^B - 左边单点、右边单点,A - 左边单点、右边单点^^^B - 右边滑点,493,803,72 - 0.3,677,B - 左边单点、右边单点,B - 右边滑点,493,803,1437991,37 + 0.4
,,"Talk Dirty","Jason Derulo/2",,红色,分开,109 + 349、110 + 349、111 + 349,A - 左边单点^^^B - 左下滑点,A - 左边滑点^^^B - 右下单点,229,411,53 + 0.1,349,B - 左下滑点,B - 右下单点,229,411,843372,28 - 0.2
,,"Sometimes","Kat Graham",,红色,分开,108 + 358、108 + 359、108 + 358、108 + 359,A - 右下单点^^^B - 右下单点,A - 左边左滑条结尾^^^B - 右下单点,247,441,57 - 0.5,358、359,B - 右下单点,B - 右下单点,247,441,897477,30 - 0.3
H,8,"好想大声说喜欢你","BAAD",,,分开,238 + 939,A - 右下长条中间^^^B - 左下左滑条开始、右下右滑条开始,A - 右边单点^^^B - 右边左滑条结尾、左边单点,462,1096,83 + 0.0,238,A - 右下长条中间,A - 右边单点,462,1096,1880707,43 - 0.4
H,8,"Hacking to the Gate","伊藤加奈子",,,分开,858 + 937,B - 左边长条中间、右边单点^^^B - 右下右滑条中间,B - 右边单点^^^B - 左下单点、右下单点,589,1077,68 + 0.3,858,B - 左边长条中间、右边单点,B - 右边单点,589,1077,1907961,34 + 0.3
X,6,"小情歌","苏打绿",,红色,分开,537 + 634、537 + 635,B - 左下左滑条开始、右下右滑条开始^^^B - 右下单点,B - 右边左滑条开始^^^B - 右边单点,320,786,74 - 0.5,634、635,B - 右下单点,B - 右边单点,320,786,1356441,37 - 0.1
,,"明天，你好","牛奶咖啡",,红色,分开,80 + 170,A - 右下单点^^^B - 左边长条开始、右边长条开始,A - 左下单点^^^B - 左下长条开始,170,358,57 + 0.0,170,B - 左边长条开始、右边长条开始,B - 左下长条开始,170,358,780302,29 - 0.4
,,"素颜","许嵩/何曼婷",,红色,分开,62 + 116,A - 右边单点^^^B - 右下单点,A - 左边滑点^^^B - 右边单点,98,231,53 + 0.2,116,B - 右下单点,B - 右边单点,98,231,566585,27 - 0.5
,,"直到世界终结 ","WANDS",,红色,分开,330 + 469,B - 右边单点^^^B - 左边单点,B - 左边单点^^^B - 右下左滑条结尾、右边左滑条结尾,190,539,63 + 0.1,469,B - 左边单点,B - 右下左滑条结尾、右边左滑条结尾,190,539,904914,34 - 0.4
J,8,"Just Like Fire","P!nk",,,分开,226 + 327、226 + 624、226 + 725、327 + 624、327 + 725、624 + 725,A - 左边单点^^^A - 右边单点,A - 左边单点、右边单点^^^A - 左边单点、右边单点,410,924,73 + 0.0,226、327、624、725,A - 左边单点,A - 左边单点、右边单点,410,924,1800129,37 - 0.5
L,6,"LOVE IT LIVE IT","YDPP",,,分开,387 + 659,B - 左下单点^^^B - 右边长条结尾、左下长条开始,B - 左边滑点^^^B - 左边单点,326,744,66 + 0.1,387,B - 左下单点,B - 左边滑点,326,744,1360946,35 + 0.0
,,"第一次爱的人","王心凌",,红色,分开,57 + 196,A - 左边单点^^^B - 左边单点,A - 左边滑点^^^B - 左下左滑条中间,196,374,58 + 0.1,57,A - 左边单点,A - 左边滑点,196,374,819228,32 + 0.2
Z,6,"再遇不到你这样的人","庄心妍",50,红色,分开,516 + 603,B - 左边单点、右边单点^^^B - 左边左滑条中间,B - 右边单点^^^B - 右边单点,351,726,69 - 0.5,603,B - 左边左滑条中间,B - 右边单点,351,726,1340354,36 - 0.2
