字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"一笑倾城","汪苏泷",,红色,分开,322 + 370,B - 二轨单点、四轨单点^^^B - 二轨长条中间,B - 三轨长条开始^^^B - 一轨单点,161,409,63 + 0.2,322,B - 二轨单点、四轨单点,B - 三轨长条开始,161,409,1054743,32 + 0.4
B,6,"Bad Romance","Lady Gaga",,红色,分开,415 + 483、415 + 485、415 + 487、416 + 485、416 + 487,B - 一轨单点^^^B - 二轨单点、四轨单点,B - 四轨单点^^^B - 四轨单点,253,539,75 + 0.1,483、485、487,B - 二轨单点、四轨单点,B - 四轨单点,253,539,1436656,39 + 0.0
J,9,"JELLY JELLY","TWICE",,,分开,168 + 708、168 + 710、168 + 711、168 + 713、168 + 715、168 + 717、169 + 708、169 + 710、169 + 711、169 + 713,A - 三轨单点^^^B - 一轨单点、四轨单点,A - 三轨单点^^^B - 三轨单点,401,760,65 + 0.3,168、171、172,A - 三轨单点,A - 三轨单点,401,760,1681403,33 - 0.2
,,"CALL ME BABY","EXO",,红色,分开,189 + 314,B - 二轨单点、三轨单点^^^B - 一轨单点,B - 二轨长条中间^^^B - 三轨长条中间,163,400,58 - 0.2,314,B - 一轨单点,B - 三轨长条中间,163,400,833009,30 - 0.5
B,6,"Bad Girl","吴亦凡",,,分开,491 + 716、492 + 716、493 + 716,B - 二轨单点^^^B - 四轨单点,B - 一轨长条结尾、四轨单点^^^B - 三轨长条中间,345,836,67 - 0.2,716,B - 四轨单点,B - 三轨长条中间,345,836,1607213,34 - 0.5
G,6,"Good Time","Owl City",,红色,分开,387 + 493,B - 一轨单点、四轨单点^^^B - 一轨单点、三四轨滑条,B - 二轨单点^^^B - 一轨长条结尾、三轨单点,284,592,79 + 0.3,493,B - 一轨单点、三四轨滑条,B - 一轨长条结尾、三轨单点,284,592,1253990,43 + 0.3
Z,6,"怎样说清此刻的心情","BY2",,红色,分开,193 + 291、193 + 503,A - 二轨单点^^^A - 二一轨滑条、四轨单点,A - 一轨长条右滑^^^A - 一轨长条中间、三轨长条中间,373,611,71 + 0.1,193,A - 二轨单点,A - 一轨长条右滑,373,611,1061290,36 - 0.3
,,"唐人","孙子涵",,红色,分开,88 + 272,A - 二轨单点^^^B - 三轨单点,A - 三轨长条中间^^^B - 二轨长条中间,155,399,44 + 0.2,272,B - 三轨单点,B - 二轨长条中间,155,399,771354,23 + 0.2
,,"恋爱幸运曲奇","AKB48",,红色,分开,225 + 354,B - 一轨单点^^^B - 三四轨滑键,B - 一轨长条右滑^^^B - 二轨长条中间,148,420,52 - 0.1,225,B - 一轨单点,B - 一轨长条右滑,148,420,850572,26 + 0.4
M,6,"Mimimi","Serebro",,,分开,93 + 310,A - 二轨单点^^^B - 一轨单点,A - 三轨单点^^^B - 二轨长条中间,264,491,59 + 0.4,93,A - 二轨单点,A - 三轨单点,264,491,1183577,30 + 0.0
B,6,"BONAMANA","Super Junior",,红色,分开,400 + 551,B - 二轨长条中间^^^B - 一轨长条中间,B - 二轨单点、四轨单点^^^B - 二轨单点、四轨单点,244,621,73 + 0.3,400,B - 二轨长条中间,B - 二轨单点、四轨单点,244,621,1384193,37 + 0.2
,,"李白","李荣浩",,,分开,189 + 378,A - 一轨单点^^^B - 二轨单点,A - 二轨单点^^^B - 二轨单点、三轨单点,248,442,41 + 0.2,378,B - 二轨单点,B - 二轨单点、三轨单点,248,442,831635,22 - 0.2
,,"Blue Skies","Lenka",,红色,分开,89 + 342、89 + 343、89 + 344,A - 二轨长条开始、四轨长条开始^^^B - 一轨单点,A - 一轨长条结尾、三轨单点^^^B - 一轨单点,204,483,56 + 0.3,342、343、344,B - 一轨单点,B - 一轨单点,204,483,1003910,29 - 0.3
L,6,"Landing","温岚",,红色,分开,319 + 408、319 + 409、319 + 410,B - 四轨长条开始^^^B - 三四轨滑键,B - 三轨单点^^^B - 三轨单点,215,462,54 - 0.4,319,B - 四轨长条开始,B - 三轨单点,215,462,989360,28 - 0.5
,,"卡农","Pachelbel",,,分开,168 + 878,A - 一轨单点、五轨单点^^^B - 二轨单点,A - 三轨单点^^^B - 一轨单点、四轨单点,472,925,81 + 0.0,168,A - 一轨单点、五轨单点,A - 三轨单点,472,925,1989624,41 + 0.0
,,"明天，你好","牛奶咖啡",,红色,分开,60 + 150,A - 三轨单点^^^B - 一轨长条开始、四轨长条开始,A - 三轨单点^^^B - 四轨单点,150,360,54 - 0.4,150,B - 一轨长条开始、四轨长条开始,B - 四轨单点,150,360,772147,29 + 0.1
W,6,"Wonderland","gugudan",,红色,分开,241 + 352,B - 四轨单点^^^B - 三轨单点,B - 二一轨滑键、三四轨滑键^^^B - 二一轨滑键、四轨长条左滑,238,503,71 + 0.4,241,B - 四轨单点,B - 二一轨滑键、三四轨滑键,238,503,1120237,36 - 0.1
,,"我们不该这样的","张赫宣",,红色,分开,251 + 291,B - 二轨单点、三轨单点^^^B - 一轨单点,B - 二轨单点^^^B - 三轨单点,144,346,60 - 0.1,291,B - 一轨单点,B - 三轨单点,144,346,861616,31 - 0.2
H,9,"Hacking to the Gate","伊藤加奈子",50,,分开,822 + 1082,B - 二轨长条中间、三轨长条中间^^^B - 三轨单点,B - 二轨单点、三轨单点^^^B - 一轨长条结尾、三轨单点,569,1160,102 + 0.0,822,B - 二轨长条中间、三轨长条中间,B - 二轨单点、三轨单点,569,1160,2153668,52 + 0.0
X,6,"幸福的节拍","杨丞琳",,红色,分开,415 + 477、415 + 478,B - 一轨长条开始、四轨长条结尾^^^B - 二一轨滑键,B - 二轨长条结尾、三四轨滑键^^^B - 二轨单点,246,550,58 + 0.2,439,B - 四轨单点,B - 一轨长条右滑,246,550,1109088,30 - 0.5
X,6,"小星星","汪苏泷",100,,分开,350 + 802,A - 三轨单点^^^B - 三轨单点,A - 三轨长条中间^^^B - 四轨长条左滑,454,980,75 - 0.4,802,B - 三轨单点,B - 四轨长条左滑,454,980,1527910,40 - 0.5
,,"你的声音不会消失","fumika",20,,分开,241 + 524、243 + 524,A - 二轨长条中间^^^B - 一轨长条开始,A - 三轨长条右滑^^^B - 一轨长条中间,354,745,70 + 0.2,241、243,A - 二轨长条中间,A - 三轨长条右滑,354,745,1385282,36 + 0.1
I,8,"I Want My Tears Back","NIGHT WISH",20,红色,分开,802 + 948,B - 二轨单点、四轨长条开始^^^B - 二轨长条中间、三轨长条中间,B - 二轨长条中间、三轨长条中间^^^B - 二轨长条左滑、四轨长条左滑,601,1432,143 + 0.1,946,B - 二轨长条中间、三轨长条中间,B - 二轨长条左滑、四轨长条左滑,601,1432,2789886,78 - 0.4
,,"江南","林俊杰",50,红色,分开,118 + 414,A - 二轨单点^^^B - 一轨长条中间,A - 一轨单点、三轨长条结尾^^^B - 三轨单点,213,496,64 - 0.2,118,A - 二轨单点,A - 一轨单点、三轨长条结尾,213,496,931630,33 - 0.2
B,7,"表白","萧亚轩",100,红色,分开,292 + 551,B - 四轨长条中间^^^B - 一轨单点,B - 二轨长条左滑、三四轨滑键^^^B - 一轨长条结尾、四轨长条结尾,269,691,81 - 0.3,551,B - 一轨单点,B - 一轨长条结尾、四轨长条结尾,269,691,1449717,44 - 0.5
,,"Born This Way","Lady Gaga",50,红色,分开,143 + 353,A - 二轨长条开始、四轨长条开始^^^B - 一轨长条开始、四轨长条开始,A - 一轨长条结尾、三轨长条结尾^^^B - 四轨长条结尾,206,450,55 - 0.1,353,B - 一轨长条开始、四轨长条开始,B - 四轨长条结尾,206,450,974194,28 - 0.4
,,"黑暗骑士","林俊杰/五月天",,,分开,180 + 488、180 + 489、180 + 490、180 + 491、180 + 492、180 + 493、181 + 488、181 + 489、181 + 490、181 + 491,A - 一轨单点^^^B - 一轨单点,A - 三轨单点^^^B - 四轨单点,273,550,60 + 0.0,180、181、182、183、184、185、488、489、490、491,A - 一轨单点,A - 三轨单点,273,550,1159306,30 + 0.0
,,"剩下的盛夏","TFBOYS",,红色,分开,114 + 318、114 + 319、114 + 320、114 + 321、114 + 327、115 + 318、115 + 319、115 + 320、115 + 321、115 + 327,A - 四轨长条中间^^^B - 二轨长条结尾,A - 三轨长条右滑^^^B - 四轨长条左滑,279,583,65 + 0.3,114、120,A - 四轨长条中间,A - 三轨长条右滑,279,583,932971,36 + 0.3
,,"帝都","萌萌哒天团",,红色,分开,151 + 187,B - 二轨单点^^^B - 二轨单点,B - 四轨单点^^^B - 三轨单点,109,362,38 + 0.4,172,B - 三轨单点,B - 二轨长条中间,109,362,639522,20 - 0.2
,,"不完美小孩","TFBOYS",,红色,分开,271 + 367,B - 一轨长条开始^^^B - 一轨长条开始,B - 四轨长条中间^^^B - 三轨单点,208,529,57 - 0.1,367,B - 一轨长条开始,B - 三轨单点,208,529,941444,29 - 0.5
B,6,"背对背拥抱","林俊杰",100,红色,分开,360 + 625,A - 二轨单点、四轨单点^^^B - 二轨单点、四轨单点,A - 一轨单点、四轨长条中间^^^B - 一轨长条结尾、三轨长条结尾,457,803,76 - 0.2,360,A - 二轨单点、四轨单点,A - 一轨单点、四轨长条中间,457,803,1309070,39 - 0.4
,,"Numb","Linkin Park",,红色,分开,457 + 549,B - 二轨长条开始、四轨单点^^^B - 一轨长条中间、三轨单点,B - 一轨长条中间^^^B - 二轨长条中间、三轨长条中间,244,668,86 + 0.0,504、506,B - 二轨长条中间,B - 二轨单点、三轨长条中间,244,668,1160028,44 + 0.0
N,9,"你，有没有过","林俊杰",100,,分开,542 + 835,B - 二轨长条开始、四轨单点^^^B - 一轨单点、四轨单点,B - 一轨长条中间^^^B - 一轨单点、四轨长条中间,465,1127,100 + 0.3,835,B - 一轨单点、四轨单点,B - 一轨单点、四轨长条中间,465,1127,2195579,51 - 0.3
B,6,"Bright Spring","M2U",,红色,分开,322 + 389、322 + 390、323 + 389、323 + 390,B - 二轨单点^^^B - 一轨单点,B - 二轨单点、四轨长条结尾^^^B - 二轨长条结尾,252,578,62 - 0.3,322,B - 二轨单点,B - 二轨单点、四轨长条结尾,252,578,1205280,33 + 0.0
,,"太过爱你","MC梦",,红色,分开,183 + 500,A - 二轨长条中间^^^B - 三轨长条右滑,A - 一轨长条结尾、四轨长条结尾^^^B - 一轨长条中间、四轨长条中间,397,875,77 - 0.2,500,B - 三轨长条右滑,B - 一轨长条中间、四轨长条中间,397,875,1439049,39 - 0.3
,,"万有引力","汪苏泷",,红色,分开,100 + 157,B - 三轨单点^^^B - 二轨单点,B - 二轨长条结尾^^^B - 二轨长条中间,56,204,40 - 0.2,157,B - 二轨单点,B - 二轨长条中间,56,204,436500,20 + 0.3
,,"Long Kiss Good Bye","Halcali",50,,分开,527 + 593、529 + 593,B - 一轨单点、四轨单点^^^B - 一轨单点,B - 一二轨滑键、四三轨滑键^^^B - 二轨单点、三轨单点,401,862,64 - 0.5,527、529,B - 一轨单点、四轨单点,B - 一二轨滑键、四三轨滑键,401,862,1369492,32 + 0.1
,,"猫步轻俏","AOA",,红色,分开,177 + 311,A - 二轨单点^^^B - 二轨单点、四轨单点,A - 一轨单点、四轨单点^^^B - 二轨单点、四轨长条中间,215,385,68 - 0.4,311,B - 二轨单点、四轨单点,B - 二轨单点、四轨长条中间,215,385,935796,37 - 0.4
W,9,"无可取代","李雪岩",,,分开,517 + 1017,A - 二一轨滑键、三轨长条开始^^^B - 三轨长条右滑,A - 三四轨滑键^^^B - 一轨长条结尾、四轨长条中间,631,1297,89 + 0.0,517,A - 二一轨滑键、三轨长条开始,A - 三四轨滑键,631,1297,2523125,47 - 0.2
L,6,"Love So Soft","Kelly Clarkson",,,分开,133 + 373,A - 二轨单点^^^B - 二轨单点,A - 一轨长条右滑、四轨长条左滑^^^B - 四轨长条中间,313,633,64 - 0.2,133,A - 二轨单点,A - 一轨长条右滑、四轨长条左滑,313,633,1370257,33 + 0.4
,,"下个，路口，见","李宇春",,红色,分开,160 + 376、160 + 381、160 + 383、160 + 385、160 + 390、160 + 376、160 + 381、160 + 383、160 + 385、160 + 390,A - 二轨长条开始^^^B - 一轨长条开始,A - 一轨长条结尾、三轨长条结尾^^^B - 一轨单点、三轨单点,226,455,56 + 0.1,376、381、383、385、390,B - 一轨长条开始,B - 一轨单点、三轨单点,226,455,767125,29 + 0.3
X,6,"小情歌","苏打绿",,红色,分开,377 + 633、377 + 634、377 + 635、377 + 636,B - 三四轨滑条^^^B - 三轨单点,B - 三轨长条中间^^^B - 二轨长条结尾,272,721,74 - 0.2,377,B - 三四轨滑条,B - 三轨长条中间,272,721,1322305,38 + 0.1
,,"走着走着就散了","庄心妍",,红色,分开,405 + 484,B - 一轨单点、三轨单点^^^B - 一轨长条中间,B - 二轨长条开始^^^B - 一轨长条结尾、四轨长条结尾,274,587,64 - 0.4,484,B - 一轨长条中间,B - 一轨长条结尾、四轨长条结尾,274,587,1091957,33 + 0.4
,,"Bing Bing","Crayon Pop",,,分开,427 + 498、428 + 498,B - 三轨单点^^^B - 二轨长条开始、四轨长条结尾,B - 四轨单点^^^B - 一轨单点,309,586,56 + 0.0,427、428,B - 三轨单点,B - 四轨单点,309,586,1513361,29 - 0.5
,,"淋雨一直走","张韶涵",,红色,分开,62 + 181,A - 三轨单点^^^B - 四轨单点,A - 一轨长条中间^^^B - 三轨单点,126,248,63 + 0.3,181,B - 四轨单点,B - 三轨单点,126,248,702331,32 - 0.4
,,"Boom Clap","Charli XCX",,红色,分开,139 + 239、140 + 239、141 + 239,B - 二轨单点^^^B - 四轨单点,B - 四轨单点^^^B - 二轨单点、四轨长条结尾,131,343,54 - 0.5,239,B - 四轨单点,B - 二轨单点、四轨长条结尾,131,343,747844,28 - 0.5
L,6,"Look What You Made Me Do","Taylor Swift",,红色,分开,227 + 298、227 + 299、229 + 298、229 + 299、230 + 298、230 + 299,B - 一二轨滑条^^^B - 二轨单点,B - 四轨长条中间^^^B - 二轨单点,210,530,66 + 0.2,251,B - 三四轨滑条,B - 一轨长条结尾、四轨长条结尾,210,530,1221454,36 - 0.4
,,"Be My Baby","Wonder Girls",,,分开,182 + 762、186 + 762、187 + 762,A - 四五轨滑键^^^B - 一二轨滑条、四五轨滑条,A - 一轨长条结尾、五轨长条结尾^^^B - 二轨长条结尾、五轨长条结尾,678,1067,86 + 0.4,182、186、187,A - 四五轨滑键,A - 一轨长条结尾、五轨长条结尾,678,1067,2014316,43 + 0.2
,,"New Divide","Linkin Park",,红色,分开,186 + 262,A - 二轨长条中间^^^A - 二轨单点、三轨单点,A - 三轨单点^^^A - 四轨长条中间,352,599,57 + 0.4,262,A - 二轨单点、三轨单点,A - 四轨长条中间,352,599,1007361,29 + 0.4
,,"Love Story","Taylor Swift",,红色,分开,276 + 527,A - 二轨单点^^^B - 一轨单点、三轨单点,A - 二轨长条左滑、三四轨滑键^^^B - 二一轨滑键、三轨长条右滑,319,601,72 - 0.5,527,B - 一轨单点、三轨单点,B - 二一轨滑键、三轨长条右滑,319,601,1294424,41 + 0.1
B,8,"Baby Boy","王心凌",,,分开,449 + 716、450 + 716、451 + 716、452 + 716、459 + 716、460 + 716、461 + 716,B - 一轨单点^^^B - 一轨单点、四轨单点,B - 四轨单点^^^B - 二轨单点、四轨单点,340,827,87 - 0.2,449、450、451、452、459、460、461,B - 一轨单点,B - 四轨单点,340,827,2008673,44 + 0.0
R,6,"Right Now","rihanna",,,分开,397 + 554,B - 二轨长条中间^^^B - 一轨长条中间,B - 一轨单点^^^B - 一轨单点,395,818,73 - 0.1,397,B - 二轨长条中间,B - 一轨单点,395,818,1572181,38 + 0.3
K,10,"空想神话","妖精帝国",,,分开,252 + 1516,A - 四轨长条开始^^^B - 一轨长条中间、三轨单点,A - 一轨长条结尾、三轨长条右滑^^^B - 一轨长条中间、三轨单点,915,1745,121 - 0.4,1516,B - 一轨长条中间、三轨单点,B - 一轨长条中间、三轨单点,915,1745,3111734,68 - 0.1
,,"带你去旅行","校长",,红色,分开,367 + 430,B - 二轨单点^^^B - 一轨长条开始,B - 三轨单点^^^B - 二轨单点,247,492,62 + 0.1,430,B - 一轨长条开始,B - 二轨单点,247,492,1028609,32 + 0.3
,,"今天你要嫁给我","陶喆/蔡依林",,红色,分开,96 + 145、96 + 146、96 + 147、96 + 148、96 + 149、97 + 145、97 + 146、97 + 147、97 + 148、97 + 149,A - 三轨长条中间^^^B - 二轨单点,A - 二轨单点、三轨单点^^^B - 一轨单点,145,281,46 - 0.1,145、146、147、148、149,B - 二轨单点,B - 一轨单点,145,281,588653,24 - 0.2
,,"Hola","Flo Rida/Maluma",,红色,分开,98 + 244,A - 二轨单点、四轨单点^^^B - 三轨单点,A - 三四轨滑键^^^B - 一轨长条右滑,175,335,53 - 0.5,98,A - 二轨单点、四轨单点,A - 三四轨滑键,175,335,821115,27 + 0.0
,,"绿光","孙燕姿",,红色,分开,221 + 441、221 + 443、221 + 445,B - 四轨长条左滑^^^B - 二轨单点,B - 四轨单点^^^B - 二轨单点、三轨单点,203,495,63 + 0.1,441、443、445,B - 二轨单点,B - 二轨单点、三轨单点,203,495,1043431,34 - 0.5
Y,8,"YESTERDAY","Block B",,,分开,594 + 662、594 + 663、594 + 662、594 + 663、594 + 662、594 + 663、594 + 662、594 + 663、594 + 662、594 + 663,B - 一轨单点、四轨长条开始^^^B - 三轨单点,B - 一轨单点、三轨长条结尾^^^B - 二轨单点,333,810,68 - 0.5,594,B - 一轨单点、四轨长条开始,B - 一轨单点、三轨长条结尾,333,810,1617222,36 - 0.5
,,"回忆那么伤","孙子涵",,红色,分开,324 + 391、324 + 392,B - 一轨长条中间、四轨单点^^^B - 四轨单点,B - 一轨单点、四轨长条结尾^^^B - 三轨单点,162,488,68 + 0.1,391、392,B - 四轨单点,B - 三轨单点,162,488,1081442,35 - 0.2
B,6,"Baby","Justin Bieber",,红色,分开,128 + 198、128 + 355、355 + 425,A - 一轨单点、三轨单点^^^A - 一轨单点、三轨单点,A - 三轨单点^^^A - 三轨单点,268,551,61 - 0.2,128、355,A - 一轨单点、三轨单点,A - 三轨单点,268,551,1122081,30 + 0.4
,,"You Are","GOT7",,红色,分开,75 + 197,A - 一轨单点^^^B - 一轨长条开始,A - 四轨单点^^^B - 一轨单点,110,293,51 + 0.1,197,B - 一轨长条开始,B - 一轨单点,110,293,665746,25 + 0.1
,,"期待","Girl's Day",50,红色,分开,128 + 367,A - 四轨长条中间^^^B - 四轨长条中间,A - 一轨单点^^^B - 一轨单点,239,535,78 - 0.2,128、367,A - 四轨长条中间,A - 一轨单点,239,535,1173199,39 - 0.1
,,"等我先说","夏天Alex",50,,分开,187 + 261,A - 二轨长条左滑^^^A - 三轨单点,A - 三轨单点^^^A - 二轨长条中间、四轨单点,346,661,59 - 0.4,261,A - 三轨单点,A - 二轨长条中间、四轨单点,346,661,1152010,30 + 0.1
,,"Poker Face","Lady Gaga",,红色,分开,130 + 228、130 + 239、131 + 228、131 + 239、228 + 306、239 + 306,A - 四轨长条中间^^^B - 一轨长条开始,A - 二轨单点、四轨单点^^^B - 三轨单点,188,400,55 - 0.4,228、239,B - 一轨长条开始,B - 三轨单点,188,400,981752,28 + 0.0
S,7,"什么什么","蔡依林",,,分开,96 + 371,A - 一轨长条中间^^^B - 四轨长条中间,A - 二轨单点^^^B - 三轨单点,308,751,78 - 0.4,371,B - 四轨长条中间,B - 三轨单点,308,751,1562278,39 - 0.2
,,"我们的歌","王力宏",,,分开,464 + 652,B - 四轨长条开始^^^B - 三四轨滑条,B - 一轨单点^^^B - 三轨单点,347,750,59 - 0.2,652,B - 三四轨滑条,B - 三轨单点,347,750,1393175,32 - 0.3
,,"不朽之罪","双笙/玄觞",,红色,分开,72 + 220,A - 三轨单点^^^B - 四轨单点,A - 三轨长条中间^^^B - 二一轨滑键,113,270,39 - 0.4,220,B - 四轨单点,B - 二一轨滑键,113,270,564861,20 - 0.1
,,"娃娃脸","后弦",,,分开,176 + 293、176 + 305、177 + 293、177 + 305,A - 三轨长条中间^^^B - 四轨长条中间,A - 四轨单点^^^B - 二轨单点,248,488,48 - 0.4,176,A - 三轨长条中间,A - 四轨单点,248,488,945793,24 - 0.2
,,"小酒窝","林俊杰",,红色,分开,145 + 290、146 + 290,A - 三轨单点^^^B - 一轨单点,A - 三轨单点^^^B - 一轨单点、四轨单点,179,341,54 + 0.0,290,B - 一轨单点,B - 一轨单点、四轨单点,179,341,907608,28 + 0.0
,,"OKAY","王嘉尔",,红色,分开,166 + 449,A - 三轨长条中间^^^B - 四轨长条中间,A - 二轨单点^^^B - 三轨单点,240,528,60 - 0.4,449,B - 四轨长条中间,B - 三轨单点,240,528,930746,30 - 0.2
,,"微微一笑很倾城","杨洋",,,分开,141 + 524,A - 一轨单点、四轨单点^^^B - 四轨单点,A - 一轨单点、三轨单点^^^B - 一轨单点、三轨单点,351,719,62 + 0.0,524,B - 四轨单点,B - 一轨单点、三轨单点,351,719,1309304,31 + 0.3
T,6,"Telephone","Lady GaGa",,,分开,126 + 456、126 + 473、126 + 456、126 + 473、126 + 456、126 + 473、126 + 456、126 + 473、126 + 456、126 + 473,A - 二一轨滑条^^^B - 二一轨滑条,A - 四轨长条左滑^^^B - 三轨长条右滑,287,544,59 + 0.4,126,A - 二一轨滑条,A - 四轨长条左滑,287,544,1350720,30 + 0.2
,,"浪漫惊喜","kent王健",,红色,分开,129 + 191,B - 一轨长条开始、四轨长条开始^^^B - 三轨长条中间,B - 二轨长条结尾^^^B - 二一轨滑键,127,323,42 + 0.1,129,B - 一轨长条开始、四轨长条开始,B - 二轨长条结尾,127,323,557232,22 - 0.4
Q,9,"青鸟","生物股长",,,分开,331 + 959、467 + 959、823 + 959,A - 二一轨滑条、三四轨滑键^^^B - 二一轨滑条、三四轨滑键,A - 二轨长条左滑^^^B - 二轨长条左滑,576,1268,111 + 0.2,959,B - 二一轨滑条、三四轨滑键,B - 二轨长条左滑,576,1268,2650660,56 - 0.2
,,"Checkmate","林俊杰/郑容和",,红色,分开,138 + 430,A - 一轨长条中间^^^B - 四轨长条中间,A - 一轨单点、四轨单点^^^B - 一轨单点、四轨单点,264,589,68 + 0.0,138、430,A - 一轨长条中间,A - 一轨单点、四轨单点,264,589,1016207,34 + 0.0
,,"Always Online","林俊杰",,,分开,122 + 441,A - 四轨单点^^^B - 一轨长条中间,A - 二轨单点^^^B - 一轨单点,271,506,39 - 0.1,441,B - 一轨长条中间,B - 一轨单点,271,506,753818,20 - 0.5
,,"可以了","陈奕迅",,红色,分开,313 + 379,B - 四轨长条左滑^^^B - 三轨单点,B - 二轨单点^^^B - 一轨长条结尾、四轨长条结尾,200,443,56 + 0.3,313,B - 四轨长条左滑,B - 二轨单点,200,443,949730,29 - 0.3
,,"专属味道","汪苏泷/林希儿",,,分开,247 + 738、247 + 740、332 + 738、332 + 740、566 + 738、566 + 740、651 + 738、651 + 740,A - 二轨单点、四轨单点^^^B - 三轨长条中间,A - 二轨单点^^^B - 三轨长条右滑,417,871,71 - 0.2,738、740,B - 三轨长条中间,B - 三轨长条右滑,417,871,1496202,39 - 0.2
,,"一舞钟情","A-Lin",,红色,分开,184 + 472、184 + 474、185 + 472、185 + 474、185 + 472、185 + 474、186 + 472、186 + 474、186 + 472、186 + 474,A - 四轨长条中间^^^B - 三轨长条中间,A - 二轨长条右滑^^^B - 一轨单点、二轨长条右滑,269,595,65 + 0.2,472、474,B - 三轨长条中间,B - 一轨单点、二轨长条右滑,269,595,1108936,33 + 0.3
,,"邮递马车","Hermann Necke",,红色,分开,529 + 600、529 + 603、529 + 605、530 + 600、530 + 603、530 + 605、531 + 600、531 + 603、531 + 605、532 + 600,B - 三轨单点^^^B - 四轨长条右滑,B - 二轨长条左滑^^^B - 一轨单点、五轨单点,275,725,98 - 0.4,600、603、605,B - 四轨长条右滑,B - 一轨单点、五轨单点,275,725,1723658,50 + 0.2
,,"恋爱循环","花泽香菜",100,红色,分开,68 + 324,A - 四轨长条中间^^^B - 四轨长条中间,A - 二轨单点、三轨长条结尾^^^B - 二轨单点、三轨长条结尾,266,502,83 - 0.2,324,B - 四轨长条中间,B - 二轨单点、三轨长条结尾,266,502,1082226,41 + 0.4
W,10,"Wake up!","AAA",,,分开,224 + 828,A - 二轨长条开始、四轨长条开始^^^B - 一轨长条中间,A - 三轨长条右滑^^^B - 二轨单点、四轨单点,451,1156,109 + 0.2,224,A - 二轨长条开始、四轨长条开始,A - 三轨长条右滑,451,1156,2538061,58 - 0.2
H,7,"火花","高耀太",,,分开,88 + 571、88 + 572,A - 一轨单点^^^B - 四轨单点,A - 二轨单点^^^B - 三轨单点,414,821,68 + 0.3,88,A - 一轨单点,A - 二轨单点,414,821,1783386,36 + 0.1
