字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
R,8,"Rolling Star","YUI",,红色,分开,489 + 560,B - 左边单点、右边单点^^^B - 左下单点、右边单点,B - 左下单点、右下单点^^^B - 左边单点、右边单点,369,834,88 - 0.4,489,B - 左边单点、右边单点,B - 左下单点、右下单点,369,834,1769193,47 + 0.4
T,6,"太过爱你","MC梦",,,分开,238 + 590,A - 左下单点、右下单点^^^B - 左下单点、右边单点,A - 左下长条中间^^^B - 左边单点,355,739,65 + 0.2,203、205,A - 右边单点,A - 左下单点,355,739,1286967,33 + 0.0
A,7,"Apple Is A","T-ara",,红色,分开,227 + 443、227 + 444,A - 中间单点、右边单点^^^B - 左下右滑条左拐,A - 左下单点、右下单点^^^B - 中间滑点,298,526,73 - 0.3,227,A - 中间单点、右边单点,A - 左下单点、右下单点,298,526,1107810,39 + 0.4
,,"恋爱幸运曲奇","AKB48",,红色,分开,285 + 376,B - 左下单点、右下单点^^^B - 右下单点,B - 右边长条中间^^^B - 左下单点、右下单点,215,558,61 + 0.3,376,B - 右下单点,B - 左下单点、右下单点,215,558,947230,32 - 0.4
,,"Checkmate","林俊杰/郑容和",,红色,分开,395 + 542、395 + 543、396 + 542、396 + 543,B - 右边左滑条中间^^^B - 右边单点,B - 左边单点^^^B - 右边长条结尾,271,623,56 + 0.2,395,B - 右边左滑条中间,B - 左边单点,271,623,954772,30 - 0.4
,,"勋章","鹿晗",,红色,分开,141 + 352,A - 左边长条中间^^^B - 左下单点、右下单点,A - 中间单点^^^B - 左边单点,206,458,68 + 0.1,352,B - 左下单点、右下单点,B - 左边单点,206,458,846031,36 - 0.5
,,"因你而在","林俊杰",,红色,分开,200 + 377、200 + 380,A - 左边单点^^^B - 左边单点,A - 右边长条结尾^^^B - 右边单点,249,569,62 - 0.3,377、380,B - 左边单点,B - 右边单点,249,569,1046609,31 + 0.1
,,"再见安打","唐禹哲",,红色,分开,195 + 370、195 + 376、195 + 377、196 + 370、196 + 376、196 + 377,B - 左下单点^^^B - 左边单点,B - 左下单点^^^B - 右边单点,163,441,61 + 0.0,195、196,B - 左下单点,B - 左下单点,163,441,807896,31 - 0.5
X,6,"幸福的节拍","杨丞琳",,红色,分开,292 + 667,A - 右下右滑条开始^^^B - 左边单点、右边单点,A - 左边右滑条结尾、右边左滑条结尾^^^B - 左下左滑条结尾、右下右滑条结尾,379,772,69 - 0.1,667,B - 左边单点、右边单点,B - 左下左滑条结尾、右下右滑条结尾,379,772,1319977,36 - 0.5
C,8,"chAngE","miwa",,,分开,363 + 552、363 + 554,A - 左边单点、右边单点^^^B - 右边长条结尾、左下单点,A - 右边滑点^^^B - 左边右滑条结尾、右边单点,548,1238,86 - 0.4,552、554,B - 右边长条结尾、左下单点,B - 左边右滑条结尾、右边单点,548,1238,2315844,45 - 0.1
,,"稀罕没理由","潘玮柏",,红色,分开,64 + 177、64 + 178、64 + 179,A - 右下单点^^^B - 左下单点,A - 右边长条开始^^^B - 左下单点,144,289,63 - 0.4,64,A - 右下单点,A - 右边长条开始,144,289,697803,33 - 0.5
N,8,"你，有没有过","林俊杰",,,分开,182 + 935,A - 左边单点^^^B - 左边单点、右边右滑条开始,A - 左下单点^^^B - 左边单点,549,1100,79 - 0.3,935,B - 左边单点、右边右滑条开始,B - 左边单点,549,1100,1810026,40 - 0.4
R,6,"Rage Your Dream","M.O.V.E",,,分开,51 + 652,A - 右边单点^^^B - 左边左滑条开始,A - 左下单点^^^B - 左边单点、右边单点,503,841,76 - 0.3,652,B - 左边左滑条开始,B - 左边单点、右边单点,503,841,1527651,37 + 0.3
M,6,"Mimimi","Serebro",,红色,分开,203 + 461、203 + 463,A - 右边单点^^^B - 右边单点,A - 左边单点、右边单点^^^B - 左下单点、右边单点,374,708,77 - 0.5,461、463,B - 右边单点,B - 左下单点、右边单点,374,708,1373820,42 - 0.5
,,"棉花糖","至上励合",,红色,分开,172 + 250,B - 左边单点、右边单点^^^B - 左边单点、右边单点,B - 右边单点^^^B - 左下左滑条结尾、右边单点,172,386,51 - 0.2,250,B - 左边单点、右边单点,B - 左下左滑条结尾、右边单点,172,386,704405,27 - 0.3
T,6,"Telephone","Lady GaGa",,,分开,604 + 745、606 + 745,B - 左下单点、右下单点^^^B - 左下单点、右下单点,B - 右下单点^^^B - 左边单点、右边单点,413,813,80 - 0.4,604、606,B - 左下单点、右下单点,B - 右下单点,413,813,1626905,41 + 0.2
,,"Love Story","Taylor Swift",,,分开,199 + 677,A - 左边单点、右边单点^^^B - 左边单点、右边单点,A - 左边单点、右边单点^^^B - 右边滑点,493,803,74 - 0.2,677,B - 左边单点、右边单点,B - 右边滑点,493,803,1438683,38 - 0.2
,,"Talk Dirty","Jason Derulo/2",,红色,分开,109 + 349、110 + 349,A - 左边单点^^^B - 左下滑点,A - 右边单点^^^B - 右边长条开始,229,411,54 + 0.4,349,B - 左下滑点,B - 右边长条开始,229,411,844963,28 + 0.1
,,"Sometimes","Kat Graham",,红色,分开,95 + 358,A - 右下单点^^^B - 右下单点,A - 右下单点^^^B - 左下单点,247,441,58 + 0.1,358,B - 右下单点,B - 左下单点,247,441,902781,31 - 0.3
H,8,"好想大声说喜欢你","BAAD",,,分开,235 + 718、248 + 718,A - 左边右滑条结尾、右下长条开始^^^B - 左边单点,A - 右边单点^^^B - 左下滑点,462,1096,85 - 0.3,235、248,A - 左边右滑条结尾、右下长条开始,A - 右边单点,462,1096,1882264,44 - 0.5
H,8,"Hacking to the Gate","伊藤加奈子",,,分开,256 + 832、354 + 832、357 + 832,A - 左边单点^^^B - 右下单点,A - 右下单点^^^B - 左下单点、右下单点,589,1077,70 - 0.1,832,B - 右下单点,B - 左下单点、右下单点,589,1077,1909518,35 + 0.2
X,6,"小情歌","苏打绿",,红色,分开,536 + 633、536 + 634、536 + 635,B - 左下单点^^^B - 左边单点,B - 右边单点^^^B - 右边单点,320,786,75 + 0.2,633、634、635,B - 左边单点,B - 右边单点,320,786,1361745,38 - 0.1
,,"明天，你好","牛奶咖啡",,红色,分开,79 + 170,A - 右边单点^^^B - 左边长条开始、右边长条开始,A - 左下单点^^^B - 左下长条中间,170,358,59 - 0.4,170,B - 左边长条开始、右边长条开始,B - 左下长条中间,170,358,783484,29 + 0.2
,,"素颜","许嵩/何曼婷",,红色,分开,61 + 116,A - 左边单点^^^B - 右下单点,A - 左边滑点^^^B - 右下单点,98,231,54 + 0.4,116,B - 右下单点,B - 右下单点,98,231,571889,28 - 0.5
,,"直到世界终结 ","WANDS",,红色,分开,324 + 469,B - 左边长条开始^^^B - 左边单点,B - 右边左滑条结尾、左下左滑条结尾^^^B - 右下左滑条结尾、右边左滑条结尾,190,539,64 - 0.4,469,B - 左边单点,B - 右下左滑条结尾、右边左滑条结尾,190,539,904914,34 - 0.4
J,8,"Just Like Fire","P!nk",,,分开,225 + 326、225 + 623、225 + 724、326 + 623、326 + 724、623 + 724,A - 左边单点^^^A - 右边单点,A - 左边单点、右边单点^^^A - 左边单点、右边单点,410,924,75 + 0.0,225、326、623、724,A - 左边单点,A - 左边单点、右边单点,410,924,1801860,38 - 0.5
L,6,"LOVE IT LIVE IT","YDPP",,,分开,392 + 657,B - 左边长条结尾、右下滑点^^^B - 右边长条中间,B - 左边单点^^^B - 左边单点,326,744,67 + 0.2,392,B - 左边长条结尾、右下滑点,B - 左边单点,326,744,1361813,36 - 0.5
,,"第一次爱的人","王心凌",,红色,分开,58 + 196,A - 右下单点^^^B - 左边单点,A - 左边长条结尾^^^B - 右下滑点,196,374,60 - 0.4,58,A - 右下单点,A - 左边长条结尾,196,374,822100,33 - 0.3
