字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"逆战","张杰",,红色,分开,109 + 151,A - 左边白球^^^A - 右边白球,A - 右边白球^^^A - 右边白球,184,359,69 - 0.5,109,A - 左边白球,A - 右边白球,184,359,1177747,37 - 0.5
,,"李白","李荣浩",,红色,分开,313 + 375,B - 左边长条中间、右边连点第 1 个^^^B - 右边连点第 1 个,B - 右边连点第 3 个^^^B - 右边连点第 3 个,229,435,67 + 0.2,375,B - 右边连点第 1 个,B - 右边连点第 3 个,229,435,1250873,34 - 0.2
R,6,"Right Now","rihanna",,红色,分开,137 + 731,A - 左边单点^^^B - 左边单点,A - 左边白球^^^B - 左边单点、右边长条结尾,445,858,70 - 0.5,137,A - 左边单点,A - 左边白球,445,858,1502501,40 + 0.0
,,"Bad Romance","Lady Gaga",,红色,分开,273 + 315,B - 左边白球^^^B - 左边白球、右边单点,B - 左边单点^^^B - 左边连点第 3 个,180,362,66 + 0.0,292,B - 左边白球、右边单点,B - 左边连点第 3 个,180,362,1259024,35 + 0.0
K,9,"卡农","Pachelbel",100,,分开,268 + 881,A - 左边单点^^^B - 左边长条结尾、右边滑键,A - 左边单点^^^B - 右边单点,426,931,81 - 0.5,881,B - 左边长条结尾、右边滑键,B - 右边单点,426,931,2192329,41 - 0.5
H,7,"好想大声说喜欢你","BAAD",,,分开,82 + 317,A - 左边白球^^^B - 左边单点、右边单点,A - 左边单点、右边单点^^^B - 左边长条结尾、右边长条结尾,252,638,75 - 0.4,317,B - 左边单点、右边单点,B - 左边长条结尾、右边长条结尾,252,638,1466499,37 + 0.4
T,6,"Telephone","Lady GaGa",,,分开,167 + 391,A - 左边长条开始、右边长条结尾^^^B - 左边长条结尾、右边长条开始,A - 右边白球^^^B - 左边白球,280,537,65 - 0.5,167,A - 左边长条开始、右边长条结尾,A - 右边白球,280,537,1368430,33 - 0.2
J,8,"JELLY JELLY","TWICE",,,分开,520 + 582,B - 左边白球、右边长条结尾^^^B - 右边单点,B - 右边单点^^^B - 左边白球,362,672,71 + 0.0,520、582,B - 左边白球、右边长条结尾,B - 右边单点,362,672,1776825,36 - 0.5
G,6,"Good Time","Owl City",,红色,分开,328 + 380,B - 左边长条中间^^^B - 右边滑键,B - 左边连点第 3 个^^^B - 右边白球,238,431,70 + 0.1,331,B - 右边长条开始,B - 右边滑键,238,431,1156293,36 - 0.5
A,9,"曖昧スクリーム","平野绫",,,分开,446 + 909、453 + 909,A - 左边长条开始^^^B - 右边白球,A - 左边长条开始、右边长条结尾^^^B - 左边长条开始,592,1143,72 - 0.2,446、453、909,A - 左边长条开始,A - 左边长条开始、右边长条结尾,592,1143,2207634,36 - 0.1
,,"素颜","许嵩/何曼婷",,红色,分开,90 + 148、90 + 149、90 + 150,B - 右边单点^^^B - 右边单点,B - 右边长条结尾^^^B - 左边滑键,79,213,43 - 0.4,148、149、150,B - 右边单点,B - 左边滑键,79,213,460265,22 - 0.4
,,"恋爱幸运曲奇","AKB48",,红色,分开,84 + 208、84 + 238,A - 左边长条开始^^^B - 左边单点、右边单点,A - 左边白球^^^B - 左边长条结尾,168,405,52 + 0.4,84,A - 左边长条开始,A - 左边白球,168,405,852475,27 - 0.5
,,"因你而在","林俊杰",,红色,分开,177 + 257,A - 右边白球^^^B - 左边连点第 1 个,A - 左边长条中间、右边长条中间^^^B - 左边单点、右边长条开始,239,502,66 - 0.3,177,A - 右边白球,A - 左边长条中间、右边长条中间,239,502,1064290,34 - 0.5
X,6,"幸福的节拍","杨丞琳",,红色,分开,196 + 400,A - 右边滑键^^^B - 左边连点第 1 个,A - 左边长条结尾、右边长条结尾^^^B - 右边单点,259,584,69 + 0.3,196,A - 右边滑键,A - 左边长条结尾、右边长条结尾,259,584,1293400,36 - 0.5
,,"恋爱循环","花泽香菜",,红色,分开,30 + 157、30 + 159,A - 右边白球^^^B - 左边单点,A - 右边滑键^^^B - 右边单点,127,262,67 + 0.0,30,A - 右边白球,A - 右边滑键,127,262,965263,35 + 0.0
,,"我们都一样","张杰",,,分开,269 + 320、270 + 320、271 + 320,B - 右边单点^^^B - 左边连点第 1 个,B - 左边单点^^^B - 左边长条开始,198,372,53 + 0.3,320,B - 左边连点第 1 个,B - 左边长条开始,198,372,1055522,27 + 0.3
,,"桃花旗袍","BY2",100,红色,分开,50 + 251,A - 左边白球、右边长条中间^^^B - 左边白球,A - 右边白球^^^B - 左边白球、右边长条中间,142,355,69 - 0.5,251,B - 左边白球,B - 左边白球、右边长条中间,142,355,936336,38 - 0.1
,,"我乐意(QQ炫舞系列主题曲)","许嵩",,红色,分开,300 + 496、301 + 496,B - 右边长条结尾^^^B - 左边滑键,B - 左边长条结尾、右边长条结尾^^^B - 左边单点,247,545,57 + 0.1,496,B - 左边滑键,B - 左边单点,247,545,1080330,29 - 0.4
X,6,"小星星","汪苏泷",,,分开,526 + 607,B - 左边长条中间^^^B - 左边白球,B - 左边单点、右边单点^^^B - 右边长条开始,307,679,72 - 0.1,607,B - 左边白球,B - 右边长条开始,307,679,1433797,37 + 0.2
,,"非酋","薛明媛/朱贺",,红色,分开,182 + 222、182 + 223、183 + 222、183 + 223、184 + 222、184 + 223、185 + 222、185 + 223、186 + 222、186 + 223,B - 左边滑键^^^B - 右边白球,B - 左边白球^^^B - 右边连点第 1 个,154,344,62 + 0.0,222、223,B - 右边白球,B - 右边连点第 1 个,154,344,968056,33 + 0.0
N,9,"你，有没有过","林俊杰",100,,分开,474 + 741,B - 左边滑键、右边长条开始^^^B - 左边单点、右边白球,B - 左边单点、右边长条中间^^^B - 左边长条中间、右边单点,423,995,88 + 0.0,741,B - 左边单点、右边白球,B - 左边长条中间、右边单点,423,995,2084306,45 + 0.4
I,7,"I Want My Tears Back","NIGHT WISH",,,分开,295 + 508,B - 左边单点^^^B - 左边长条中间、右边单点,B - 左边单点、右边单点^^^B - 左边白球、右边白球,289,733,86 + 0.4,508,B - 左边长条中间、右边单点,B - 左边白球、右边白球,289,733,1986678,44 + 0.1
,,"唐人","孙子涵",100,红色,分开,65 + 155,A - 左边白球^^^B - 左边单点,A - 左边单点、右边长条开始^^^B - 左边滑键,136,377,56 + 0.1,65,A - 左边白球,A - 左边单点、右边长条开始,136,377,910328,29 + 0.2
,,"CALL ME BABY","EXO",,红色,分开,141 + 322,A - 右边白球^^^B - 右边长条开始,A - 右边白球^^^B - 左边单点、右边长条结尾,173,412,64 + 0.4,141,A - 右边白球,A - 右边白球,173,412,955110,33 + 0.0
,,"我们不该这样的","张赫宣",,红色,分开,186 + 260、187 + 260,B - 右边白球^^^B - 左边白球、右边长条中间,B - 右边单点^^^B - 右边白球,112,301,70 + 0.2,260,B - 左边白球、右边长条中间,B - 右边白球,112,301,943528,35 + 0.4
J,9,"禁绝边境线","Walküre",,,分开,564 + 660、564 + 665、565 + 660、565 + 665,B - 左边滑键^^^B - 右边滑键,B - 左边白球^^^B - 左边白球,399,971,92 + 0.4,660、665,B - 右边滑键,B - 左边白球,399,971,2151249,47 - 0.5
K,10,"空想神话","妖精帝国",,,分开,77 + 1033,A - 左边长条结尾、右边白球^^^B - 左边长条开始、右边长条开始,A - 左边连点第 3 个、右边连点第 3 个^^^B - 左边连点第 7 个、右边长条结尾,655,1236,93 - 0.2,77,A - 左边长条结尾、右边白球,A - 左边连点第 3 个、右边连点第 3 个,655,1236,2576746,47 + 0.0
,,"FIVE","Apink",,红色,分开,183 + 327,A - 左边单点、右边单点^^^B - 左边单点、右边单点,A - 左边单点^^^B - 左边单点,239,402,60 + 0.0,183、327,A - 左边单点、右边单点,A - 左边单点,239,402,1005158,30 + 0.0
,,"DAY BY DAY","T-ara",,红色,分开,100 + 217、101 + 217,A - 左边单点^^^B - 左边单点,A - 右边白球^^^B - 右边单点,148,303,60 + 0.0,217,B - 左边单点,B - 右边单点,148,303,959946,31 + 0.0
,,"剩下的盛夏","TFBOYS",,红色,分开,307 + 418,B - 左边连点第 1 个^^^B - 左边单点,B - 左边长条中间^^^B - 左边白球,221,447,65 + 0.2,418,B - 左边单点,B - 左边白球,221,447,923910,33 + 0.0
W,6,"Wonderland","gugudan",,红色,分开,166 + 295、166 + 308、166 + 309、167 + 295、167 + 308、167 + 309,A - 左边白球^^^B - 左边单点,A - 左边白球^^^B - 左边滑键,215,411,76 - 0.5,295、308、309,B - 左边单点,B - 左边滑键,215,411,1095588,38 + 0.0
,,"小情歌","苏打绿",,红色,分开,341 + 393、341 + 394、341 + 398、342 + 393、342 + 394、342 + 398、342 + 393、342 + 394、342 + 398、342 + 393,B - 右边单点^^^B - 左边单点,B - 左边白球^^^B - 右边白球,186,458,61 + 0.3,341、342、346,B - 右边单点,B - 左边白球,186,458,1069613,31 + 0.4
,,"万有引力","汪苏泷",,红色,分开,77 + 131,B - 左边长条中间、右边长条中间^^^B - 左边单点,B - 左边单点、右边白球^^^B - 右边白球,62,185,47 + 0.3,77,B - 左边长条中间、右边长条中间,B - 左边单点、右边白球,62,185,502185,26 + 0.0
,,"Blue Skies","Lenka",,红色,分开,128 + 292,A - 右边长条开始^^^B - 左边白球,A - 左边单点、右边单点^^^B - 右边长条结尾,184,497,63 + 0.4,128,A - 右边长条开始,A - 左边单点、右边单点,184,497,1095084,32 + 0.1
,,"Long Kiss Good Bye","Halcali",,,分开,142 + 415、142 + 416、144 + 415、144 + 416、146 + 415、146 + 416、147 + 415、147 + 416、148 + 415、148 + 416,A - 左边单点、右边长条结尾^^^B - 右边单点,A - 右边单点^^^B - 左边连点第 2 个,296,675,66 - 0.2,415、416,B - 右边单点,B - 左边连点第 2 个,296,675,1357238,33 + 0.4
,,"不完美小孩","TFBOYS",,红色,分开,330 + 390,B - 右边长条开始^^^B - 右边白球,B - 左边白球、右边白球^^^B - 左边单点,196,453,53 + 0.0,330,B - 右边长条开始,B - 左边白球、右边白球,196,453,941641,29 + 0.3
,,"娃娃脸","后弦",,红色,分开,99 + 155,A - 右边长条开始^^^B - 右边白球,A - 右边长条结尾^^^B - 左边白球,141,281,37 - 0.5,99,A - 右边长条开始,A - 右边长条结尾,141,281,681934,19 - 0.5
,,"Maps","Maroon 5",,红色,分开,147 + 270,A - 左边白球^^^B - 左边白球,A - 左边单点、右边白球^^^B - 左边白球,176,368,73 + 0.0,147,A - 左边白球,A - 左边单点、右边白球,176,368,1182922,37 + 0.0
,,"下个，路口，见","李宇春",,红色,分开,116 + 290、116 + 292、116 + 298、118 + 290、118 + 292、118 + 298、124 + 290、124 + 292、124 + 298,A - 左边滑键、右边单点^^^B - 左边滑键、右边单点,A - 左边单点、右边单点^^^B - 左边单点、右边单点,189,377,52 + 0.0,116、118、124、290、292、298,A - 左边滑键、右边单点,A - 左边单点、右边单点,189,377,717932,26 + 0.0
,,"Booty Music","Git Fresh",,红色,分开,330 + 386,B - 右边长条中间^^^B - 左边白球,B - 左边单点^^^B - 左边长条结尾、右边白球,193,454,60 + 0.4,386,B - 左边白球,B - 左边长条结尾、右边白球,193,454,1088434,32 + 0.0
B,7,"Bing Bing","Crayon Pop",,,分开,128 + 576、128 + 577、139 + 576、139 + 577、141 + 576、141 + 577,A - 右边单点^^^B - 右边滑键,A - 左边滑键^^^B - 左边滑键、右边长条结尾,373,720,63 - 0.2,576、577,B - 右边滑键,B - 左边滑键、右边长条结尾,373,720,1759435,33 - 0.1
,,"Just Dance","王一博",50,红色,分开,200 + 475、200 + 476、200 + 477、200 + 478、205 + 475、205 + 476、205 + 477、205 + 478,A - 左边白球^^^B - 左边连点第 1 个,A - 左边白球^^^B - 左边长条结尾、右边连点第 1 个,275,551,72 + 0.0,475、476、477、478,B - 左边连点第 1 个,B - 左边长条结尾、右边连点第 1 个,275,551,1238325,38 - 0.5
,,"浪漫惊喜","kent王健",,红色,分开,150 + 174、150 + 175、150 + 176、150 + 178、151 + 174、151 + 175、151 + 176、151 + 178、152 + 174、152 + 175,B - 右边单点^^^B - 左边单点,B - 左边单点^^^B - 左边白球,106,215,53 + 0.0,174、175、176、178,B - 左边单点,B - 左边白球,106,215,595463,28 + 0.0
,,"你的声音不会消失","fumika",,红色,分开,225 + 313,B - 右边白球^^^B - 左边白球,B - 右边单点^^^B - 左边白球,173,399,65 + 0.1,225,B - 右边白球,B - 右边单点,173,399,1201055,33 + 0.0
,,"Animals","Maroon 5",,红色,分开,116 + 274、116 + 275、116 + 274、116 + 275、116 + 274、116 + 275、116 + 274、116 + 275、116 + 274、116 + 275,A - 左边长条开始、右边长条开始^^^B - 左边白球,A - 左边长条结尾、右边长条结尾^^^B - 右边白球,180,324,55 + 0.4,274、275,B - 左边白球,B - 右边白球,180,324,745900,29 + 0.3
B,6,"Bright Spring","M2U",,,分开,183 + 347、183 + 348、184 + 347、184 + 348,A - 右边长条中间^^^B - 左边连点第 3 个,A - 左边连点第 2 个^^^B - 右边白球,243,538,64 + 0.4,347、348,B - 左边连点第 3 个,B - 右边白球,243,538,1242551,32 + 0.3
,,"走着走着就散了","庄心妍",,红色,分开,358 + 405,B - 左边单点^^^B - 右边白球,B - 右边白球^^^B - 左边长条中间、右边长条中间,236,512,65 - 0.2,405,B - 右边白球,B - 左边长条中间、右边长条中间,236,512,1119754,33 - 0.2
,,"绿光","孙燕姿",,红色,分开,120 + 389、121 + 389、122 + 389、247 + 389、248 + 389、249 + 389,A - 左边单点^^^B - 左边单点、右边单点,A - 左边白球^^^B - 左边白球,171,437,76 + 0.0,389,B - 左边单点、右边单点,B - 左边白球,171,437,1091908,41 - 0.5
Q,8,"青鸟","生物股长",,,分开,502 + 641,B - 右边滑键^^^B - 右边白球,B - 右边白球^^^B - 右边滑键,357,779,89 - 0.4,502,B - 右边滑键,B - 右边白球,357,779,2217486,46 - 0.5
J,9,"Just Like Fire","P!nk",,,分开,468 + 721,B - 左边长条开始、右边单点^^^B - 左边长条结尾、右边白球,B - 右边长条结尾^^^B - 右边白球,313,766,82 + 0.4,721,B - 左边长条结尾、右边白球,B - 右边白球,313,766,1989820,43 - 0.3
,,"有点甜","汪苏泷 / BY2",,红色,分开,230 + 303,B - 左边连点第 1 个^^^B - 右边单点,B - 左边白球^^^B - 左边白球,169,356,60 + 0.0,230,B - 左边连点第 1 个,B - 左边白球,169,356,960394,31 - 0.3
,,"狂欢夜","QQ炫舞原创",,红色,分开,107 + 432,A - 左边连点第 1 个^^^B - 左边单点,A - 左边长条开始^^^B - 左边单点,158,481,65 + 0.0,432,B - 左边单点,B - 左边单点,158,481,1027994,34 - 0.4
T,6,"太过爱你","MC梦",,红色,分开,211 + 532、211 + 533、211 + 534、211 + 535,A - 右边连点第 1 个^^^B - 右边连点第 1 个,A - 右边长条开始^^^B - 右边连点第 2 个,277,676,65 + 0.3,532、533、534、535,B - 右边连点第 1 个,B - 右边连点第 2 个,277,676,1211739,35 + 0.0
B,6,"Bo Peep Bo Peep","T-ara",,红色,分开,34 + 431,A - 左边连点第 2 个^^^B - 左边单点,A - 左边单点^^^B - 左边白球,232,487,81 + 0.0,431,B - 左边单点,B - 左边白球,232,487,1346292,41 - 0.5
,,"New Divide","Linkin Park",,红色,分开,253 + 436,A - 右边滑键^^^B - 右边滑键,A - 左边单点^^^B - 右边单点,299,489,60 - 0.3,436,B - 右边滑键,B - 右边单点,299,489,1021413,31 + 0.1
,,"帝都","萌萌哒天团",,红色,分开,151 + 197,B - 左边白球^^^B - 左边连点第 1 个,B - 左边白球^^^B - 左边单点,112,325,61 - 0.4,151,B - 左边白球,B - 左边白球,112,325,909193,32 - 0.5
F,9,"Faded(困难版)","Alan Walker",,,分开,505 + 608、505 + 609,B - 左边单点、右边长条中间^^^B - 左边滑键,B - 左边单点^^^B - 右边单点,362,777,76 - 0.3,608、609,B - 左边滑键,B - 右边单点,362,777,2238110,41 + 0.0
,,"不朽之罪","双笙/玄觞",,红色,分开,193 + 253,B - 左边长条开始^^^B - 右边长条开始,B - 左边白球^^^B - 右边白球,118,309,59 + 0.2,253,B - 右边长条开始,B - 右边白球,118,309,806213,30 + 0.1
,,"Just Dance","Lady GaGa",,,分开,80 + 463,A - 右边白球^^^B - 右边单点,A - 左边滑键^^^B - 左边长条开始,254,539,57 - 0.3,80,A - 右边白球,A - 左边滑键,254,539,1144210,29 + 0.4
S,7,"什么什么","蔡依林",50,,分开,157 + 387、157 + 388、157 + 389、157 + 390、157 + 391、158 + 387、158 + 388、158 + 389、158 + 390、158 + 391,A - 右边连点第 1 个^^^B - 右边连点第 1 个,A - 左边单点^^^B - 左边单点,264,584,71 + 0.0,157、158、159、160、161、387、388、389、390、391,A - 右边连点第 1 个,A - 左边单点,264,584,1526116,36 - 0.5
K,6,"KNOCK KNOCK","TWICE",,红色,分开,147 + 302、148 + 302,A - 右边滑键^^^B - 左边单点,A - 左边单点^^^B - 右边白球,190,507,65 + 0.3,147、148,A - 右边滑键,A - 左边单点,190,507,1172139,33 + 0.1
,,"今天你要嫁给我","陶喆/蔡依林",,红色,分开,157 + 222、158 + 222,B - 左边单点^^^B - 左边长条开始、右边长条开始,B - 右边白球^^^B - 左边单点、右边单点,139,274,58 - 0.3,157、158,B - 左边单点,B - 右边白球,139,274,716612,31 + 0.0
,,"Love a Girl Right","Little Mix",,红色,分开,84 + 287、84 + 288,A - 左边长条开始、右边长条开始^^^B - 右边单点,A - 右边滑键^^^B - 左边长条结尾、右边长条结尾,181,385,58 + 0.2,287、288,B - 右边单点,B - 左边长条结尾、右边长条结尾,181,385,756753,29 + 0.1
,,"我的梦","张靓颖",,红色,分开,142 + 331,A - 左边单点^^^B - 左边单点,A - 左边单点^^^B - 右边单点,194,515,71 + 0.0,142、331,A - 左边单点,A - 左边单点,194,515,1051541,36 - 0.5
,,"猫步轻俏","AOA",,红色,分开,102 + 149、105 + 149,A - 左边白球^^^B - 左边单点,A - 左边白球^^^B - 左边单点、右边单点,134,232,47 - 0.3,149,B - 左边单点,B - 左边单点、右边单点,134,232,665132,24 - 0.2
W,7,"我们的歌","王力宏",,,分开,57 + 402,A - 左边滑键^^^B - 左边滑键,A - 右边滑键^^^B - 右边滑键,340,672,83 + 0.0,402,B - 左边滑键,B - 右边滑键,340,672,1717886,42 - 0.5
,,"全部都是你","Dragon Pig",,红色,分开,72 + 226、72 + 240,A - 左边长条开始、右边长条开始^^^B - 左边长条开始,A - 右边白球^^^B - 左边滑键、右边单点,168,336,56 + 0.0,226、240,B - 左边长条开始,B - 左边滑键、右边单点,168,336,746374,28 + 0.0
,,"可以了","陈奕迅",,红色,分开,284 + 337、284 + 338、284 + 339、284 + 340、284 + 342,B - 左边连点第 1 个^^^B - 右边单点,B - 左边白球^^^B - 右边连点第 1 个,220,428,60 + 0.0,284、337、338、339、340、342,B - 左边连点第 1 个,B - 左边白球,220,428,1044472,30 + 0.0
,,"Love Story","Taylor Swift",,红色,分开,231 + 467,A - 右边单点^^^B - 左边单点,A - 左边白球^^^B - 左边单点,298,550,72 + 0.0,231,A - 右边单点,A - 左边白球,298,550,1332106,37 + 0.0
,,"Boom Clap","Charli XCX",,红色,分开,101 + 271、101 + 272、102 + 271、102 + 272、103 + 271、103 + 272,B - 左边单点^^^B - 右边单点,B - 左边单点、右边单点^^^B - 左边单点、右边单点,97,325,64 - 0.5,271、272,B - 右边单点,B - 左边单点、右边单点,97,325,829358,34 - 0.5
N,6,"Not Another Song About Love","Hollywood Ending",,,分开,104 + 511、106 + 511,A - 左边单点、右边单点^^^B - 左边白球、右边白球,A - 左边单点^^^B - 左边单点,297,682,64 - 0.5,104、106,A - 左边单点、右边单点,A - 左边单点,297,682,1342978,33 - 0.5
,,"Poker Face","Lady Gaga",,红色,分开,108 + 202、108 + 222,A - 左边白球^^^B - 右边白球,A - 左边单点、右边单点^^^B - 左边单点、右边单点,142,292,60 + 0.0,108、202、222,A - 左边白球,A - 左边单点、右边单点,142,292,1027052,30 + 0.0
P,10,"Play 我呸","蔡依林",,,分开,598 + 746、598 + 747,B - 左边滑键、右边长条开始^^^B - 右边滑键,B - 左边长条中间、右边滑键^^^B - 左边白球,474,931,88 + 0.0,598,B - 左边滑键、右边长条开始,B - 左边长条中间、右边滑键,474,931,2279665,45 + 0.0
,,"Synchronise","INFINITE",,红色,分开,249 + 541,A - 左边长条开始^^^B - 左边长条中间、右边长条中间,A - 右边白球^^^B - 左边白球,294,604,59 - 0.3,541,B - 左边长条中间、右边长条中间,B - 左边白球,294,604,1063704,30 + 0.2
,,"一笑倾城","汪苏泷",,红色,分开,82 + 358,A - 左边白球^^^B - 左边单点,A - 左边单点^^^B - 左边单点、右边单点,205,395,61 - 0.5,358,B - 左边单点,B - 左边单点、右边单点,205,395,1037730,31 + 0.2
M,6,"没有选择","胡彦斌",,,分开,126 + 364、364 + 416,A - 左边白球^^^B - 左边长条开始,A - 左边白球^^^B - 左边长条结尾、右边滑键,261,517,65 - 0.5,364,B - 左边长条开始,B - 左边长条结尾、右边滑键,261,517,1378713,33 - 0.5
,,"当你","林俊杰",,,分开,303 + 414、304 + 414、341 + 414,B - 右边单点^^^B - 左边单点、右边长条开始,B - 左边长条结尾、右边滑键^^^B - 左边长条结尾、右边单点,206,489,63 - 0.4,341、414,B - 左边长条中间、右边白球,B - 右边单点,206,489,1318510,31 + 0.3
,,"Checkmate","林俊杰/郑容和",,红色,分开,128 + 415,A - 左边单点、右边长条开始^^^B - 左边单点、右边长条开始,A - 左边滑键、右边单点^^^B - 左边滑键、右边单点,264,584,69 - 0.4,128、415,A - 左边单点、右边长条开始,A - 左边滑键、右边单点,264,584,1060592,34 + 0.3
C,9,"Crossing Field","LiSA",,,分开,973 + 1059,B - 右边滑键^^^B - 左边白球,B - 左边长条中间^^^B - 右边长条中间,509,1142,67 + 0.0,1059,B - 左边白球,B - 右边长条中间,509,1142,1885595,34 - 0.2
S,9,"Sparkling Daydream","ZAQ",,,分开,590 + 672、590 + 673、590 + 676、590 + 677、590 + 678、590 + 679,B - 左边单点、右边长条开始^^^B - 右边滑键,B - 左边白球^^^B - 左边白球,352,820,82 + 0.3,672、673、676、677、678、679,B - 右边滑键,B - 左边白球,352,820,2253311,43 - 0.5
,,"Doraradora","Fujigami Mai",,,分开,205 + 449,A - 左边单点^^^B - 左边单点,A - 右边白球^^^B - 左边白球,259,518,62 + 0.3,205,A - 左边单点,A - 右边白球,259,518,1343583,32 + 0.1
D,6,"等我先说","夏天Alex",,,分开,159 + 394、160 + 394、161 + 394、162 + 394,A - 左边单点^^^B - 左边白球,A - 右边白球^^^B - 左边长条结尾、右边长条结尾,231,462,64 + 0.4,394,B - 左边白球,B - 左边长条结尾、右边长条结尾,231,462,1231710,32 + 0.4
,,"你的微笑","飞儿乐团",,红色,分开,260 + 476,A - 左边白球^^^B - 右边连点第 2 个,A - 左边单点、右边单点^^^B - 右边白球,327,625,76 - 0.3,476,B - 右边连点第 2 个,B - 右边白球,327,625,1248218,40 - 0.5
,,"怎样说清此刻的心情","BY2",,红色,分开,236 + 401,A - 左边白球^^^B - 左边长条开始,A - 右边白球^^^B - 左边长条结尾、右边长条结尾,293,502,59 + 0.3,401,B - 左边长条开始,B - 左边长条结尾、右边长条结尾,293,502,962818,31 + 0.1
,,"Sometimes","Kat Graham",,红色,分开,27 + 102,A - 左边白球^^^A - 左边白球,A - 左边白球^^^A - 左边连点第 3 个,210,366,61 + 0.1,27,A - 左边白球,A - 左边白球,210,366,933629,32 + 0.1
*,10,"123我爱你(困难版)","新乐尘符",,,分开,309 + 700,A - 左边单点^^^B - 左边滑键,A - 左边单点、右边单点^^^B - 右边白球,430,896,84 + 0.0,309,A - 左边单点,A - 左边单点、右边单点,430,896,2182719,42 + 0.0
,,"勋章","鹿晗",,红色,分开,211 + 250,B - 右边白球^^^B - 左边单点,B - 右边长条结尾^^^B - 右边长条中间,155,322,54 - 0.5,211,B - 右边白球,B - 右边长条结尾,155,322,687709,28 + 0.0
B,6,"Boys","Charli XCX",,,分开,223 + 387,A - 左边长条开始^^^B - 右边白球,A - 右边白球^^^B - 左边长条结尾,291,598,57 + 0.0,387,B - 右边白球,B - 左边长条结尾,291,598,1239476,30 + 0.1
U,9,"UNION","OxT",,,分开,455 + 961,A - 左边长条开始、右边滑键^^^B - 左边滑键、右边长条开始,A - 右边单点^^^B - 左边单点,514,1020,83 - 0.4,455、961,A - 左边长条开始、右边滑键,A - 右边单点,514,1020,2145342,41 + 0.3
M,6,"Mimimi","Serebro",,红色,分开,344 + 384、344 + 385,B - 左边单点^^^B - 右边滑键,B - 左边滑键^^^B - 右边长条结尾,255,466,74 + 0.2,379、381,B - 左边白球,B - 右边白球,255,466,1339558,40 - 0.5
