字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"一笑倾城","汪苏泷",,红色,分开,319 + 368、320 + 368,B - 一轨单点^^^B - 二轨长条开始,B - 一轨单点^^^B - 一轨单点,161,409,65 - 0.2,319、320,B - 一轨单点,B - 一轨单点,161,409,1058456,33 + 0.1
B,6,"Bad Romance","Lady Gaga",,红色,分开,415 + 483、417 + 483、421 + 483,B - 一轨单点^^^B - 二轨单点、四轨单点,B - 四轨单点^^^B - 二一轨滑键、三四轨滑键,253,539,78 + 0.1,483,B - 二轨单点、四轨单点,B - 二一轨滑键、三四轨滑键,253,539,1447264,41 + 0.0
J,9,"JELLY JELLY","TWICE",,,分开,168 + 708、168 + 715、170 + 708、170 + 715、171 + 708、171 + 715、172 + 708、172 + 715,A - 三轨单点^^^B - 一轨单点、四轨单点,A - 四轨单点^^^B - 一轨单点、三轨单点,401,760,68 + 0.3,708、715,B - 一轨单点、四轨单点,B - 一轨单点、三轨单点,401,760,1684349,35 - 0.5
,,"CALL ME BABY","EXO",,红色,分开,189 + 316,B - 二轨单点、三轨单点^^^B - 三轨单点,B - 二轨长条结尾、三轨长条开始^^^B - 二轨单点、三轨长条结尾,163,400,60 - 0.5,316,B - 三轨单点,B - 二轨单点、三轨长条结尾,163,400,837251,30 + 0.3
B,6,"Bad Girl","吴亦凡",,,分开,490 + 716、491 + 716、492 + 716、493 + 716,B - 一轨单点^^^B - 四轨单点,B - 一轨长条结尾、四轨单点^^^B - 三轨长条中间,345,836,68 + 0.4,490、491、492、493,B - 一轨单点,B - 一轨长条结尾、四轨单点,345,836,1608596,34 + 0.3
G,6,"Good Time","Owl City",,红色,分开,389 + 491、389 + 493,B - 一轨单点、四轨单点^^^B - 一轨长条右滑,B - 四轨长条左滑^^^B - 一轨长条结尾、三轨单点,284,592,81 - 0.2,491、493,B - 一轨长条右滑,B - 一轨长条结尾、三轨单点,284,592,1259294,44 + 0.3
Z,6,"怎样说清此刻的心情","BY2",,红色,分开,291 + 503,A - 二一轨滑条、四轨单点^^^B - 一轨单点、三四轨滑条,A - 一轨长条结尾、三轨长条结尾^^^B - 二轨长条结尾、四轨长条结尾,373,611,74 + 0.4,291、503,A - 二一轨滑条、四轨单点,A - 一轨长条结尾、三轨长条结尾,373,611,1069245,37 + 0.2
,,"唐人","孙子涵",,红色,分开,155 + 272,B - 四轨单点^^^B - 三轨单点,B - 一轨单点^^^B - 二轨长条结尾,155,399,46 - 0.4,272,B - 三轨单点,B - 二轨长条结尾,155,399,774536,24 - 0.2
,,"恋爱幸运曲奇","AKB48",,红色,分开,224 + 354,B - 二轨单点^^^B - 三四轨滑键,B - 一轨长条右滑^^^B - 二轨长条结尾,148,420,54 - 0.5,224,B - 二轨单点,B - 一轨长条右滑,148,420,855876,27 + 0.4
M,6,"Mimimi","Serebro",,,分开,78 + 310,A - 二轨单点^^^B - 一轨单点,A - 一轨单点、四轨单点^^^B - 二轨长条结尾、四轨长条开始,264,491,61 + 0.3,310,B - 一轨单点,B - 二轨长条结尾、四轨长条开始,264,491,1184528,30 + 0.3
B,6,"BONAMANA","Super Junior",,红色,分开,398 + 549,B - 一二轨滑条^^^B - 一轨长条开始,B - 二轨单点、四轨单点^^^B - 二轨单点、四轨单点,244,621,76 - 0.2,398,B - 一二轨滑条,B - 二轨单点、四轨单点,244,621,1392679,39 - 0.2
,,"李白","李荣浩",,红色,分开,189 + 377,A - 一轨单点^^^B - 三轨单点,A - 一轨单点^^^B - 二轨单点、三轨单点,248,442,43 + 0.2,377,B - 三轨单点,B - 二轨单点、三轨单点,248,442,836420,23 - 0.2
,,"Blue Skies","Lenka",,红色,分开,89 + 342、89 + 343,A - 二轨长条开始、四轨长条开始^^^B - 一轨单点,A - 四轨单点^^^B - 三四轨滑键,204,483,58 + 0.3,342、343,B - 一轨单点,B - 三四轨滑键,204,483,1009214,30 - 0.3
L,6,"Landing","温岚",,红色,分开,312 + 408、312 + 409、312 + 423、313 + 408、313 + 409、313 + 423,B - 四轨单点^^^B - 三四轨滑键,B - 一轨长条右滑^^^B - 三轨单点,215,462,55 + 0.1,312、313,B - 四轨单点,B - 一轨长条右滑,215,462,992011,28 + 0.0
,,"卡农","Pachelbel",,,分开,168 + 876,A - 一轨单点、五轨单点^^^B - 一轨长条结尾、四五轨滑键,A - 一轨单点^^^B - 一轨单点、四轨单点,472,925,83 + 0.0,168,A - 一轨单点、五轨单点,A - 一轨单点,472,925,1991355,42 + 0.0
,,"明天，你好","牛奶咖啡",,红色,分开,59 + 150,A - 三轨单点^^^B - 一轨长条开始、四轨长条开始,A - 三轨单点^^^B - 二轨长条开始,150,360,55 - 0.1,150,B - 一轨长条开始、四轨长条开始,B - 二轨长条开始,150,360,773738,29 + 0.4
W,6,"Wonderland","gugudan",,红色,分开,240 + 351、240 + 357,B - 三轨单点^^^B - 三轨单点,B - 二一轨滑键、三四轨滑键^^^B - 二一轨滑键、四轨长条左滑,238,503,73 + 0.4,240,B - 三轨单点,B - 二一轨滑键、三四轨滑键,238,503,1125541,37 - 0.1
,,"我们不该这样的","张赫宣",,红色,分开,239 + 282、239 + 283、239 + 285、239 + 286、239 + 287、239 + 288、239 + 289、239 + 290、239 + 291、239 + 292,B - 二一轨滑键^^^B - 三轨单点,B - 一轨单点^^^B - 四轨单点,144,346,61 - 0.1,282、283、285、286、287、288、289、290、291、292,B - 三轨单点,B - 四轨单点,144,346,861616,31 - 0.2
H,9,"Hacking to the Gate","伊藤加奈子",50,,分开,818 + 1080,B - 二轨长条中间、三轨长条中间^^^B - 二一轨滑键、四轨单点,B - 二轨单点、三轨单点^^^B - 一轨长条中间、四轨单点,569,1160,104 - 0.4,818,B - 二轨长条中间、三轨长条中间,B - 二轨单点、三轨单点,569,1160,2155744,53 + 0.2
X,6,"幸福的节拍","杨丞琳",,红色,分开,413 + 467,B - 四轨长条中间^^^B - 一轨单点,B - 二轨长条结尾、三四轨滑键^^^B - 三轨单点,246,550,59 + 0.3,467,B - 一轨单点,B - 三轨单点,246,550,1110148,30 - 0.3
X,6,"小星星","汪苏泷",100,红色,分开,350 + 801、351 + 801,A - 三轨单点^^^B - 二轨单点,A - 三轨长条结尾^^^B - 四轨长条左滑,454,980,76 + 0.2,801,B - 二轨单点,B - 四轨长条左滑,454,980,1530412,41 - 0.5
,,"你的声音不会消失","fumika",20,红色,分开,239 + 524,A - 二轨长条开始^^^B - 一轨长条开始,A - 三轨长条右滑^^^B - 一轨长条中间,354,745,72 - 0.3,239,A - 二轨长条开始,A - 三轨长条右滑,354,745,1388442,37 + 0.0
I,8,"I Want My Tears Back","NIGHT WISH",20,红色,分开,776 + 930、776 + 941,B - 二轨长条中间、三轨单点^^^B - 一轨长条右滑、四轨长条左滑,B - 一轨长条右滑、四轨长条左滑^^^B - 一轨长条右滑、四轨长条左滑,601,1432,145 + 0.4,930、941,B - 一轨长条右滑、四轨长条左滑,B - 一轨长条右滑、四轨长条左滑,601,1432,2801554,80 - 0.2
,,"江南","林俊杰",50,红色,分开,117 + 410、117 + 411、117 + 412,A - 四轨单点^^^B - 三轨单点,A - 一轨单点、三轨长条结尾^^^B - 二轨长条右滑,213,496,66 - 0.3,117,A - 四轨单点,A - 一轨单点、三轨长条结尾,213,496,936934,34 - 0.2
B,7,"表白","萧亚轩",100,红色,分开,290 + 550,B - 四轨长条开始^^^B - 三轨单点,B - 二轨长条左滑、三四轨滑键^^^B - 一轨长条结尾、四轨长条结尾,269,691,83 - 0.4,550,B - 三轨单点,B - 一轨长条结尾、四轨长条结尾,269,691,1455021,45 - 0.5
,,"Born This Way","Lady Gaga",50,红色,分开,143 + 315、143 + 353、143 + 315、143 + 353、143 + 315、143 + 353、143 + 315、143 + 353、143 + 315、143 + 353,A - 二轨长条开始、四轨长条开始^^^B - 二轨单点,A - 一轨长条结尾、三轨长条结尾^^^B - 一轨长条结尾、四轨长条结尾,206,450,55 - 0.1,315、353,B - 二轨单点,B - 一轨长条结尾、四轨长条结尾,206,450,974194,28 - 0.4
,,"黑暗骑士","林俊杰/五月天",,红色,分开,180 + 488、180 + 489、180 + 490、180 + 491、180 + 492、181 + 488、181 + 489、181 + 490、181 + 491、181 + 492,A - 一轨单点^^^B - 一轨单点,A - 二轨单点^^^B - 一轨单点,273,550,62 + 0.0,180、181、182、183、184、488、489、490、491、492,A - 一轨单点,A - 二轨单点,273,550,1162369,31 + 0.0
,,"剩下的盛夏","TFBOYS",,红色,分开,112 + 319、112 + 320、112 + 325,A - 四轨长条开始^^^B - 四轨单点,A - 三轨长条右滑^^^B - 二轨单点,279,583,67 + 0.2,112,A - 四轨长条开始,A - 三轨长条右滑,279,583,937744,37 + 0.2
,,"帝都","萌萌哒天团",,红色,分开,146 + 186、151 + 188、158 + 212、159 + 212,B - 三轨长条开始^^^B - 四轨单点,B - 一轨单点、三轨单点^^^B - 三轨单点,109,362,40 - 0.1,158、159,B - 四轨单点,B - 二轨单点,109,362,644297,21 - 0.3
,,"不完美小孩","TFBOYS",,红色,分开,271 + 367,B - 一轨长条开始^^^B - 一轨长条开始,B - 四轨长条结尾^^^B - 四轨长条开始,208,529,58 - 0.2,271,B - 一轨长条开始,B - 四轨长条结尾,208,529,944089,29 + 0.0
B,6,"背对背拥抱","林俊杰",100,红色,分开,360 + 625,A - 二轨单点、四轨单点^^^B - 二轨单点、四轨单点,A - 一轨单点^^^B - 一轨长条结尾、三轨长条结尾,457,803,77 + 0.4,360,A - 二轨单点、四轨单点,A - 一轨单点,457,803,1317556,40 + 0.2
,,"Numb","Linkin Park",,红色,分开,439 + 549,B - 一轨单点、三轨长条开始^^^B - 一轨长条中间、三轨单点,B - 一轨单点、四轨长条开始^^^B - 二轨长条结尾、三轨长条结尾,244,668,88 - 0.1,549,B - 一轨长条中间、三轨单点,B - 二轨长条结尾、三轨长条结尾,244,668,1166386,45 + 0.2
N,9,"你，有没有过","林俊杰",100,,分开,542 + 835,B - 二轨长条开始、四轨单点^^^B - 一轨单点、四轨单点,B - 一轨长条中间、四轨单点^^^B - 四轨长条结尾,465,1127,103 - 0.5,835,B - 一轨单点、四轨单点,B - 四轨长条结尾,465,1127,2196617,51 + 0.3
B,6,"Bright Spring","M2U",,红色,分开,322 + 389,B - 二轨单点^^^B - 一轨单点,B - 二轨单点^^^B - 三四轨滑键,252,578,64 - 0.3,322,B - 二轨单点,B - 二轨单点,252,578,1210584,34 + 0.0
,,"太过爱你","MC梦",,红色,分开,301 + 500、500 + 621,A - 一轨单点^^^B - 三轨长条右滑,A - 一轨单点、四轨长条结尾^^^B - 一轨长条结尾、四轨长条结尾,397,875,79 - 0.1,500,B - 三轨长条右滑,B - 一轨长条结尾、四轨长条结尾,397,875,1445413,40 - 0.1
,,"万有引力","汪苏泷",,红色,分开,92 + 157、92 + 158、92 + 159,B - 三轨单点^^^B - 二轨单点,B - 四轨单点^^^B - 二轨长条结尾,56,204,41 + 0.2,157、158、159,B - 二轨单点,B - 二轨长条结尾,56,204,439682,21 - 0.1
,,"Long Kiss Good Bye","Halcali",50,,分开,527 + 591,B - 一轨单点、四轨单点^^^B - 二轨单点、三轨长条结尾,B - 三轨单点^^^B - 二轨单点、三轨单点,401,862,66 - 0.5,527,B - 一轨单点、四轨单点,B - 三轨单点,401,862,1371223,33 + 0.1
,,"猫步轻俏","AOA",,红色,分开,176 + 311、176 + 317,A - 二轨单点^^^B - 二轨单点、四轨单点,A - 一轨单点、四轨单点^^^B - 二轨单点、四轨长条结尾,215,385,70 + 0.2,311、317,B - 二轨单点、四轨单点,B - 二轨单点、四轨长条结尾,215,385,944282,38 + 0.2
W,9,"无可取代","李雪岩",,,分开,516 + 1012,A - 三轨单点^^^B - 四轨长条左滑,A - 三四轨滑键^^^B - 一轨长条中间、四轨长条中间,631,1297,91 + 0.0,516,A - 三轨单点,A - 三四轨滑键,631,1297,2524856,48 - 0.2
L,6,"Love So Soft","Kelly Clarkson",,,分开,149 + 379,A - 三轨单点^^^B - 一轨长条中间、四三轨滑键,A - 一轨长条结尾、三轨单点^^^B - 二轨长条左滑,313,633,66 - 0.4,149,A - 三轨单点,A - 一轨长条结尾、三轨单点,313,633,1371118,34 - 0.1
,,"下个，路口，见","李宇春",,红色,分开,159 + 381、159 + 383、160 + 381、160 + 383、160 + 381、160 + 383、160 + 381、160 + 383、160 + 381、160 + 383,A - 三轨长条结尾^^^B - 二轨单点、四轨单点,A - 一轨长条结尾、三轨长条结尾^^^B - 二轨单点、四轨单点,226,455,58 + 0.1,381、383,B - 二轨单点、四轨单点,B - 二轨单点、四轨单点,226,455,777733,31 + 0.3
X,6,"小情歌","苏打绿",,红色,分开,377 + 634、377 + 635,B - 三四轨滑条^^^B - 四轨单点,B - 三轨长条中间^^^B - 三轨单点,272,721,75 + 0.4,377,B - 三四轨滑条,B - 三轨长条中间,272,721,1325487,39 - 0.3
,,"走着走着就散了","庄心妍",,红色,分开,405 + 482,B - 一轨单点、三轨单点^^^B - 一轨长条中间,B - 二轨长条中间^^^B - 一轨长条结尾、四轨长条结尾,274,587,65 - 0.2,482,B - 一轨长条中间,B - 一轨长条结尾、四轨长条结尾,274,587,1095139,34 + 0.0
,,"Bing Bing","Crayon Pop",,,分开,427 + 496,B - 三轨单点^^^B - 四轨长条中间,B - 四五轨滑键^^^B - 一轨单点,309,586,58 - 0.4,427,B - 三轨单点,B - 四五轨滑键,309,586,1515092,30 - 0.5
,,"淋雨一直走","张韶涵",,红色,分开,59 + 181,A - 四轨单点^^^B - 四轨单点,A - 四轨单点^^^B - 三轨单点,126,248,64 + 0.2,181,B - 四轨单点,B - 三轨单点,126,248,702331,32 - 0.4
,,"Boom Clap","Charli XCX",,红色,分开,139 + 238、140 + 238,B - 二轨单点^^^B - 二轨单点,B - 一轨单点^^^B - 二轨单点、四轨长条结尾,131,343,56 - 0.5,238,B - 二轨单点,B - 二轨单点、四轨长条结尾,131,343,753148,29 - 0.5
L,6,"Look What You Made Me Do","Taylor Swift",,红色,分开,227 + 298、227 + 299,B - 一二轨滑条^^^B - 二轨单点,B - 二轨单点、四轨长条结尾^^^B - 三轨单点,210,530,69 - 0.2,250、251,B - 一轨单点,B - 一轨长条结尾、四轨长条结尾,210,530,1226758,37 - 0.4
,,"Be My Baby","Wonder Girls",,,分开,181 + 762、187 + 762,A - 二轨单点^^^B - 一二轨滑条、四五轨滑条,A - 一轨长条结尾、五轨长条结尾^^^B - 五轨单点,678,1067,88 + 0.4,181、187,A - 二轨单点,A - 一轨长条结尾、五轨长条结尾,678,1067,2016047,44 + 0.2
,,"New Divide","Linkin Park",,红色,分开,182 + 262、184 + 262,A - 三轨长条右滑^^^A - 二轨单点、三轨单点,A - 二轨单点、四轨单点^^^A - 四轨长条中间,352,599,59 - 0.1,219、223、233,A - 一轨长条开始,A - 一轨长条结尾、三轨长条开始,352,599,1011605,30 + 0.2
,,"Love Story","Taylor Swift",,红色,分开,276 + 526,A - 二轨单点^^^B - 二一轨滑键,A - 二轨长条左滑、三四轨滑键^^^B - 二一轨滑键、三轨长条右滑,319,601,73 - 0.5,526,B - 二一轨滑键,B - 二一轨滑键、三轨长条右滑,319,601,1299728,42 + 0.1
B,8,"Baby Boy","王心凌",,,分开,449 + 713、449 + 715、449 + 716、450 + 713、450 + 715、450 + 716、451 + 713、451 + 715、451 + 716、459 + 713,B - 一轨单点^^^B - 二轨单点、四轨单点,B - 一轨单点^^^B - 一轨单点、三轨单点,340,827,89 - 0.2,449、450、451、459、460,B - 一轨单点,B - 一轨单点,340,827,2010404,45 + 0.0
R,6,"Right Now","rihanna",,,分开,395 + 552,B - 二轨长条开始^^^B - 一轨长条中间,B - 一轨单点^^^B - 一轨单点,395,818,74 + 0.4,395,B - 二轨长条开始,B - 一轨单点,395,818,1573738,39 + 0.2
K,10,"空想神话","妖精帝国",,,分开,251 + 1519、252 + 1519,A - 二轨长条中间^^^B - 一轨长条中间、三轨单点,A - 四轨单点^^^B - 一轨长条右滑、三轨长条开始,915,1745,123 - 0.5,1519,B - 一轨长条中间、三轨单点,B - 一轨长条右滑、三轨长条开始,915,1745,3113291,69 - 0.2
,,"带你去旅行","校长",,红色,分开,157 + 429,A - 三轨单点^^^B - 三轨单点,A - 二轨长条结尾、三轨单点^^^B - 二轨单点,247,492,64 + 0.0,429,B - 三轨单点,B - 二轨单点,247,492,1033913,33 + 0.3
,,"今天你要嫁给我","陶喆/蔡依林",,红色,分开,94 + 145、94 + 146、94 + 147、94 + 148、94 + 149、95 + 145、95 + 146、95 + 147、95 + 148、95 + 149,A - 三轨长条中间^^^B - 二轨单点,A - 二轨单点、三轨单点^^^B - 三轨单点,145,281,48 - 0.5,145、146、147、148、149,B - 二轨单点,B - 三轨单点,145,281,593957,25 - 0.2
,,"Hola","Flo Rida/Maluma",,红色,分开,91 + 245,A - 四轨长条开始^^^B - 二轨单点、四轨单点,A - 二一轨滑键^^^B - 三轨长条右滑,175,335,54 + 0.1,245,B - 二轨单点、四轨单点,B - 三轨长条右滑,175,335,821338,27 + 0.0
,,"绿光","孙燕姿",,红色,分开,221 + 440、221 + 443、221 + 445,B - 四轨长条左滑^^^B - 一轨单点,B - 四轨单点^^^B - 二轨单点、三轨单点,203,495,65 + 0.1,440、443、445,B - 一轨单点,B - 二轨单点、三轨单点,203,495,1048735,35 - 0.5
Y,8,"YESTERDAY","Block B",,,分开,594 + 662,B - 一轨单点、四轨长条开始^^^B - 三轨单点,B - 一轨单点^^^B - 一轨单点,333,810,70 - 0.5,594,B - 一轨单点、四轨长条开始,B - 一轨单点,333,810,1618953,37 - 0.5
,,"回忆那么伤","孙子涵",,红色,分开,324 + 391,B - 一轨长条中间、四轨单点^^^B - 四轨单点,B - 一轨单点^^^B - 三轨单点,162,488,70 + 0.1,391,B - 四轨单点,B - 三轨单点,162,488,1086746,36 - 0.2
B,6,"Baby","Justin Bieber",,红色,分开,122 + 340,A - 二轨长条中间^^^B - 二轨长条开始,A - 二轨单点、四轨单点^^^B - 一轨单点、三轨单点,268,551,62 - 0.1,340,B - 二轨长条开始,B - 一轨单点、三轨单点,268,551,1126852,31 + 0.3
,,"You Are","GOT7",,红色,分开,74 + 185,A - 一轨单点^^^B - 二轨长条开始,A - 四轨单点^^^B - 一轨单点,110,293,53 - 0.2,74,A - 一轨单点,A - 四轨单点,110,293,670306,27 + 0.0
,,"期待","Girl's Day",50,红色,分开,126 + 365,A - 四轨长条开始^^^B - 四轨长条开始,A - 一轨单点^^^B - 一轨单点,239,535,80 - 0.4,126、365,A - 四轨长条开始,A - 一轨单点,239,535,1177972,40 - 0.2
,,"等我先说","夏天Alex",50,红色,分开,187 + 260,A - 二轨长条左滑^^^A - 二轨单点,A - 二轨单点^^^A - 二轨长条中间、四轨单点,346,661,61 - 0.4,260,A - 二轨单点,A - 二轨长条中间、四轨单点,346,661,1156308,31 + 0.1
,,"Poker Face","Lady Gaga",,红色,分开,103 + 237,A - 四轨单点^^^B - 二轨单点、四轨长条结尾,A - 一轨单点、二轨长条结尾^^^B - 二轨单点、四轨长条结尾,188,400,56 + 0.4,237,B - 二轨单点、四轨长条结尾,B - 二轨单点、四轨长条结尾,188,400,987056,29 + 0.0
S,7,"什么什么","蔡依林",,,分开,94 + 358、94 + 360、94 + 369,A - 一轨长条开始^^^B - 三轨单点,A - 二轨单点^^^B - 一轨长条结尾、三轨单点,308,751,79 + 0.4,358、360、369,B - 三轨单点,B - 一轨长条结尾、三轨单点,308,751,1563835,40 - 0.3
,,"我们的歌","王力宏",,,分开,484 + 652、544 + 652,B - 四轨单点^^^B - 三四轨滑条,B - 一轨单点^^^B - 二轨单点,347,750,60 + 0.4,652,B - 三四轨滑条,B - 二轨单点,347,750,1394906,33 - 0.3
,,"不朽之罪","双笙/玄觞",,红色,分开,72 + 219、72 + 220,A - 三轨单点^^^B - 二轨单点,A - 三轨长条结尾^^^B - 三轨长条结尾,113,270,39 + 0.2,219、220,B - 二轨单点,B - 三轨长条结尾,113,270,564861,20 - 0.1
,,"娃娃脸","后弦",,,分开,174 + 301,A - 三轨长条开始^^^B - 一轨长条结尾、四轨单点,A - 四轨单点^^^B - 二轨单点,248,488,49 + 0.4,174,A - 三轨长条开始,A - 四轨单点,248,488,947350,25 - 0.3
,,"小酒窝","林俊杰",,红色,分开,145 + 305,A - 三轨单点^^^B - 一轨单点、四轨单点,A - 三轨单点^^^B - 一轨单点、四轨单点,179,341,57 - 0.3,305,B - 一轨单点、四轨单点,B - 一轨单点、四轨单点,179,341,916623,30 - 0.3
,,"OKAY","王嘉尔",,红色,分开,164 + 447,A - 三轨长条开始^^^B - 四轨长条开始,A - 二轨单点^^^B - 三轨单点,240,528,61 + 0.4,447,B - 四轨长条开始,B - 三轨单点,240,528,935519,31 - 0.3
,,"微微一笑很倾城","杨洋",,,分开,137 + 515、137 + 523、139 + 515、139 + 523、141 + 515、141 + 523、141 + 515、141 + 523、141 + 515、141 + 523,A - 二轨单点、三轨单点^^^B - 二轨单点、四轨单点,A - 一轨单点、三轨单点^^^B - 一轨单点、四轨单点,351,719,63 + 0.0,515、523,B - 二轨单点、四轨单点,B - 一轨单点、四轨单点,351,719,1311035,32 + 0.3
T,6,"Telephone","Lady GaGa",,,分开,126 + 456、126 + 472、126 + 473,A - 二一轨滑条^^^B - 二一轨滑条,A - 一轨单点^^^B - 四轨单点,287,544,61 + 0.4,126,A - 二一轨滑条,A - 一轨单点,287,544,1352451,31 + 0.2
,,"浪漫惊喜","kent王健",,红色,分开,129 + 188、129 + 189,B - 一轨长条开始、四轨长条开始^^^B - 一轨单点,B - 一轨单点^^^B - 二轨单点,127,323,44 + 0.0,129,B - 一轨长条开始、四轨长条开始,B - 一轨单点,127,323,562536,23 - 0.4
Q,9,"青鸟","生物股长",,,分开,331 + 959、467 + 959、823 + 959,A - 二一轨滑条、三四轨滑键^^^B - 二一轨滑条、三四轨滑键,A - 一轨长条中间、四三轨滑键^^^B - 一轨长条中间、四三轨滑键,576,1268,114 + 0.4,959,B - 二一轨滑条、三四轨滑键,B - 一轨长条中间、四三轨滑键,576,1268,2653429,57 + 0.4
,,"Checkmate","林俊杰/郑容和",,红色,分开,136 + 428,A - 一轨长条开始^^^B - 四轨长条开始,A - 一轨单点、四轨单点^^^B - 一轨单点、四轨单点,264,589,70 - 0.2,136、428,A - 一轨长条开始,A - 一轨单点、四轨单点,264,589,1020980,35 - 0.1
,,"Always Online","林俊杰",,红色,分开,122 + 437、122 + 438、122 + 439,A - 四轨单点^^^B - 二轨单点,A - 三轨单点^^^B - 二轨单点,271,506,41 - 0.2,122,A - 四轨单点,A - 三轨单点,271,506,757286,20 + 0.4
,,"可以了","陈奕迅",,红色,分开,313 + 378,B - 四轨长条左滑^^^B - 二轨单点,B - 四轨单点^^^B - 一轨长条结尾、四轨长条结尾,200,443,58 + 0.3,313,B - 四轨长条左滑,B - 四轨单点,200,443,955034,30 - 0.3
,,"专属味道","汪苏泷/林希儿",,红色,分开,251 + 736、336 + 736、570 + 736、655 + 736,A - 四轨单点^^^B - 三轨长条开始,A - 四轨长条左滑^^^B - 三轨长条右滑,417,871,72 + 0.4,736,B - 三轨长条开始,B - 三轨长条右滑,417,871,1498580,40 - 0.3
,,"一舞钟情","A-Lin",,红色,分开,182 + 470,A - 四轨长条开始^^^B - 三轨长条开始,A - 二轨长条右滑^^^B - 一轨单点、二轨长条右滑,269,595,67 + 0.0,470,B - 三轨长条开始,B - 一轨单点、二轨长条右滑,269,595,1113709,34 + 0.2
,,"邮递马车","Hermann Necke",,红色,分开,529 + 597、530 + 597、531 + 597、532 + 597、534 + 597,B - 三轨单点^^^B - 三轨长条右滑,B - 二轨单点^^^B - 一轨单点、五轨单点,275,725,100 + 0.2,597,B - 三轨长条右滑,B - 一轨单点、五轨单点,275,725,1732144,52 - 0.2
,,"恋爱循环","花泽香菜",100,红色,分开,66 + 322,A - 四轨长条开始^^^B - 四轨长条开始,A - 二轨单点、三轨长条结尾^^^B - 二轨单点、三轨长条结尾,266,502,85 - 0.4,322,B - 四轨长条开始,B - 二轨单点、三轨长条结尾,266,502,1086999,42 + 0.3
W,10,"Wake up!","AAA",,,分开,224 + 825,A - 二轨长条开始、四轨长条开始^^^B - 一轨长条开始、三轨单点,A - 二一轨滑键、四轨长条中间^^^B - 二轨单点、四轨单点,451,1156,113 - 0.3,224,A - 二轨长条开始、四轨长条开始,A - 二一轨滑键、四轨长条中间,451,1156,2540830,59 + 0.4
H,7,"火花","高耀太",,,分开,87 + 571,A - 四轨单点^^^B - 四轨单点,A - 二轨单点^^^B - 四轨单点,414,821,70 + 0.3,87,A - 四轨单点,A - 二轨单点,414,821,1785045,37 + 0.1
