字母,等级,歌名,歌手,突变,技能,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
W,7,"我们的歌","王力宏",50,,97,A - 右上角数字 4 蓝条结尾、左下角数字 5 蓝条开始,A - 左边数字 10 单点,332,668,1669613,40 - 0.5
H,8,"火花","高耀太",,,198、423、483,A - 左上角数字 1 单点、右上角数字 1 单点,A - 左上角数字 7 绿条开始,257,572,1504652,32 + 0.4
I,8,"I Want My Tears Back","NIGHT WISH",,,436,B - 右下角数字 9 蓝条开始、左下角数字 9 蓝条开始,B - 下面数字 9 蓝条中间,333,641,1713876,37 + 0.0
,,"触动心触动爱","BY2",,红色,165,B - 左上角数字 1 绿条结尾,B - 左上角数字 1 单点,87,203,502633,17 + 0.4
P,7,"Poker Face","Lady Gaga",,红色,198,B - 右下角数字 7 单点,B - 右上角数字 2 蓝条结尾、左下角数字 3 单点,141,284,1020318,38 + 0.0
D,8,"当你","林俊杰",,,204,B - 下面数字 6 蓝条开始,B - 右上角数字 4 单点,184,429,1279750,32 + 0.0
L,7,"恋爱幸运曲奇","AKB48",,红色,240,B - 右上角数字 3 单点、上面数字 3 单点,B - 右上角数字 7 蓝条开始,106,307,951590,35 + 0.0
M,7,"Mimimi","Serebro",,红色,163、308,A - 右下角数字 1 绿条结尾、左边数字 2 绿条开始,A - 左边数字 5 单点,205,380,1081026,30 + 0.0
N,7,"你的声音不会消失","fumika",,红色,364、364、393、393,B - 中间数字 14 单点（cool）、右上角数字 15 单点,B - 右边数字 2 蓝条中间,211,439,992811,30 - 0.4
T,8,"Telephone","Lady GaGa",,,102,A - 左上角数字 3 绿条结尾、右上角数字 4 绿条开始,A - 右下角数字 9 单点,237,450,1184334,29 + 0.2
,,"Numb","Linkin Park",,红色,199、200、201,B - 右边数字 6 单点,B - 左上角数字 1 蓝条结尾,123,280,591383,26 + 0.0
,,"剩下的盛夏","TFBOYS",,红色,174,B - 右下角数字 5 单点,B - 右边数字 8 单点、左边数字 8 单点,97,220,603078,26 - 0.4
K,10,"卡农","Pachelbel",,红色,422,B - 右上角数字 8 绿条结尾、左下角数字 1 蓝条开始,B - 右上角数字 5 绿条结尾、左下角数字 6 单点,329,698,2024109,54 + 0.1
K,10,"空想神话","妖精帝国",,,631,B - 左上角数字 6 蓝条结尾、右上角数字 7 单点,B - 左边数字 10 蓝条结尾、右下角数字 11 单点,394,728,2013745,38 + 0.0
C,6,"Checkmate","林俊杰/郑容和",,红色,147、151、152、153、195、196、197,B - 左下角数字 5 蓝条开始,B - 右下角数字 2 单点,138,307,838721,27 + 0.0
,,"明天，你好","牛奶咖啡",,红色,101、102、137、138,B - 右上角数字 1 单点,B - 右下角数字 4 单点,91,202,587006,22 - 0.2
S,6,"Sometimes","Kat Graham",,红色,44,A - 右下角数字 2 单点,A - 右上角数字 5 蓝条结尾,158,275,792281,30 - 0.1
J,6,"Just Dance","Lady GaGa",,红色,257、271,B - 右上角数字 3 蓝条开始,B - 左上角数字 5 绿条开始,164,361,945582,29 + 0.4
H,6,"黑暗骑士","林俊杰/五月天",,红色,323、324、325,B - 右上角数字 1 单点,B - 左上角数字 4 蓝条结尾、右上角数字 5 单点,194,372,917319,31 + 0.0
,,"万有引力","汪苏泷",,红色,81,B - 右下角数字 2 单点,B - 左下角数字 1 单点,46,138,300275,13 + 0.3
L,9,"L.I.E","EXID",,红色,55,A - 右上角数字 6 绿条结尾、左下角数字 1 蓝条开始,A - 左上角数字 5 单点、右上角数字 5 单点,273,495,1355981,39 + 0.3
G,10,"Gee","少女时代",,,455,B - 右上角数字 1 绿条开始、左上角数字 1 单点,B - 左下角数字 7 单点、右下角数字 7 单点,309,616,1655261,38 - 0.2
T,9,"to the beginning","Kalafina",,,545,B - 左边数字 2 蓝条开始、右边数字 2 蓝条开始,B - 右上角数字 5 蓝条结尾、上面数字 6 单点,369,652,1660624,42 + 0.2
W,10,"无可取代","李雪岩",,,121、122、123,A - 左下角数字 2 单点,A - 左下角数字 11 蓝条结尾、右上角数字 1 单点,407,872,2121917,45 - 0.1
B,8,"Bing Bing","Crayon Pop",,,375、376,B - 左上角数字 3 单点,B - 左上角数字 10 蓝条结尾,264,515,1575432,32 + 0.0
A,10,"曖昧スクリーム","平野绫",,,322,A - 左下角数字 2 单点、右下角数字 2 单点,A - 左下角数字 3 蓝条结尾、右下角数字 3 蓝条结尾,493,920,2471572,43 - 0.3
T,7,"Timber","Pitbull",,红色,340,B - 右上角数字 1 绿条中间、上面数字 4 单点,B - 左上角数字 1 绿条结尾、右下角数字 3 单点,149,399,1062891,31 + 0.0
H,10,"Hacking to the Gate","伊藤加奈子",,,293、298、599、604,A - 右下角数字 3 单点、左下角数字 3 单点,A - 左边数字 3 单点,429,735,2051236,47 + 0.0
L,6,"恋爱循环","花泽香菜",,红色,202,B - 右下角数字 6 蓝条中间,B - 右边数字 6 蓝条中间,172,318,861321,31 + 0.0
D,6,"Doraradora","Fujigami Mai",,红色,240、241,B - 左边数字 7 单点,B - 右下角数字 3 蓝条结尾,222,436,1128439,30 + 0.0
,,"爱的就是你","刘佳",,红色,136,B - 右下角数字 2 单点,B - 下面数字 6 单点,91,184,524812,18 - 0.1
T,8,"太过爱你","MC梦",,红色,326、326,B - 中间数字 2 单点（cool）、左下角数字 3 单点,B - 右下角数字 9 单点、右下角数字 10 单点（cool）,194,425,1031863,34 - 0.4
B,9,"Bubble Pop!","泫雅",,红色,373、373,B - 中间数字 13 单点（cool）、左下角数字 14 单点,B - 右下角数字 13 单点、左下角数字 13 单点,251,501,1506941,42 - 0.2
X,7,"小星星","汪苏泷",,,414,B - 右上角数字 7 单点,B - 右上角数字 1 单点,219,452,1223372,30 + 0.0
L,7,"Look What You Made Me Do","Taylor Swift",,红色,167、167、323、323,A - 中间数字 10 单点（cool）、下面数字 11 单点,A - 右边数字 3 单点、右边数字 4 单点（cool）,201,435,1153483,35 + 0.0
,,"淋雨一直走","张韶涵",,红色,155,B - 右上角数字 4 单点,B - 右下角数字 11 单点,97,192,513736,25 - 0.1
,,"娃娃脸","后弦",,红色,259、260,B - 左边数字 5 单点,B - 下面数字 1 蓝条结尾,162,333,913287,27 + 0.0
B,9,"表白","萧亚轩",,红色,396、396,B - 中间数字 2 单点（cool）、下面数字 3 单点,B - 中间数字 11 蓝条结尾、左边数字 11 蓝条结尾,179,487,1355037,40 + 0.2
,,"因你而在","林俊杰",,红色,81,A - 左上角数字 1 蓝条开始,A - 左上角数字 1 单点,137,276,705042,27 + 0.0
J,6,"江南","林俊杰",,红色,128、129,B - 左上角数字 1 单点,B - 右下角数字 6 单点,118,277,665759,25 + 0.3
,,"走着走着就散了","庄心妍",20,红色,238,B - 左边数字 1 单点,B - 右下角数字 7 单点,143,305,742523,28 - 0.1
,,"非酋","薛明媛/朱贺",,红色,258、259,B - 右下角数字 5 绿条结尾,B - 左上角数字 3 单点,131,310,685373,23 - 0.1
,,"浪漫惊喜","kent王健",,红色,132、133,B - 右上角数字 1 单点,B - 右下角数字 5 单点,74,189,423325,18 - 0.3
,,"左边","杨丞琳",,红色,330,B - 左下角数字 7 蓝条中间,B - 左下角数字 8 蓝条中间,180,386,1013980,35 + 0.0
N,9,"你，有没有过","林俊杰",,红色,625,B - 左下角数字 3 蓝条中间、右下角数字 3 蓝条中间,B - 右下角数字 9 单点、左下角数字 9 单点、右下角数字 10 单点（cool）、左下角数字 10 单点（cool）,289,716,1595532,56 - 0.2
L,6,"绿光","孙燕姿",,红色,250、250、251,B - 中间数字 5 单点（cool）、左下角数字 6 单点,B - 下面数字 10 单点、右下角数字 10 单点,114,295,867274,34 - 0.1
M,7,"没有选择","胡彦斌",,,266、311,B - 右下角数字 3 单点,B - 右上角数字 7 绿条开始,179,375,1126356,27 + 0.2
C,6,"丑八怪","薛之谦",,红色,279,B - 左下角数字 1 单点,B - 右上角数字 6 绿条开始,137,370,812465,27 - 0.3
X,7,"炫舞国度","BOX.COM",,红色,395,B - 右下角数字 5 蓝条开始,B - 左下角数字 5 绿条结尾、右上角数字 1 单点,234,499,1204326,35 - 0.3
W,7,"望","张碧晨/赵丽颖",,红色,295,B - 左下角数字 6 蓝条结尾、右下角数字 7 单点,B - 左上角数字 1 蓝条结尾、右上角数字 2 单点,153,425,974596,36 + 0.1
,,"桃花旗袍","BY2",,红色,149,B - 左上角数字 4 蓝条开始,B - 左下角数字 9 蓝条结尾,97,210,659763,27 - 0.1
L,6,"Love Story","Taylor Swift",,红色,307、308,B - 左下角数字 6 单点,B - 左上角数字 3 单点,197,387,989698,36 - 0.4
B,8,"Baby","Justin Bieber",,红色,220,B - 左下角数字 2 蓝条开始,B - 左上角数字 7 绿条开始,190,351,924656,28 + 0.3
S,10,"SHIORI","ClariS",,,661、662,B - 中间数字 7 单点,B - 右边数字 12 蓝条结尾、左下角数字 1 单点,291,723,2023554,49 + 0.0
Y,6,"有点甜","汪苏泷 / BY2",,红色,174、213,B - 左上角数字 3 单点,B - 上面数字 5 单点,117,267,734526,25 + 0.0
C,10,"chAngE","miwa",,,531,B - 右上角数字 1 蓝条结尾、左上角数字 2 单点,B - 左上角数字 9 蓝条结尾、右上角数字 10 单点,440,891,2131762,40 + 0.3
,,"回忆那么伤","孙子涵",,红色,235、239,B - 左上角数字 1 单点,B - 右上角数字 6 单点,100,266,704509,23 + 0.0
Y,9,"YESTERDAY","Block B",,,179,A - 左上角数字 5 单点,A - 右上角数字 9 蓝条结尾、左下角数字 10 绿条开始,219,523,1520264,33 + 0.1
,,"不朽之罪","双笙/玄觞",,红色,114、149,B - 左上角数字 1 单点,B - 左边数字 4 单点,67,183,385916,15 + 0.0
,,"We Don't Talk Anymore","Charlie Puth / Selena Gomez",,红色,141、142、143、144,B - 左上角数字 1 单点,B - 左上角数字 4 单点,63,160,403535,15 - 0.1
L,7,"Long Kiss Good Bye","Halcali",,,130、297,A - 左上角数字 2 单点,A - 左下角数字 3 单点,196,443,1290471,33 - 0.1
,,"稀罕没理由","潘玮柏",,红色,38,A - 右下角数字 8 单点,A - 左下角数字 8 单点,70,137,341805,18 - 0.1
G,7,"歌谣","李荣浩",,,364,B - 右上角数字 1 单点、左上角数字 1 单点,B - 左下角数字 7 单点,184,417,990354,26 + 0.0
Y,10,"一吻天荒","胡歌",,,210、212,A - 右下角数字 6 蓝条开始、下面数字 6 蓝条开始,A - 左上角数字 8 蓝条中间、右下角数字 8 蓝条中间,272,809,1581267,40 + 0.0
B,6,"不醉不会","田馥甄",,红色,152,A - 右上角数字 1 绿条结尾、左上角数字 2 蓝条开始,A - 右上角数字 11 蓝条结尾、左下角数字 12 绿条开始,206,402,938147,31 - 0.2
,,"凉凉","杨宗纬/张碧晨",,红色,226,B - 右下角数字 6 绿条结尾、下面数字 1 单点,B - 右上角数字 5 单点,99,277,504722,18 - 0.5
D,7,"DAY BY DAY","T-ara",,红色,123、299,A - 上面数字 4 单点、左上角数字 4 单点,A - 右下角数字 7 蓝条结尾,178,354,956289,33 + 0.1
X,8,"小情歌","苏打绿",,红色,321、321、322、322、323、323、324、324,B - 中间数字 4 单点（cool）、左上角数字 5 单点,B - 右边数字 6 蓝条中间,161,390,1109192,39 + 0.0
*,10,"ペガサス幻想","MAKE-UP",,,570,B - 右下角数字 4 单点、左下角数字 4 单点,B - 右下角数字 3 单点、左下角数字 3 单点,264,629,1701280,42 + 0.0
N,6,"你的微笑","飞儿乐团",,红色,339,B - 右上角数字 5 单点、左上角数字 5 单点,B - 左下角数字 1 单点,224,442,992689,29 + 0.1
F,7,"FIVE","Apink",,红色,185,B - 右下角数字 5 蓝条中间,B - 右上角数字 1 蓝条中间,179,299,945899,27 + 0.0
O,6,"OKAY","王嘉尔",,红色,149,B - 左上角数字 1 蓝条开始,B - 左上角数字 6 单点,136,306,931411,30 + 0.0
L,7,"Love So Soft","Kelly Clarkson",,,52、53、54,A - 右下角数字 6 单点,A - 左边数字 1 蓝条中间,244,504,1213835,32 + 0.0
,,"Trap","Henry",,红色,153,B - 左上角数字 8 单点,B - 左上角数字 12 蓝条结尾,109,210,567134,25 + 0.1
,,"下个，路口，见","李宇春",,红色,177、178、179,B - 左上角数字 1 单点,B - 右上角数字 4 单点,99,199,442126,16 + 0.1
B,10,"Be My Baby","Wonder Girls",,,196,A - 右下角数字 7 蓝条开始,A - 左下角数字 10 蓝条结尾、右下角数字 1 绿条开始,413,656,1957381,51 + 0.3
S,7,"Sky","Steerner",,红色,281,B - 右上角数字 2 绿条结尾、下面数字 3 蓝条开始,B - 右下角数字 2 蓝条中间,138,384,1152546,35 - 0.2
K,7,"可以了","陈奕迅",,红色,257,B - 右下角数字 13 蓝条开始,B - 左上角数字 1 单点、右上角数字 1 单点,155,326,969878,30 + 0.0
X,7,"修炼爱情","林俊杰 ",,红色,300,B - 左下角数字 2 单点、右下角数字 2 单点,B - 右上角数字 5 绿条结尾、左上角数字 6 单点、右上角数字 7 单点（cool）,171,527,1067288,30 + 0.0
Z,7,"专属味道","汪苏泷/林希儿",,红色,133、179、278、324,A - 右上角数字 1 单点、左上角数字 1 单点,A - 右上角数字 6 单点,223,414,1111123,30 + 0.0
,,"无限大","孙燕姿",,红色,270、271、272,B - 左上角数字 1 单点,B - 右上角数字 4 单点,198,306,848653,25 + 0.0
Z,7,"再遇不到你这样的人","庄心妍",,红色,324,B - 左下角数字 2 绿条中间、右下角数字 3 单点,B - 上面数字 3 蓝条结尾、右上角数字 4 单点,207,450,1022015,29 + 0.1
A,8,"爱投罗网","罗志祥",,红色,115、363,A - 右上角数字 7 单点、左上角数字 7 单点,A - 左下角数字 1 单点,209,488,1378467,42 + 0.4
W,10,"Wake up!","AAA",20、50,,593,B - 右上角数字 1 绿条结尾、左边数字 2 蓝条开始,B - 下面数字 8 蓝条结尾、右下角数字 9 单点,272,755,2063664,44 - 0.3
H,9,"好想大声说喜欢你","BAAD",,,151、407,A - 左上角数字 2 单点,A - 左上角数字 7 单点、右上角数字 7 单点,256,608,1426096,36 - 0.4
R,8,"Rolling Star","YUI",,红色,520,B - 右上角数字 3 绿条结尾、左上角数字 4 蓝条开始,B - 右上角数字 3 蓝条结尾、左上角数字 4 蓝条开始,257,571,1328564,42 - 0.1
D,6,"带你去旅行","校长",,红色,213、214、215,B - 右下角数字 3 单点,B - 右上角数字 7 蓝条结尾,145,280,910910,27 + 0.0
,,"一舞钟情","A-Lin",,红色,259、260、263、264,B - 左下角数字 1 单点,B - 右上角数字 5 单点,129,286,658436,20 - 0.5
J,6,"Just Dance","王一博",,红色,335、336,B - 右上角数字 2 蓝条中间,B - 左上角数字 8 单点、左上角数字 9 单点（cool）,203,416,989009,38 - 0.1
H,6,"Hola","Flo Rida/Maluma",,红色,237,B - 右上角数字 8 蓝条开始,B - 上面数字 3 蓝条结尾,144,272,889265,32 + 0.0
,,"素颜","许嵩/何曼婷",,红色,87,B - 左上角数字 7 单点,B - 左上角数字 5 单点,53,125,289309,14 + 0.4
,,"Flower Dance","DJ OKAWARI",,红色,148,B - 右下角数字 3 蓝条中间,B - 左下角数字 10 蓝条中间,99,207,633145,32 + 0.0
,,"心率","鹿晗",,红色,113,B - 左上角数字 6 单点,B - 右边数字 5 绿条结尾,79,166,391521,16 - 0.1
I,9,"I Knew You Were Trouble","Taylor Swift",,,463,B - 右下角数字 15 蓝条开始,B - 右下角数字 4 蓝条结尾、左边数字 5 单点,379,617,1395300,37 - 0.5
,,"You Are","GOT7",,红色,178,B - 右上角数字 9 蓝条中间,B - 右上角数字 10 蓝条中间,112,239,707232,32 + 0.0
,,"再见安打","唐禹哲",,红色,162,B - 右上角数字 1 单点,B - 右下角数字 3 绿条中间,70,192,529554,22 - 0.5
W,8,"What Do You Mean?","Justin Bieber",,红色,357,B - 下面数字 1 蓝条开始,B - 左上角数字 6 单点,196,405,1052337,32 + 0.0
C,10,"Crossing Field","LiSA",100,,380、381、440,B - 右上角数字 5 单点,B - 上面数字 3 蓝条结尾、左上角数字 3 蓝条结尾,332,732,1852320,38 - 0.1
S,9,"什么什么","蔡依林",,,160、161、162、340、341、342、367、368、369、395,A - 左上角数字 1 蓝条开始,A - 左下角数字 4 蓝条结尾、右上角数字 5 单点,204,466,1522559,40 + 0.0
S,10,"Sparkling Daydream","ZAQ",,,463、659、660、661,B - 左边数字 9 蓝条开始、右边数字 9 蓝条开始,B - 右上角数字 3 单点,356,751,1919862,33 + 0.0
B,7,"Boys","Charli XCX",,红色,116、122、216、222,A - 右上角数字 6 蓝条结尾、左上角数字 7 单点,A - 下面数字 1 蓝条结尾、左上角数字 2 单点,193,397,1132914,31 + 0.0
,,"后会无期","徐良/汪苏泷",,红色,140,B - 左下角数字 1 单点,B - 右下角数字 5 单点,95,179,391932,17 - 0.4
Q,8,"期待","Girl's Day",,红色,199,B - 左上角数字 4 绿条结尾、右上角数字 5 单点,B - 右上角数字 1 单点,130,288,878770,26 + 0.1
Q,10,"青鸟","生物股长",100,,602,B - 右下角数字 7 单点,B - 左上角数字 1 蓝条结尾、右上角数字 1 蓝条结尾,329,734,1760939,40 + 0.0
S,10,"SWEET TALKER","TWICE",,,266、268、269、270、271、272、273、274、276,A - 右下角数字 6 蓝条结尾、左上角数字 7 单点,A - 右上角数字 4 蓝条结尾、左下角数字 4 蓝条结尾,330,709,1956577,46 - 0.1
K,10,"克罗地亚狂想曲","马克西姆",,,127、209、507,A - 左下角数字 9 蓝条开始,A - 右下角数字 12 蓝条结尾、左下角数字 1 绿条开始,442,800,2635198,52 + 0.3
,,"狂欢夜","QQ炫舞原创",,红色,296,B - 左上角数字 8 单点,B - 右下角数字 9 单点,103,326,839347,28 - 0.1
,,"勋章","鹿晗",,红色,43,A - 左下角数字 1 单点,A - 右边数字 5 绿条开始,86,182,344668,14 + 0.4
F,10,"Fight For You","潘玮柏",,,319、320,A - 左上角数字 1 单点,A - 左上角数字 9 单点,371,756,1745627,40 - 0.1
J,9,"Just Like Fire","P!nk",,,282,B - 右下角数字 1 绿条开始、左下角数字 1 单点,B - 左下角数字 10 单点,211,548,1535400,39 + 0.4
,,"太阳雨","QQ炫舞原创",,红色,99,B - 左下角数字 8 单点,B - 下面数字 6 单点,64,118,320581,14 + 0.4
W,7,"Wolves","Selena Gomez/Marshmello",,,373,B - 左下角数字 12 绿条结尾、右下角数字 13 单点,B - 左下角数字 16 蓝条结尾、右上角数字 1 绿条开始,214,431,1026707,24 + 0.3
Y,6,"夜空中最亮的星","逃跑计划",,红色,195、196、196,B - 左上角数字 6 单点,B - 右下角数字 2 单点、右下角数字 3 单点（cool）,178,329,964434,31 + 0.0
,,"我乐意(QQ炫舞系列主题曲)","许嵩",,红色,121,A - 左下角数字 4 单点,A - 左下角数字 9 单点,163,356,859946,25 + 0.1
