字母,等级,歌名,歌手,突变,技能,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
X,6,"小星星","汪苏泷",,,606、607,B - 左边长条结尾,B - 右边白球,307,679,1433797,37 + 0.2
,,"非酋","薛明媛/朱贺",,红色,222,B - 右边白球,B - 右边连点第 1 个、右边连点第 2 个（cool）,154,344,968176,34 + 0.0
N,9,"你，有没有过","林俊杰",100,,741,B - 左边单点、右边白球,B - 左边长条中间、右边单点,423,995,2084306,45 + 0.4
I,7,"I Want My Tears Back","NIGHT WISH",,,508,B - 左边长条中间、右边单点,B - 左边白球、右边白球,289,733,1987197,44 + 0.4
,,"唐人","孙子涵",100,红色,65,A - 左边白球,A - 左边单点、右边长条开始,136,377,910328,29 + 0.2
,,"CALL ME BABY","EXO",,红色,141,A - 右边白球,A - 右边白球,173,412,955110,33 + 0.0
,,"我们不该这样的","张赫宣",,红色,260,B - 左边白球、右边长条中间,B - 右边白球,112,301,945119,36 - 0.3
J,9,"禁绝边境线","Walküre",,,665,B - 左边长条中间、右边单点,B - 左边单点,399,971,2151768,47 - 0.2
K,10,"空想神话","妖精帝国",,,77,A - 左边长条结尾、右边白球,A - 左边连点第 3 个、右边连点第 3 个,655,1236,2577243,47 + 0.3
,,"FIVE","Apink",,红色,183、327,A - 左边单点、右边单点,A - 左边单点,239,402,1005158,30 + 0.0
,,"DAY BY DAY","T-ara",,红色,217,B - 左边单点,B - 右边单点,148,303,959946,31 + 0.0
,,"剩下的盛夏","TFBOYS",,红色,418,B - 左边单点,B - 左边白球,221,447,923910,33 + 0.0
W,6,"Wonderland","gugudan",,红色,308、308,B - 右边连点第 2 个（cool）、左边滑键,B - 左边白球,215,411,1095708,39 + 0.0
,,"小情歌","苏打绿",,红色,341、342、342、346,B - 右边单点,B - 左边白球、左边单点（cool）,186,458,1069733,32 + 0.4
,,"万有引力","汪苏泷",,红色,77,B - 左边长条中间、右边长条中间,B - 左边单点、右边白球,62,185,505233,27 - 0.4
,,"Blue Skies","Lenka",,红色,128、128,A - 左边单点（cool）、右边长条开始,A - 左边单点、右边单点,184,497,1095204,33 + 0.1
,,"Long Kiss Good Bye","Halcali",,,415、416,B - 右边单点,B - 左边连点第 2 个,296,675,1357238,33 + 0.4
,,"不完美小孩","TFBOYS",,红色,330,B - 右边长条开始,B - 左边白球、右边白球,196,453,941641,29 + 0.3
,,"娃娃脸","后弦",,红色,99,A - 右边长条开始,A - 右边长条结尾,141,281,681934,19 - 0.5
,,"Maps","Maroon 5",,红色,147,A - 左边白球,A - 左边单点、右边白球,176,368,1182922,37 + 0.0
,,"下个，路口，见","李宇春",,红色,116、118、124、290、292、298,A - 左边滑键、右边单点,A - 左边单点、右边单点,189,377,717932,26 + 0.0
,,"Booty Music","Git Fresh",,红色,386,B - 左边白球,B - 左边长条结尾、右边白球,193,454,1088434,32 + 0.0
B,7,"Bing Bing","Crayon Pop",,,576、577,B - 右边滑键,B - 左边滑键、右边长条结尾,373,720,1759435,33 - 0.1
,,"Just Dance","王一博",50,红色,475、475、476、476,B - 右边连点第 2 个（cool）、左边连点第 1 个,B - 左边长条结尾、右边连点第 1 个、右边连点第 2 个（cool）,275,551,1238565,40 - 0.5
,,"浪漫惊喜","kent王健",,红色,174、175、176、178,B - 左边单点,B - 左边白球,106,215,595463,28 + 0.0
,,"你的声音不会消失","fumika",,红色,225,B - 右边白球,B - 右边单点、左边单点（cool）,173,399,1201175,34 + 0.0
,,"Animals","Maroon 5",,红色,274、275,B - 左边白球,B - 右边白球,180,324,745900,29 + 0.3
B,6,"Bright Spring","M2U",,,183,A - 右边长条中间,A - 左边连点第 2 个,243,538,1242719,32 + 0.4
,,"走着走着就散了","庄心妍",,红色,405,B - 右边白球,B - 左边长条中间、右边长条中间,236,512,1119754,33 - 0.2
,,"绿光","孙燕姿",,红色,389,B - 左边单点、右边单点,B - 左边白球,171,437,1091908,41 - 0.5
Q,8,"青鸟","生物股长",,,502,B - 右边滑键,B - 右边白球,357,779,2217486,46 - 0.5
J,9,"Just Like Fire","P!nk",,,721,B - 左边长条结尾、右边白球,B - 右边白球,313,766,1990339,43 + 0.0
,,"有点甜","汪苏泷 / BY2",,红色,230,B - 左边连点第 1 个,B - 左边白球,169,356,960394,31 - 0.3
,,"狂欢夜","QQ炫舞原创",,红色,428,B - 右边长条结尾,B - 右边白球、左边单点（cool）,158,481,1029176,35 - 0.2
T,6,"太过爱你","MC梦",,红色,533、533,B - 右边连点第 1 个（cool）、右边连点第 2 个,B - 左边连点第 1 个、左边连点第 2 个（cool）,277,676,1211979,37 + 0.0
B,6,"Bo Peep Bo Peep","T-ara",,红色,431、431,B - 右边连点第 2 个（cool）、左边单点,B - 左边白球、左边单点（cool）,232,487,1346532,43 - 0.5
,,"New Divide","Linkin Park",,红色,436,B - 右边滑键,B - 右边单点,299,489,1021413,31 + 0.1
,,"帝都","萌萌哒天团",,红色,151,B - 左边白球,B - 左边白球,112,325,909193,32 - 0.5
F,9,"Faded(困难版)","Alan Walker",,,608、609,B - 左边滑键,B - 右边单点,362,777,2238110,41 + 0.0
,,"不朽之罪","双笙/玄觞",,红色,253,B - 右边长条开始,B - 右边白球,118,309,806213,30 + 0.1
,,"Just Dance","Lady GaGa",,,80,A - 右边白球,A - 左边滑键,254,539,1144210,29 + 0.4
S,7,"什么什么","蔡依林",50,,157、158、159、160、161、387、388、389、390、391,A - 右边连点第 1 个,A - 左边单点,264,584,1526116,36 - 0.5
K,6,"KNOCK KNOCK","TWICE",,红色,147、148,A - 右边滑键,A - 左边单点,190,507,1172139,33 + 0.1
,,"今天你要嫁给我","陶喆/蔡依林",,红色,157、158,B - 左边单点,B - 右边白球,139,274,716612,31 + 0.0
,,"Love a Girl Right","Little Mix",,红色,287、288,B - 右边单点,B - 左边长条结尾、右边长条结尾,181,385,756753,29 + 0.1
,,"我的梦","张靓颖",,红色,142、331,A - 左边单点,A - 左边单点、右边单点（cool）,194,515,1051661,37 - 0.5
,,"猫步轻俏","AOA",,红色,149,B - 左边单点,B - 左边单点、右边单点,134,232,665132,24 - 0.2
W,7,"我们的歌","王力宏",,,402,B - 左边滑键,B - 右边滑键,340,672,1717886,42 - 0.5
,,"全部都是你","Dragon Pig",,红色,226、240,B - 左边长条开始,B - 左边滑键、右边单点,168,336,746374,28 + 0.0
,,"可以了","陈奕迅",,红色,338、338,B - 右边单点（cool）、左边单点,B - 右边连点第 2 个、右边连点第 3 个（cool）,220,428,1044712,32 + 0.0
,,"Love Story","Taylor Swift",,红色,231,A - 右边单点,A - 左边白球,298,550,1332106,37 + 0.0
,,"Boom Clap","Charli XCX",,红色,271、272,B - 右边单点,B - 左边单点、右边单点,97,325,829358,34 - 0.5
N,6,"Not Another Song About Love","Hollywood Ending",,,104、106,A - 左边单点、右边单点,A - 左边单点,297,682,1342978,33 - 0.5
,,"Poker Face","Lady Gaga",,红色,108、202、222,A - 左边白球,A - 左边单点、右边单点,142,292,1027052,30 + 0.0
P,10,"Play 我呸","蔡依林",,,576、598,B - 左边单点、右边长条中间,B - 左边长条结尾、右边单点,474,931,2279665,45 + 0.0
,,"Synchronise","INFINITE",,红色,541,B - 左边长条中间、右边长条中间,B - 左边白球,294,604,1066886,31 - 0.2
,,"一笑倾城","汪苏泷",,红色,358,B - 左边单点,B - 左边单点、右边单点,205,395,1037730,31 + 0.2
M,6,"没有选择","胡彦斌",,,364,B - 左边长条开始,B - 左边长条结尾、右边滑键,261,517,1378713,33 - 0.5
,,"当你","林俊杰",,,341,B - 左边长条中间、右边白球,B - 右边单点,206,489,1319029,32 - 0.4
,,"Checkmate","林俊杰/郑容和",,红色,128、415,A - 左边单点、右边长条开始,A - 左边滑键、右边单点,264,584,1060592,34 + 0.3
C,9,"Crossing Field","LiSA",,,1059,B - 左边白球,B - 右边长条中间,509,1142,1885595,34 - 0.2
S,9,"Sparkling Daydream","ZAQ",,,672、673、676、677、678、679,B - 右边滑键,B - 左边白球,352,820,2253311,43 - 0.5
,,"Doraradora","Fujigami Mai",,,205,A - 左边单点,A - 右边白球,259,518,1343583,32 + 0.1
D,6,"等我先说","夏天Alex",,,394,B - 左边白球,B - 左边长条结尾、右边长条结尾,231,462,1231710,32 + 0.4
,,"你的微笑","飞儿乐团",,红色,476、476,B - 右边连点第 1 个（cool）、右边连点第 2 个,B - 右边白球,327,625,1248338,41 - 0.5
,,"怎样说清此刻的心情","BY2",,红色,401,B - 左边长条开始,B - 左边长条结尾、右边长条结尾,293,502,962818,31 + 0.1
,,"Sometimes","Kat Graham",,红色,27、27,A - 右边单点（cool）、左边白球,A - 左边白球、左边单点（cool）,210,366,933854,34 + 0.1
*,10,"123我爱你(困难版)","新乐尘符",,,309,A - 左边单点,A - 左边单点、右边单点,430,896,2182719,42 + 0.0
,,"勋章","鹿晗",,红色,211,B - 右边白球,B - 右边长条结尾,155,322,687709,28 + 0.0
B,6,"Boys","Charli XCX",,,363,B - 左边长条中间,B - 右边滑键,291,598,1239821,30 + 0.3
U,9,"UNION","OxT",,,455、961,A - 左边长条开始、右边滑键,A - 右边单点,514,1020,2145342,41 + 0.3
M,6,"Mimimi","Serebro",,红色,381、381,B - 左边单点（cool）、右边白球,B - 左边白球、左边单点（cool）,255,466,1339798,42 - 0.5
,,"淘汰","陈奕迅",,红色,272,B - 右边单点,B - 右边连点第 2 个,200,472,898943,31 - 0.4
B,6,"Bad Girl","吴亦凡",,,503,B - 左边单点,B - 左边单点、右边长条结尾,246,605,1428926,34 + 0.2
Z,10,"直到世界终结(困难版)","WANDS",,,889,B - 右边单点,B - 左边单点、右边长条结尾,454,1054,2197161,43 - 0.1
,,"爱的就是你","刘佳",,红色,221、222,B - 右边单点,B - 右边连点第 3 个,152,299,857635,28 - 0.5
G,6,"歌谣","李荣浩",,,459、460、461,B - 右边滑键,B - 左边长条结尾、右边长条结尾,260,574,1411379,34 + 0.2
,,"Talk Dirty","Jason Derulo/2",,红色,245,B - 左边长条开始,B - 左边单点,201,296,671888,23 + 0.1
,,"明天，你好","牛奶咖啡",,红色,189、189,B - 左边连点第 1 个（cool）、左边连点第 2 个,B - 右边白球,167,331,788402,28 + 0.3
,,"小酒窝","林俊杰",,红色,136、140,A - 右边滑键,A - 右边白球,166,311,911365,29 + 0.0
T,8,"the WORLD","Nightmare",,,373、826,A - 左边单点、右边单点,A - 左边连点第 1 个,605,1076,1798045,35 + 0.3
,,"Always Online","林俊杰",,红色,140、142,A - 左边单点、右边单点,A - 左边单点、右边单点,239,441,965120,27 + 0.0
B,8,"Bubble Pop!","泫雅",,,219、237,A - 左边单点,A - 左边长条结尾、右边白球,321,597,1608476,36 - 0.5
L,6,"Landing","温岚",,红色,363,B - 右边滑键,B - 左边滑键、右边滑键,212,414,1238275,40 - 0.5
K,10,"克罗地亚狂想曲","马克西姆",,,146、147、148、150、152、207、208、209、211、213,A - 右边连点第 1 个,A - 右边白球,395,719,2490557,47 + 0.0
,,"Wind flower","MAMAMOO",,红色,159、159、389、389,A - 右边单点（cool）、右边单点,A - 右边白球,257,521,1250644,35 - 0.3
I,8,"I Knew You Were Trouble","Taylor Swift",,,299、300,A - 右边白球,A - 右边长条结尾,427,689,1450855,34 - 0.5
,,"漫时光","QQ炫舞",,,409,B - 右边单点,B - 左边长条结尾、右边长条结尾,261,445,1065576,26 + 0.4
Y,9,"一吻天荒","胡歌",,,1145,B - 左边白球,B - 左边长条结尾、右边长条结尾,343,1215,2043747,40 - 0.4
,,"HURT","Jasmine Sokko",,红色,108、108、109、109、114、114,A - 左边连点第 1 个（cool）、左边连点第 2 个,A - 左边白球、右边单点（cool）,149,288,846462,34 + 0.0
,,"丑八怪","薛之谦",,红色,129、379,A - 左边白球,A - 右边长条中间,204,536,1294857,38 + 0.1
Q,8,"前尘","SING女团",,红色,173、173,A - 右边白球（cool）、左边白球,A - 左边白球、右边白球（cool）,295,556,1577705,52 + 0.0
,,"后会无期","徐良/汪苏泷",,红色,182、193,B - 右边单点,B - 右边白球,115,251,562092,23 + 0.0
B,7,"表白","萧亚轩",,红色,527,B - 左边长条中间,B - 左边单点,233,569,1364771,38 + 0.2
R,9,"Rookie","Red Velvet",,,535,B - 左边长条结尾,B - 左边连点第 1 个,240,608,1667380,36 + 0.3
Q,7,"七年的爱","金贤政",,红色,354,B - 左边白球,B - 左边单点、右边单点（cool）,185,577,1145856,35 + 0.0
R,9,"Rolling Star","YUI",20,,865、866,B - 左边单点,B - 右边白球,423,927,1711338,39 + 0.0
,,"做我的唯一","新乐尘符/贺子玲",,红色,238,B - 右边单点,B - 左边白球,166,298,942250,34 - 0.5
,,"太阳雨","QQ炫舞原创",,红色,123、124、135、136,B - 左边单点,B - 右边滑键,87,176,431320,20 - 0.3
W,6,"望","张碧晨/赵丽颖",,红色,413、413,B - 左边连点第 2 个（cool）、右边白球,B - 左边白球,193,587,1267767,40 - 0.4
,,"凉凉","杨宗纬/张碧晨",,红色,342,B - 左边白球,B - 右边单点,158,468,790089,28 + 0.0
,,"Rage Your Dream","M.O.V.E",,,272、273、274,A - 左边单点,A - 左边长条结尾、右边单点,339,645,1409804,34 + 0.0
L,10,"恋人募集中","天月-あまつき-",,,592,B - 左边滑键、右边长条开始,B - 右边白球,466,1014,2003054,40 - 0.2
,,"Born This Way","Lady Gaga",,红色,154、154、155、155,A - 右边连点第 1 个（cool）、右边连点第 2 个,A - 右边连点第 2 个、左边连点第 1 个（cool）,209,481,1210317,35 - 0.1
W,6,"What Makes You Beautiful","One Direction",50,红色,496,B - 右边长条开始,B - 左边长条结尾、右边长条结尾,223,563,1159012,34 + 0.2
W,9,"无可取代","李雪岩",,,134,A - 右边白球,A - 右边滑键,534,1170,2557408,46 - 0.5
,,"No","CLC",,,256、258,B - 左边单点,B - 左边单点,228,534,1119972,28 - 0.5
,,"再见安打","唐禹哲",,红色,169,B - 左边单点、右边单点,B - 右边单点,91,276,660618,26 - 0.5
,,"相信未来","MIC男团",,红色,302,B - 左边白球,B - 左边长条结尾、右边长条结尾、右边单点（cool）,192,440,1036859,31 - 0.4
F,10,"Flower Dance(困难版)","DJ OKAWARI",,,409,B - 左边单点、右边单点,B - 左边单点、右边单点,259,647,1883954,42 + 0.0
C,9,"Candy Pop","TWICE",,,207、211、235、508、512,A - 左边单点、右边单点,A - 左边单点、右边单点,298,686,1680808,36 + 0.0
W,9,"Whistle(困难版)","Flo Rida",,,468,A - 左边连点第 1 个,A - 左边单点、右边长条结尾,527,1241,2423767,39 + 0.0
,,"Numb","Linkin Park",,红色,385,B - 左边单点、右边长条中间,B - 左边单点、右边长条开始,200,492,1081841,45 - 0.2
B,9,"Be My Baby","Wonder Girls",,,274、275、276、277,A - 右边滑键,A - 左边长条结尾、右边白球,483,767,1845946,37 - 0.5
A,7,"Apple Is A","T-ara",,红色,127、128、128、130,A - 右边连点第 1 个,A - 右边单点、右边单点（cool）,192,385,1047010,37 + 0.0
,,"淋雨一直走","张韶涵",,红色,262、262,B - 右边单点（cool）、左边单点,B - 左边白球,166,351,830377,37 + 0.3
,,"Try Everything","Shakira",,,192,A - 左边白球,A - 右边白球,233,489,1145195,29 - 0.3
,,"千年","SING女团",,红色,169、169、225、225,B - 左边单点（cool）、左边单点,B - 左边白球,113,260,922833,35 - 0.5
W,7,"What if(QQ炫舞手游原创音乐)","TetraCalyx",,红色,135,A - 右边白球,A - 左边长条结尾,182,462,1154085,32 + 0.4
F,9,"Fight For You","潘玮柏",,,259,A - 左边连点第 1 个,A - 左边长条结尾、右边长条结尾,498,1104,1996746,40 + 0.0
J,7,"君にふれて","安月名莉子",,,175、675,A - 右边长条中间,A - 左边单点,468,965,1609747,32 - 0.3
,,"吸引定律","Awaken-F",,红色,115、257,A - 左边单点,A - 右边白球,167,340,863885,27 + 0.0
J,6,"Jar Of Love","曲婉婷",,,306,B - 右边长条中间,B - 左边连点第 2 个、右边连点第 2 个,194,564,1441498,37 + 0.2
,,"LOVE IT LIVE IT","YDPP",,红色,145、145,A - 右边连点第 1 个（cool）、右边连点第 2 个,A - 右边白球,192,454,1027727,30 + 0.0
,,"Hola","Flo Rida/Maluma",,红色,41,A - 左边白球,A - 右边白球,156,295,868127,30 + 0.0
S,9,"SUNSET","TWICE",,,785,B - 左边单点,B - 左边单点,468,987,2105966,37 + 0.1
,,"萤火","TFBOYS",,红色,213,B - 右边滑键,B - 右边单点,133,314,941798,29 - 0.1
S,6,"Sky","Steerner",,红色,82,A - 右边单点,A - 左边单点,192,548,1288259,37 + 0.0
,,"棉花糖","至上励合",,红色,132、134,B - 右边单点,B - 左边白球,95,228,638235,24 + 0.0
,,"You Are","GOT7",100,红色,345,B - 左边单点、右边长条结尾,B - 左边单点、右边长条结尾,188,443,802599,34 - 0.4
L,6,"Look What You Made Me Do","Taylor Swift",,红色,361,B - 左边滑键,B - 左边连点第 3 个,153,402,1208451,34 - 0.5
,,"长腿叔叔","袁娅维",,红色,309,B - 左边滑键、右边单点,B - 左边长条结尾、右边长条结尾,176,417,853383,33 - 0.2
,,"Enough","GOT7",,,352、354,B - 左边连点第 1 个,B - 左边单点,258,543,1182943,30 + 0.0
,,"回忆那么伤","孙子涵",,红色,340,B - 左边连点第 1 个,B - 右边连点第 3 个,155,414,1004860,33 - 0.5
B,6,"白骑士","QQ炫舞原创",,红色,353,B - 左边长条中间,B - 右边连点第 2 个,298,605,1207304,32 + 0.0
,,"1234","韩安旭",,红色,150、150、305、305,A - 右边单点（cool）、右边单点,A - 左边白球,209,402,1023981,32 + 0.0
,,"第一次爱的人","王心凌",,红色,87,A - 右边长条中间,A - 右边单点,249,500,923163,32 + 0.1
M,8,"My Song","花泽香菜",,,541,B - 右边白球,B - 右边单点,341,654,1637698,38 - 0.5
,,"直到世界终结 ","WANDS",,红色,147,B - 右边长条中间,B - 右边滑键,122,363,833334,32 - 0.4
B,8,"Baby Boy","王心凌",,,444、445,B - 左边单点,B - 右边白球,330,789,2084779,44 - 0.4
,,"Everything I Need","Skylar Grey",,,403,B - 左边白球,B - 左边白球,314,722,1139428,29 + 0.1
M,8,"冒险蓝图","Chic Chili",,,204、205、609、610,A - 右边连点第 1 个,A - 右边白球,461,866,1870745,37 + 0.0
B,6,"Baby","Justin Bieber",,红色,142、214、361、433,A - 右边长条结尾,A - 左边单点,270,523,1210265,34 - 0.3
Z,6,"再快乐一点","张韶涵",,,204、518,A - 右边长条结尾,A - 右边白球,328,730,1175632,29 - 0.1
C,9,"Crash","The Primitives",,,658,B - 右边长条中间,B - 左边白球,335,836,1833092,40 + 0.4
X,10,"星月夜","和楽器バンド",,,316,A - 左边单点、右边滑键,A - 左边白球,527,950,2344546,49 + 0.0
Q,6,"乞丐","摩登兄弟",,,186、479,A - 左边单点,A - 左边连点第 2 个,264,530,1300025,33 + 0.2
B,6,"BONAMANA","Super Junior",,红色,308、308,B - 左边连点第 2 个（cool）、左边连点第 3 个,B - 右边白球,146,378,1346426,37 + 0.0
W,8,"What U Do to Me","Roshelle",,,825,B - 左边单点,B - 左边长条开始、右边滑键,448,941,2010871,37 + 0.3
,,"越来越近","苏醒",,红色,248,B - 右边长条中间,B - 左边单点,213,497,1047318,30 + 0.3
,,"You(=I)","脸红的思春期",,红色,271、271,B - 右边单点（cool）、左边单点,B - 左边白球,156,332,1045203,32 + 0.0
,,"OKAY","王嘉尔",,红色,405,B - 右边单点,B - 左边连点第 3 个,202,438,890825,28 + 0.0
,,"勇往直前恋上你","王霏霏/赵天宇",,红色,94,A - 左边白球,A - 右边单点,168,325,919501,35 + 0.0
N,7,"narrative","泽野弘之/LiSA",,,408、423、437,B - 右边白球,B - 左边连点第 2 个,377,816,1392722,28 - 0.1
L,8,"凉凉(困难版)","杨宗纬/张碧晨",,,1042,B - 左边长条结尾,B - 左边单点,671,1333,2491663,44 - 0.2
T,6,"Timber","Pitbull",,,545,B - 左边连点第 1 个,B - 左边长条结尾、右边单点,236,610,1379987,36 + 0.2
,,"就喜欢你","董又霖",,红色,281,B - 右边单点,B - 右边单点,169,324,818190,30 + 0.0
Y,7,"鹦鹉","任然",,,356、688,A - 左边长条结尾,A - 右边白球,461,794,1564927,37 - 0.5
N,10,"Naruto Main Theme","六三四",,,1261,B - 左边长条结尾,B - 左边白球,760,1467,2697283,41 - 0.2
,,"No One Else Like You","Adam Levine",,红色,110,A - 右边白球,A - 左边白球、右边单点（cool）,208,409,863720,29 + 0.4
H,6,"喊出我的名字","创造营2019学员",,红色,335,B - 左边单点,B - 右边单点,226,446,1177381,36 - 0.5
*,9,"101个愿望","火箭少女101杨超越/火箭少女101赖美云/火箭少女101傅菁",,,675,B - 左边长条结尾,B - 右边白球,407,879,1983994,36 + 0.3
T,7,"Take My Hand","Simple Plan",,,390,B - 右边长条开始,B - 左边白球,368,767,1417926,36 + 0.0
R,6,"Ring Ding Dong","SHINee",,红色,127、318,A - 左边长条结尾,A - 右边单点,215,449,1218664,35 + 0.1
,,"一舞钟情","A-Lin",,红色,295,B - 左边长条结尾,B - 右边单点,191,429,1044053,34 + 0.4
W,9,"Wake up!","AAA",,红色,441,B - 右边白球,B - 左边长条结尾、右边长条结尾,242,747,1949753,52 - 0.5
,,"Monsters","Katie Sky",,红色,74、74,A - 右边单点（cool）、左边单点,A - 右边单点,172,350,768779,29 - 0.5
,,"We are the stars(QQ炫舞手游原创音乐)","Osz",,红色,420、421,B - 右边单点,B - 左边单点、右边单点（cool）,285,511,924741,29 - 0.1
G,10,"Get It On The Floor","DMX",,,31,A - 右边长条结尾,A - 左边白球,447,836,2195427,41 + 0.2
T,8,"to the beginning","Kalafina",,,866,B - 右边长条开始,B - 左边长条结尾、右边长条结尾,625,949,1667763,37 + 0.3
C,9,"chAngE","miwa",,,53,A - 右边白球,A - 左边白球,412,864,2191474,40 + 0.0
,,"我曾","1908公社",,红色,246,B - 左边单点,B - 左边白球,165,355,964957,32 - 0.4
*,9,"ヒトガタ","HIMEHINA",,,18,A - 左边滑键,A - 右边滑键,430,794,1982204,48 - 0.5
I,6,"I Love You","EXID",,红色,80,A - 右边单点,A - 右边单点,213,471,1175200,33 + 0.1
,,"黑暗骑士","林俊杰/五月天",,红色,190、190,A - 左边单点（cool）、右边单点,A - 左边单点、右边单点（cool）,314,594,1280024,36 + 0.4
,,"最好的天气","郭采洁",,红色,350,B - 左边单点,B - 右边白球,197,489,1020468,27 + 0.1
,,"Flower Dance","DJ OKAWARI",,红色,179,B - 右边白球,B - 左边长条结尾,129,272,630941,28 - 0.5
,,"稀罕没理由","潘玮柏",,红色,116、117,B - 右边单点,B - 左边白球,115,202,536470,25 - 0.5
Y,7,"月光传说","桃色幸运草Z",,,207、381、579,A - 左边白球,A - 左边单点,249,621,1440607,33 + 0.0
H,8,"火花","高耀太",,,802,B - 左边白球、右边白球,B - 左边滑键、右边滑键,405,896,2104741,48 + 0.3
,,"不醉不会","田馥甄",,,519、520、521、522,B - 右边单点,B - 左边白球,348,736,1570175,41 + 0.0
S,7,"傻呆呆","BY2",,红色,393、393、408、409、409,B - 右边连点第 1 个（cool）、右边连点第 2 个,B - 左边单点、右边滑键,277,481,1289289,40 + 0.0
G,9,"更新","Sabão",,,901,B - 左边单点、右边单点,B - 右边连点第 1 个,454,963,2300523,43 - 0.5
,,"观花","萌娜丽莎/郑冰冰",,红色,162,A - 左边长条中间,A - 左边白球,228,475,1037748,31 + 0.4
H,9,"HUSTLE","陈梓童",,,129、130、131、132、133,A - 左边连点第 2 个,A - 右边白球,413,921,2253919,38 - 0.5
T,6,"The New Kings","Vicetone/Popeska/Luciana",,红色,235、265,B - 左边长条中间,B - 左边单点,198,439,1256619,35 - 0.1
,,"Trap","Henry",,红色,102、102、253、253,A - 左边连点第 1 个（cool）、左边连点第 2 个,A - 左边连点第 2 个、左边连点第 3 个（cool）,159,310,607232,26 + 0.0
C,9,"Colourful","Virginia To Vegas",,,855,B - 左边长条中间、右边白球,B - 左边长条开始、右边滑键,482,985,1954843,46 + 0.0
F,9,"风云喜","李常超",,,796,B - 右边连点第 1 个,B - 右边白球,333,944,1857505,38 + 0.0
