字母,等级,歌名,歌手,突变,技能,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
Z,6,"怎样说清此刻的心情","BY2",,红色,291、503,A - 二一轨滑条、四轨单点,A - 一轨长条结尾、三轨长条结尾,373,611,1069245,37 + 0.2
,,"唐人","孙子涵",,红色,272,B - 三轨单点,B - 二轨长条结尾,155,399,774536,24 - 0.2
,,"恋爱幸运曲奇","AKB48",,红色,224,B - 二轨单点,B - 一轨长条右滑,148,420,855876,27 + 0.4
M,6,"Mimimi","Serebro",,,310,B - 一轨单点,B - 二轨长条结尾、四轨长条开始,264,491,1184528,30 + 0.3
B,6,"BONAMANA","Super Junior",,红色,398,B - 一二轨滑条,B - 二轨单点、四轨单点,244,621,1392679,39 - 0.2
,,"李白","李荣浩",,红色,377,B - 三轨单点,B - 二轨单点、三轨单点,248,442,836420,23 - 0.2
,,"Blue Skies","Lenka",,红色,342、343,B - 一轨单点,B - 三四轨滑键,204,483,1009214,30 - 0.3
L,6,"Landing","温岚",,红色,312、313,B - 四轨单点,B - 一轨长条右滑,215,462,992011,28 + 0.0
,,"卡农","Pachelbel",,,168,A - 一轨单点、五轨单点,A - 一轨单点,472,925,1991355,42 + 0.0
,,"明天，你好","牛奶咖啡",,红色,150,B - 一轨长条开始、四轨长条开始,B - 二轨长条开始,150,360,773738,29 + 0.4
W,6,"Wonderland","gugudan",,红色,240,B - 三轨单点,B - 二一轨滑键、三四轨滑键,238,503,1125541,37 - 0.1
,,"我们不该这样的","张赫宣",,红色,286、286、287、287、290、290、292、292,B - 四轨单点（cool）、三轨单点,B - 一轨单点、二轨单点（cool）,144,346,861856,33 - 0.2
H,9,"Hacking to the Gate","伊藤加奈子",50,,818,B - 二轨长条中间、三轨长条中间,B - 二轨单点、三轨单点,569,1160,2156782,54 - 0.2
X,6,"幸福的节拍","杨丞琳",,红色,413,B - 四轨长条中间,B - 二轨长条结尾、三四轨滑键,246,550,1111210,30 - 0.1
X,6,"小星星","汪苏泷",100,红色,801,B - 二轨单点,B - 四轨长条左滑,454,980,1530412,41 - 0.5
,,"你的声音不会消失","fumika",20,红色,239、240、243,A - 二轨长条开始,A - 三轨长条右滑,354,745,1388442,37 + 0.0
I,8,"I Want My Tears Back","NIGHT WISH",20,红色,930、941,B - 一轨长条右滑、四轨长条左滑,B - 一轨长条右滑、四轨长条左滑,601,1432,2804856,81 + 0.4
,,"江南","林俊杰",50,红色,117,A - 四轨单点,A - 一轨单点、三轨长条结尾,213,496,936934,34 - 0.2
B,7,"表白","萧亚轩",100,红色,550、550,B - 二轨单点（cool）、三轨单点,B - 一轨长条结尾、四轨长条结尾,269,691,1455141,46 - 0.5
,,"Born This Way","Lady Gaga",50,红色,315、315、353,B - 三轨单点（cool）、二轨单点,B - 一轨长条结尾、四轨长条结尾,206,450,974314,29 - 0.4
,,"黑暗骑士","林俊杰/五月天",,红色,183、183、491、491,A - 二轨单点（cool）、三轨单点,A - 二轨单点、一轨单点（cool）,273,550,1162609,33 + 0.0
,,"剩下的盛夏","TFBOYS",,红色,112、112、120,A - 二轨单点（cool）、四轨长条开始,A - 三轨长条右滑,279,583,937864,38 + 0.2
,,"帝都","萌萌哒天团",,红色,158、159,B - 四轨单点,B - 二轨单点,109,362,644297,21 - 0.3
,,"不完美小孩","TFBOYS",,红色,271,B - 一轨长条开始,B - 四轨长条结尾,208,529,944089,29 + 0.0
B,6,"背对背拥抱","林俊杰",100,红色,360,A - 二轨单点、四轨单点,A - 一轨单点,457,803,1317556,40 + 0.2
,,"Numb","Linkin Park",,红色,549,B - 一轨长条中间、三轨单点,B - 二轨长条结尾、三轨长条结尾,244,668,1167977,46 - 0.5
N,9,"你，有没有过","林俊杰",100,,835,B - 一轨单点、四轨单点,B - 四轨长条结尾,465,1127,2196617,51 + 0.3
B,6,"Bright Spring","M2U",,红色,322,B - 二轨单点,B - 二轨单点,252,578,1210584,34 + 0.0
,,"太过爱你","MC梦",,红色,500,B - 三轨长条右滑,B - 一轨长条结尾、四轨长条结尾,397,875,1447004,40 + 0.2
,,"万有引力","汪苏泷",,红色,157、158、159,B - 二轨单点,B - 二轨长条结尾,56,204,439682,21 - 0.1
,,"Long Kiss Good Bye","Halcali",50,,540,B - 二轨长条结尾、三轨单点,B - 三轨单点,401,862,1371739,33 + 0.4
,,"猫步轻俏","AOA",,红色,311、317,B - 二轨单点、四轨单点,B - 二轨单点、四轨长条结尾,215,385,944282,38 + 0.2
W,9,"无可取代","李雪岩",,,516,A - 三轨单点,A - 三四轨滑键,631,1297,2524856,48 - 0.2
L,6,"Love So Soft","Kelly Clarkson",,,149,A - 三轨单点,A - 一轨长条结尾、三轨单点,313,633,1371118,34 - 0.1
,,"下个，路口，见","李宇春",,红色,381、383,B - 二轨单点、四轨单点,B - 二轨单点、四轨单点,226,455,777733,31 + 0.3
X,6,"小情歌","苏打绿",,红色,377,B - 三四轨滑条,B - 三轨长条中间,272,721,1325487,39 - 0.3
,,"走着走着就散了","庄心妍",,红色,482,B - 一轨长条中间,B - 一轨长条结尾、四轨长条结尾,274,587,1096730,34 + 0.3
,,"Bing Bing","Crayon Pop",,,427,B - 三轨单点,B - 四五轨滑键,309,586,1515092,30 - 0.5
,,"淋雨一直走","张韶涵",,红色,181,B - 四轨单点,B - 三轨单点、二轨单点（cool）,126,248,702451,33 - 0.4
,,"Boom Clap","Charli XCX",,红色,238,B - 二轨单点,B - 二轨单点、四轨长条结尾,131,343,753148,29 - 0.5
L,6,"Look What You Made Me Do","Taylor Swift",,红色,250、251,B - 一轨单点,B - 一轨长条结尾、四轨长条结尾,210,530,1226758,37 - 0.4
,,"Be My Baby","Wonder Girls",,,181、187,A - 二轨单点,A - 一轨长条结尾、五轨长条结尾,678,1067,2016047,44 + 0.2
,,"New Divide","Linkin Park",,红色,223、233,A - 一轨长条中间、三轨单点,A - 二轨长条开始、三轨长条结尾,352,599,1013196,31 - 0.5
,,"Love Story","Taylor Swift",,红色,525,B - 四轨长条结尾,B - 二一轨滑键、三轨长条右滑,319,601,1301319,42 + 0.4
B,8,"Baby Boy","王心凌",,,449、450、451、459、460,B - 一轨单点,B - 一轨单点,340,827,2010404,45 + 0.0
R,6,"Right Now","rihanna",,,415,B - 二轨长条左滑、三轨长条中间,B - 一轨长条右滑、四轨长条左滑,395,818,1574086,39 + 0.4
K,10,"空想神话","妖精帝国",,,1519,B - 一轨长条中间、三轨单点,B - 一轨长条右滑、三轨长条开始,915,1745,3113810,69 + 0.1
,,"带你去旅行","校长",,红色,429、429,B - 二轨单点（cool）、三轨单点,B - 二轨单点,247,492,1034033,34 + 0.3
,,"今天你要嫁给我","陶喆/蔡依林",,红色,145、146、147、148、149,B - 二轨单点,B - 三轨单点,145,281,593957,25 - 0.2
,,"Hola","Flo Rida/Maluma",,红色,245,B - 二轨单点、四轨单点,B - 三轨长条右滑,175,335,821338,27 + 0.0
,,"绿光","孙燕姿",,红色,442、442、443,B - 二轨单点（cool）、一轨单点,B - 一轨单点、四轨单点,203,495,1048855,36 - 0.5
Y,8,"YESTERDAY","Block B",,,594,B - 一轨单点、四轨长条开始,B - 一轨单点,333,810,1618953,37 - 0.5
,,"回忆那么伤","孙子涵",,红色,403,B - 一轨单点、四轨长条中间,B - 一轨单点,162,488,1087277,36 - 0.1
B,6,"Baby","Justin Bieber",,红色,340,B - 二轨长条开始,B - 一轨单点、三轨单点,268,551,1126852,31 + 0.3
,,"You Are","GOT7",,红色,74,A - 一轨单点,A - 四轨单点,110,293,670306,27 + 0.0
,,"期待","Girl's Day",50,红色,126、365,A - 四轨长条开始,A - 一轨单点,239,535,1177972,40 - 0.2
,,"等我先说","夏天Alex",50,红色,260,A - 二轨单点,A - 二轨长条中间、四轨单点,346,661,1156308,31 + 0.1
,,"Poker Face","Lady Gaga",,红色,237,B - 二轨单点、四轨长条结尾,B - 二轨单点、四轨长条结尾,188,400,988647,29 + 0.3
S,7,"什么什么","蔡依林",,,100、375,A - 一轨长条右滑,A - 二轨单点,308,751,1564183,40 - 0.1
,,"我们的歌","王力宏",,,652,B - 三四轨滑条,B - 二轨单点,347,750,1394906,33 - 0.3
,,"不朽之罪","双笙/玄觞",,红色,219、220、220,B - 二轨单点,B - 三轨长条结尾,113,270,564981,21 - 0.1
,,"娃娃脸","后弦",,,301,B - 一轨长条结尾、四轨单点,B - 二轨单点,248,488,947866,25 + 0.0
,,"小酒窝","林俊杰",,红色,305,B - 一轨单点、四轨单点,B - 一轨单点、四轨单点,179,341,916623,30 - 0.3
,,"OKAY","王嘉尔",,红色,447,B - 四轨长条开始,B - 三轨单点,240,528,935519,31 - 0.3
,,"微微一笑很倾城","杨洋",,,515、523,B - 二轨单点、四轨单点,B - 一轨单点、四轨单点,351,719,1311035,32 + 0.3
T,6,"Telephone","Lady GaGa",,,126,A - 二一轨滑条,A - 一轨单点,287,544,1352451,31 + 0.2
,,"浪漫惊喜","kent王健",,红色,129,B - 一轨长条开始、四轨长条开始,B - 一轨单点,127,323,562536,23 - 0.4
Q,9,"青鸟","生物股长",,,959,B - 二一轨滑条、三四轨滑键,B - 一轨长条中间、四三轨滑键,576,1268,2653429,57 + 0.4
,,"Checkmate","林俊杰/郑容和",,红色,136、428,A - 一轨长条开始,A - 一轨单点、四轨单点,264,589,1020980,35 - 0.1
,,"Always Online","林俊杰",,红色,122,A - 四轨单点,A - 三轨单点,271,506,757286,20 + 0.4
,,"可以了","陈奕迅",,红色,313,B - 四轨长条左滑,B - 四轨单点,200,443,956625,30 + 0.0
,,"专属味道","汪苏泷/林希儿",,红色,736、737、740,B - 三轨长条开始,B - 三轨长条右滑,417,871,1498580,40 - 0.3
,,"一舞钟情","A-Lin",,红色,470、470,B - 二轨单点（cool）、三轨长条开始,B - 一轨单点、二轨长条右滑,269,595,1113829,35 + 0.2
,,"邮递马车","Hermann Necke",,红色,597,B - 三轨长条右滑,B - 一轨单点、五轨单点,275,725,1733855,53 + 0.1
,,"恋爱循环","花泽香菜",100,红色,322,B - 四轨长条开始,B - 二轨单点、三轨长条结尾,266,502,1086999,42 + 0.3
W,10,"Wake up!","AAA",,,224,A - 二轨长条开始、四轨长条开始,A - 二一轨滑键、四轨长条中间,451,1156,2540830,59 + 0.4
H,7,"火花","高耀太",,,87,A - 四轨单点,A - 二轨单点,414,821,1785045,37 + 0.1
W,6,"王妃","萧敬腾",,红色,635,B - 一轨长条开始,B - 二轨长条结尾,281,743,1293912,39 + 0.4
B,8,"Bubble Pop!","泫雅",,,401,B - 三轨单点,B - 二一轨滑键,364,786,1662549,37 - 0.5
,,"有点甜","汪苏泷 / BY2",,红色,218、218,B - 二轨单点（cool）、三轨单点,B - 一轨长条右滑、四轨长条左滑,177,397,951084,35 + 0.1
,,"Rage Your Dream","M.O.V.E",,红色,511,B - 一轨长条结尾、四轨单点,B - 二轨长条结尾、四轨长条开始,328,605,1242522,33 + 0.2
K,6,"KNOCK KNOCK","TWICE",,红色,235,B - 二轨长条开始,B - 三轨长条左滑,143,444,1090955,32 + 0.4
N,8,"narrative","泽野弘之/LiSA",,,1155,B - 一轨长条右滑、四轨单点,B - 二轨长条中间、四轨长条中间,593,1333,2089398,48 + 0.3
,,"克罗地亚狂想曲","马克西姆",,,757、759,B - 四轨单点,B - 二轨长条右滑,536,1058,2559473,47 - 0.3
,,"Doraradora","Fujigami Mai",,,544,B - 一轨单点、四轨长条结尾,B - 二轨长条结尾、三轨单点,300,634,1304940,34 + 0.3
,,"Flower Dance","DJ OKAWARI",,红色,204,B - 二轨长条开始,B - 二轨单点、三轨单点,128,278,548934,23 + 0.0
S,9,"Sparkling Daydream","ZAQ",100,,338,A - 二轨长条开始、三轨长条开始,A - 四轨单点,639,1450,2801436,56 + 0.3
Q,8,"七年的爱","金贤政",20、50,红色,573,B - 四轨长条开始,B - 二轨单点、三轨单点,242,708,1458011,57 + 0.3
,,"非酋","薛明媛/朱贺",,红色,190,B - 一轨单点,B - 三轨长条右滑,130,310,821171,27 - 0.2
,,"让我心动","Apink",,红色,341,B - 三轨单点,B - 二轨单点,216,502,939578,26 + 0.0
,,"勋章","鹿晗",,红色,135,B - 四轨单点,B - 二轨单点,74,188,471910,21 - 0.5
,,"123我爱你(困难版)","新乐尘符",50,,670、673、676,B - 一轨单点、四轨长条中间,B - 一轨长条右滑、五轨长条中间,594,1178,2371236,51 - 0.5
B,6,"Boys","Charli XCX",,红色,353,B - 二轨长条开始,B - 四轨单点,284,580,1071996,29 + 0.0
,,"望","张碧晨/赵丽颖",,红色,582,B - 二轨长条左滑,B - 一轨长条结尾、三轨长条结尾,234,680,1299680,43 - 0.3
,,"萤火","TFBOYS",,红色,148,A - 一轨长条中间,A - 一轨单点、三轨单点,265,569,1164476,44 - 0.1
C,9,"Colourful","Virginia To Vegas",,,320、913,A - 二一轨滑条、四轨长条左滑,A - 二轨长条中间、四轨长条中间,624,1288,2101283,49 + 0.3
,,"触动心触动爱","BY2",,红色,155、287,B - 一轨长条开始,B - 三四轨滑键,142,324,763827,28 - 0.5
,,"Firefly","Abba Teens",,红色,891,B - 一轨长条开始、三轨长条开始,B - 二轨单点、四轨单点,438,1021,1784742,54 + 0.4
S,6,"Synchronise","INFINITE",,红色,781,B - 二轨单点、四轨单点,B - 二轨长条左滑,423,901,1333876,41 - 0.4
,,"DAY BY DAY","T-ara",,红色,213,B - 二轨长条开始、三轨长条开始,B - 一轨单点,164,354,950329,31 + 0.0
,,"Talk Dirty","Jason Derulo/2",,红色,287,B - 四轨长条结尾,B - 二轨单点、三轨单点,225,352,654424,22 - 0.2
L,9,"L.I.E","EXID",,红色,76、76,A - 四轨单点（cool）、三轨单点,A - 四轨单点,413,696,1674704,49 - 0.4
Y,9,"一吻天荒","胡歌",20、100,,1183,B - 二轨长条中间、三轨长条中间,B - 二一轨滑键、三四轨滑键,465,1660,2518309,64 - 0.3
,,"Try Everything","Shakira",,红色,138,A - 四轨长条左滑,A - 二轨长条结尾、三轨长条结尾,422,740,1411360,40 + 0.3
Y,8,"月光传说","桃色幸运草Z",,,152、155、379、382、622、625,A - 二轨单点,A - 三轨单点,299,769,1546871,39 + 0.3
,,"第一次爱的人","王心凌",,红色,276,B - 二轨长条开始、三轨长条开始,B - 一轨单点、三轨单点,203,458,758597,27 + 0.3
C,9,"Candy Pop","TWICE",,红色,933,B - 二轨单点、三轨单点,B - 二轨长条右滑、四轨长条结尾,483,1160,2041162,55 - 0.1
,,"歌谣","李荣浩",,红色,500、501,B - 二轨单点,B - 一轨单点、三轨长条结尾,278,638,1391846,37 + 0.0
,,"Wind flower","MAMAMOO",,,186、187、188、444、445、446,A - 一轨单点,A - 三轨单点,296,587,1164834,30 + 0.1
B,9,"Butter Fly","和田光司",,,794、796,B - 二轨长条开始、三轨长条开始,B - 一轨长条中间、四轨长条中间,643,1381,2475274,53 - 0.5
D,10,"Dura","Daddy Yankee",100,,784,B - 二轨单点、四轨长条左滑,B - 一轨长条右滑、四轨单点,489,1217,3096869,49 - 0.2
,,"Sky","Steerner",,红色,532,B - 二轨长条开始、四轨长条结尾,B - 二轨长条结尾、三轨长条右滑,234,733,1378941,47 + 0.4
R,9,"Rookie","Red Velvet",,,456,B - 一轨长条开始、三轨单点,B - 一轨单点,350,892,1870850,42 + 0.2
,,"Just Dance","王一博",,红色,434,B - 四轨单点,B - 二一轨滑键,244,524,1199247,34 - 0.5
S,6,"斯诺克","付辛博",,红色,117,A - 二轨长条结尾,A - 一轨单点,226,515,1085448,29 - 0.2
,,"吸引定律","Awaken-F",,红色,330,B - 二轨单点,B - 三轨单点,197,413,798448,25 + 0.1
,,"Crossing Field","LiSA",50,,1806,B - 一轨长条右滑、三轨长条右滑,B - 三轨长条左滑、五轨长条左滑,903,2047,3030162,70 + 0.0
X,6,"炫舞国度","BOX.COM",,红色,340,B - 三四轨滑条,B - 二轨长条左滑,273,533,1232029,35 + 0.4
,,"给我一个理由忘记","A-Lin",,红色,676,B - 一轨长条中间,B - 一轨长条右滑、四轨长条左滑,347,953,1539078,47 - 0.1
T,6,"Timber","Pitbull",,红色,505、505,B - 三轨单点（cool）、四轨单点,B - 一轨长条结尾、四轨单点,203,592,1407195,49 - 0.2
,,"淘汰","陈奕迅",,红色,438,B - 一轨单点、四轨单点,B - 三轨长条中间,253,598,1005030,37 - 0.4
F,10,"Flower Dance(困难版)","DJ OKAWARI",,,406,B - 三轨长条左滑,B - 一轨单点,238,649,1910829,43 - 0.1
,,"狂欢夜","QQ炫舞原创",,红色,469,B - 一轨单点,B - 一轨单点、四轨长条结尾,160,524,1028245,32 + 0.4
R,9,"Rolling Star","YUI",20,红色,1164,B - 三轨长条左滑,B - 一轨长条右滑、三轨长条右滑,585,1278,1984784,55 - 0.5
,,"SHIORI","ClariS",50,,1274、1277、1279,B - 四轨长条右滑,B - 一轨单点、五轨长条中间,539,1420,2883116,67 + 0.2
H,7,"坏掉的大人","陈势安",,,273、638,A - 一轨单点,A - 二轨单点,354,757,1541221,30 - 0.5
W,7,"我要给世界最悠长的湿吻 Kisses For The World","蔡健雅",,,362、364、945、949、951,A - 三轨长条中间,A - 一轨单点、三轨长条左滑,552,1070,1718816,45 - 0.2
,,"Brave Heart","宮崎歩",,红色,735,B - 二一轨滑条,B - 二轨单点,557,1054,1840590,50 - 0.4
E,7,"Everything I Need","Skylar Grey",,红色,1051,B - 一轨单点、三轨长条左滑,B - 二轨长条左滑、三轨长条右滑,458,1177,1761857,48 + 0.0
,,"再见安打","唐禹哲",,红色,66,A - 一轨单点,A - 一轨单点、四轨单点,107,321,664416,25 - 0.1
G,10,"Gee","少女时代",20,,183、186、187,A - 四轨单点,A - 一轨单点、三轨单点,630,1101,2323834,53 + 0.4
S,9,"SUNSET","TWICE",,,1274,B - 三轨长条中间,B - 一轨长条结尾、四轨长条结尾,684,1450,2452803,47 + 0.4
M,10,"MY舞☆TONIGHT","Aqours",,,333,A - 一轨长条右滑、三轨长条开始,A - 二轨单点、三轨单点,811,1587,3181461,60 + 0.2
X,6,"修炼爱情","林俊杰 ",,,825,B - 三轨单点,B - 一轨长条结尾、四轨长条结尾,264,925,1599555,42 - 0.1
C,9,"chAngE","miwa",,,1032,B - 一轨长条开始、三轨长条开始,B - 二轨单点,507,1164,2516225,47 + 0.0
,,"不醉不会","田馥甄",,红色,177,A - 二轨单点,A - 一轨单点,409,805,1565696,47 - 0.5
,,"Enough","GOT7",,,343,B - 一轨长条中间,B - 三轨单点,291,614,1165105,29 - 0.4
,,"漫时光","QQ炫舞",,红色,429,B - 一轨长条中间,B - 四轨长条结尾,297,579,1051773,30 + 0.1
J,8,"君にふれて","安月名莉子",,,1275、1277,B - 一轨长条中间,B - 二轨长条左滑,713,1482,2291881,51 + 0.0
,,"You(=I)","脸红的思春期",,红色,331,B - 三四轨滑键,B - 三轨单点,192,441,1014674,31 - 0.1
,,"稀罕没理由","潘玮柏",,红色,164、165,B - 二轨单点,B - 二轨单点、四轨单点,96,196,492048,24 + 0.0
,,"Trap","Henry",,红色,200,B - 二轨单点,B - 二轨单点,137,266,566839,23 - 0.1
N,6,"Not Another Song About Love","Hollywood Ending",,,544,B - 四轨单点,B - 一轨单点,323,770,1325496,33 + 0.2
W,6,"What Makes You Beautiful","One Direction",,红色,134、319,A - 二轨单点,A - 一轨单点、四轨单点,199,452,1129700,38 + 0.0
,,"Whistle(困难版)","Flo Rida",100,,1051,B - 一二轨滑条、四五轨滑条,B - 一轨长条中间、四轨长条中间,572,1433,2503702,46 + 0.2
,,"Get It On The Floor","DMX",,,237,A - 四轨长条右滑,A - 一轨单点、五轨长条左滑,613,1241,2350684,49 - 0.1
H,7,"好想大声说喜欢你","BAAD",,红色,598,B - 三轨长条右滑,B - 四轨长条左滑,396,976,1560591,41 + 0.2
J,8,"禁绝边境线","Walküre",,,357,A - 二轨长条结尾、三轨单点,A - 二轨长条中间、三轨长条中间,443,966,1687208,36 - 0.2
L,6,"铃兰(QQ炫舞手游原创音乐)","埋葬&优十",,,497,B - 四轨长条左滑,B - 二轨单点,369,733,1444013,37 + 0.3
,,"左边","杨丞琳",,红色,478、479、479,B - 四轨单点,B - 三轨长条结尾、一轨单点（cool）,292,583,1154433,37 - 0.4
,,"素颜","许嵩/何曼婷",,红色,144、146,B - 四轨单点,B - 二轨单点,91,209,425776,22 - 0.4
B,6,"白骑士","QQ炫舞原创",,红色,120,A - 一轨长条中间,A - 三二轨滑键,348,655,1215998,35 + 0.4
,,"No One Else Like You","Adam Levine",,红色,471,B - 一轨长条中间,B - 一轨长条结尾、四轨长条结尾,250,582,1024704,36 - 0.5
,,"千年","SING女团",,红色,213、277,B - 二轨单点、四轨单点,B - 四轨单点,145,325,883088,32 + 0.0
C,8,"Chilli","SEVENTEEN",20,,124,A - 三四轨滑条,A - 一轨长条右滑,423,933,1940189,40 + 0.1
,,"曖昧スクリーム","平野绫",,,754,B - 三轨长条结尾、五轨长条开始,B - 一轨单点、五轨单点,676,1399,2735105,58 + 0.2
W,6,"What Do You Mean?","Justin Bieber",,红色,328、331、336、341、344、349、354、357、362、367,B - 二轨单点、三轨长条结尾,B - 一轨长条结尾、四轨单点,228,606,1236387,35 - 0.2
G,9,"Get Cool","Stray Kids",,,656,B - 一轨长条开始、四轨长条开始,B - 一轨长条结尾、四轨长条结尾,456,877,1711816,42 - 0.2
A,7,"Apple Is A","T-ara",,红色,334、334,B - 四轨单点（cool）、三轨单点,B - 四轨单点、三轨单点（cool）,235,452,1027863,39 + 0.2
N,10,"Naruto Main Theme","六三四",50,,1532,B - 二轨单点、三四轨滑键,B - 一轨长条右滑、四轨长条开始,1014,1910,3117494,45 + 0.4
,,"We Don't Talk Anymore","Charlie Puth / Selena Gomez",,红色,120、121、122、123、124、149、150、151、152,B - 四轨单点,B - 三轨单点,74,171,436396,16 - 0.5
X,10,"星月夜","和楽器バンド",,,752、754,B - 二轨单点、三四轨滑键,B - 二轨长条左滑、三轨长条结尾,581,1145,2590118,63 + 0.2
Z,7,"再遇不到你这样的人","庄心妍",,红色,694,B - 一轨长条开始、三轨单点,B - 一轨长条结尾、三轨单点,376,868,1590635,45 - 0.3
,,"棉花糖","至上励合",,红色,172,B - 一轨长条结尾、三轨单点,B - 一轨单点、四轨长条结尾、二轨单点（cool）,154,386,826553,35 + 0.3
,,"We are the stars(QQ炫舞手游原创音乐)","Osz",,红色,494、496,B - 三轨长条中间,B - 二轨长条右滑,338,593,1023794,31 + 0.0
T,6,"The New Kings","Vicetone/Popeska/Luciana",,红色,278,B - 二一轨滑条,B - 一轨单点、二轨单点（cool）,225,508,1285829,37 + 0.0
,,"因你而在","林俊杰",,红色,381、382、395,B - 三轨长条开始,B - 三轨长条右滑,220,481,875574,27 - 0.2
B,7,"不可思议","金莎",,红色,183、465,A - 一轨单点、四轨单点,A - 二轨单点,282,580,1228135,37 + 0.3
W,9,"Why So Lonely","Wonder Girls",,,1450,B - 二一轨滑条、三轨长条右滑,B - 二轨长条中间、三轨长条中间,723,1619,2808235,54 - 0.2
,,"我乐意(QQ炫舞系列主题曲)","许嵩",,红色,352,B - 一轨长条开始,B - 一轨单点、四轨单点,276,662,1144979,33 + 0.3
,,"心率","鹿晗",,红色,73,A - 二轨单点,A - 一轨长条结尾,115,270,500300,20 + 0.3
,,"Booty Music","Git Fresh",,红色,239,A - 三轨单点,A - 一轨单点、四轨单点,277,543,1238224,33 + 0.0
,,"夜空中最亮的星","逃跑计划",,红色,355,B - 二轨长条结尾,B - 三轨单点,293,551,980717,32 + 0.4
,,"Don't Threaten Me With A Good Time","Panic! At The Disco",,红色,220、220,B - 三轨单点（cool）、二轨单点,B - 三轨单点、二轨单点（cool）,162,338,729829,30 + 0.2
,,"直到世界终结 ","WANDS",,红色,186,B - 一轨单点,B - 二轨长条结尾、四轨单点,104,372,849541,33 - 0.4
T,10,"天樂","和楽器バンド",,,1442,B - 一轨长条中间、二轨长条中间、四轨长条中间,B - 二轨长条左滑、四轨长条结尾,678,1561,3564885,60 - 0.5
W,8,"What U Do to Me","Roshelle",,,348、782,A - 二轨长条右滑、四轨单点,A - 二轨长条左滑、三轨长条右滑,685,1354,2449144,54 + 0.3
*,10,"101个愿望","火箭少女101杨超越/火箭少女101赖美云/火箭少女101傅菁",50,,487、492、1371、1376,A - 一轨长条右滑,A - 二轨长条左滑、四轨长条左滑,758,1664,2799597,60 - 0.4
Y,8,"You Are My Only One","袁娅维/小宇",,红色,845,B - 一轨长条开始、四三轨滑条,B - 一轨长条结尾、三轨长条结尾,516,1043,1586085,46 + 0.4
,,"Time with you","圭贤",,红色,149,A - 三轨单点,A - 一轨长条中间,244,448,766251,28 - 0.1
,,"桃花旗袍","BY2",100,红色,235、235、253、253,B - 二轨单点（cool）、三轨单点,B - 一轨单点、三轨长条结尾,142,355,829642,33 + 0.1
S,9,"SWEET TALKER","TWICE",,,978,B - 一轨长条开始、四轨长条开始,B - 二一轨滑键,530,1145,2208950,56 + 0.1
C,9,"Crash","The Primitives",,,175、177、179,A - 一轨长条开始、四轨长条中间,A - 二轨长条中间、三轨长条中间,510,1268,2159566,46 + 0.1
A,6,"爱投罗网","罗志祥",,红色,440,B - 一二轨滑条、四轨长条左滑,B - 二轨长条结尾、三轨长条开始,255,710,1366975,39 - 0.4
F,9,"风云喜","李常超",,,980,B - 二一轨滑键、三轨长条右滑,B - 二轨单点,393,1132,1972145,45 - 0.3
